**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,idx,parent_chain,shape,parent_shape,seed_shape,seed_r,length_min,fwd_return
2025_01_02,0,0/0/1/1,NOISE,STEEP_LINEAR_UP,NOISE,0.4816868922276389,2.67,5.5
2025_01_02,2,0/1/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.7435434239376103,2.0,0.5
2025_01_02,0,1/0/3/0,NOISE,STEEP_LINEAR_UP,ROUNDED_U_UP,0.9363947361162837,2.25,-1.5
2025_01_02,0,1/0/4/3,NOISE,STEEP_LINEAR_UP,NOISE,0.40781857334239346,1.83,0.5
2025_01_02,0,1/1/0/3,NOISE,STEEP_LINEAR_UP,NOISE,0.5479020964252578,2.25,1.25
2025_01_02,0,1/2/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.6539922619207326,1.33,2.25
2025_01_02,2,1/2/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.5818588607542048,3.25,-0.5
2025_01_02,0,1/2/0/8,NOISE,STEEP_LINEAR_UP,NOISE,0.5571753684726547,4.75,2.0
2025_01_02,2,1/2/0/8,NOISE,STEEP_LINEAR_UP,NOISE,0.6171161037140218,2.33,0.25
2025_01_02,0,1/2/3/0,NOISE,STEEP_LINEAR_UP,NOISE,0.3123771549772544,1.58,6.0
2025_01_02,3,1/2/3/0,NOISE,STEEP_LINEAR_UP,STEP_UP,0.8596111316810199,1.5,-0.25
2025_01_02,0,1/7/1/0,NOISE,STEEP_LINEAR_UP,STEP_UP,0.8908266232283051,3.33,0.0
2025_01_02,4,1/7/1/0,NOISE,STEEP_LINEAR_UP,ROUNDED_U_DOWN,0.7809301930863614,1.25,-3.25
2025_01_02,0,1/7/2/1,NOISE,STEEP_LINEAR_UP,NOISE,0.7357356517203342,1.67,6.75
2025_01_02,0,1/8/0/0,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_UP,0.8737393172926211,1.17,-7.5
2025_01_02,0,1/9/1/0,NOISE,STEEP_LINEAR_UP,LINEAR_UP,0.7567186583131891,6.67,2.5
2025_01_02,2,1/9/1/0,NOISE,STEEP_LINEAR_UP,NOISE,0.38614596927905315,1.92,-1.75
2025_01_02,1,1/9/2/1,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.8446045411515253,1.0,1.25
2025_01_02,1,1/9/3/2,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_DOWN,0.8972661738642089,1.83,11.25
2025_01_02,3,1/9/3/2,NOISE,STEEP_LINEAR_UP,LINEAR_DOWN,0.8693007198664852,1.08,-1.25
2025_01_02,0,1/9/3/4,NOISE,STEEP_LINEAR_UP,NOISE,0.6479175050297034,5.5,3.75
2025_01_02,2,1/9/3/4,NOISE,STEEP_LINEAR_UP,NOISE,0.5909384451534038,3.5,-5.0
2025_01_02,2,1/9/4/3,NOISE,STEEP_LINEAR_UP,NOISE,0.31129246454720993,1.67,-3.25
2025_01_02,0,1/10/1/5,NOISE,STEEP_LINEAR_UP,NOISE,0.7174134301003908,1.25,8.5
2025_01_02,2,1/10/1/5,NOISE,STEEP_LINEAR_UP,LINEAR_DOWN,0.9302532416199653,1.17,1.0
2025_01_02,0,1/10/2/0,NOISE,STEEP_LINEAR_UP,NOISE,0.5733712764622308,1.5,7.5
2025_01_02,2,1/10/2/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.861902877338458,1.08,3.75
2025_01_02,5,1/10/2/0,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_DOWN,0.8555423677133714,1.58,-9.0
2025_01_02,0,1/12/1/1,NOISE,STEEP_LINEAR_UP,NOISE,0.734810643322565,1.33,12.75
2025_01_02,0,2/1/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.40129074590121927,1.33,-16.0
2025_01_02,3,2/1/0/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.8982986757175154,1.17,15.75
2025_01_02,7,2/1/0/0,NOISE,STEEP_LINEAR_UP,ROUNDED_U_UP,0.7997405384605015,1.5,5.0
2025_01_02,0,2/1/1/0,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_DOWN,0.7537997640428705,1.67,6.0
2025_01_02,0,2/1/1/2,NOISE,STEEP_LINEAR_UP,NOISE,0.7116393488399829,8.67,-1.0
2025_01_02,0,2/2/0/6,NOISE,STEEP_LINEAR_UP,ROUNDED_U_UP,0.8456868497942659,1.0,-10.75
2025_01_02,1,2/2/1/1,NOISE,STEEP_LINEAR_UP,NOISE,0.4212745765312429,1.42,-9.5
2025_01_02,0,2/3/0/2,NOISE,STEEP_LINEAR_UP,ROUNDED_U_UP,0.8679730199879869,1.08,1.0
2025_01_02,0,2/3/3/1,NOISE,STEEP_LINEAR_UP,NOISE,0.6521077401978208,1.25,16.5
2025_01_02,2,2/3/3/1,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.9089662223660192,1.25,-0.25
2025_01_02,0,2/3/9/0,NOISE,STEEP_LINEAR_UP,NOISE,0.7262923785714668,1.08,17.25
2025_01_02,0,2/4/0/2,NOISE,STEEP_LINEAR_UP,FRONT_SKEWED_UP,0.7785788286752999,3.75,-0.75
2025_01_02,3,2/4/0/2,NOISE,STEEP_LINEAR_UP,NOISE,0.7464676305973917,2.08,5.25
2025_01_02,0,2/4/1/2,NOISE,STEEP_LINEAR_UP,FRONT_SKEWED_UP,0.9396378142616085,1.33,-1.5
2025_01_02,0,2/4/3/2,NOISE,STEEP_LINEAR_UP,FRONT_SKEWED_DOWN,0.7783978876373772,3.5,-3.5
2025_01_02,1,2/4/4/0,NOISE,STEEP_LINEAR_UP,STEP_UP,0.8951289337450807,1.0,-1.25
2025_01_02,2,3/0/0/2,NOISE,STEEP_LINEAR_UP,FRONT_SKEWED_UP,0.9057936702804329,1.33,3.0
2025_01_02,4,3/0/0/2,NOISE,STEEP_LINEAR_UP,NOISE,0.44108554728087646,1.75,3.75
2025_01_02,6,3/0/0/2,NOISE,STEEP_LINEAR_UP,DAMPED_OSCILLATOR,0.8275600543756142,2.75,1.0
2025_01_02,8,3/0/0/2,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_UP,0.8262405532140947,1.33,-7.5
2025_01_02,10,3/0/0/2,NOISE,STEEP_LINEAR_UP,STEP_UP,0.8670852218319473,0.67,2.75
2025_01_02,0,3/0/1/4,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.9065758626506331,1.83,-0.5
2025_01_03,0,1/0/0/1,NOISE,STEEP_LINEAR_UP,NOISE,0.7246100736516758,2.0,4.25
2025_01_03,3,1/0/0/1,NOISE,STEEP_LINEAR_UP,NOISE,0.3389351610328344,4.08,-4.25
2025_01_03,0,2/0/0/5,NOISE,STEEP_LINEAR_UP,NOISE,0.7434525322165842,2.08,0.5
2025_01_03,0,2/0/1/0,NOISE,STEEP_LINEAR_UP,NOISE,0.4612092278688497,4.5,0.0
2025_01_03,0,2/0/4/0,NOISE,STEEP_LINEAR_UP,NOISE,0.6472033995222182,3.0,1.0
2025_01_03,0,2/1/1/1,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_DOWN,0.7747934814203791,10.25,-1.25
2025_01_03,0,3/0/1/2,NOISE,STEEP_LINEAR_UP,NOISE,0.5771698328570053,3.92,0.5
2025_01_03,0,3/1/0/6,NOISE,STEEP_LINEAR_UP,STEP_UP,0.8677452195119062,3.83,2.5
2025_01_03,2,3/1/0/6,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.9133698899992158,1.25,2.0
2025_01_03,5,3/1/0/6,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_UP,0.8947145662156276,0.83,-2.5
2025_01_03,2,4/0/2/2,NOISE,STEEP_LINEAR_UP,NOISE,0.5141536932435782,2.17,-5.25
2025_01_03,4,4/0/2/2,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_UP,0.7967480665800948,2.17,-1.75
2025_01_03,0,4/1/1/0,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_UP,0.7855865192357242,2.75,5.0
2025_01_03,0,4/2/3/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.9038235134006879,1.25,2.25
2025_01_03,0,5/1/0/1,NOISE,STEEP_LINEAR_UP,SINE_WAVE,0.8006305222178547,1.33,0.75
2025_01_03,2,6/0/1/0,NOISE,STEEP_LINEAR_UP,EXPAND_OSCILLATOR,0.8182020121126875,1.42,-1.75
2025_01_03,0,6/1/1/0,NOISE,STEEP_LINEAR_UP,NOISE,0.6927278810296873,1.33,3.5
2025_01_03,3,6/1/1/0,NOISE,STEEP_LINEAR_UP,LINEAR_UP,0.9287096444060104,7.08,2.25
2025_01_03,2,7/0/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.3477227896118913,1.42,3.75
2025_01_03,4,7/0/0/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.9539298736973961,0.67,9.0
2025_01_03,6,7/0/0/0,NOISE,STEEP_LINEAR_UP,ROUNDED_U_UP,0.8147617904542312,2.08,3.25
