day,split,direction,entry_ts,actual_exit_ts,entry_price,actual_exit_price,actual_pnl,actual_exit_reason,bayes_exit_ts,bayes_exit_price,bayes_exit_reason,bayes_pnl,p_final_at_exit,delta_vs_actual
2025_10_29,IS,long,1761710100,1761710105,26244.0,26244.0,0.0,z_15s_overshoot,1761710105,26244.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761717780,1761717900,26257.25,26264.5,14.5,z_se_retracement,1761717900,26264.5,oracle_never_fired,14.5,,0.0
2025_10_29,IS,long,1761719820,1761719940,26277.5,26277.75,0.5,z_se_retracement,1761719940,26277.75,oracle_never_fired,0.5,,0.0
2025_10_29,IS,long,1761719940,1761720000,26277.75,26274.0,-7.5,z_se_retracement,1761720000,26274.0,oracle_never_fired,-7.5,,0.0
2025_10_29,IS,short,1761720180,1761720185,26277.75,26277.75,0.0,z_15s_overshoot,1761720185,26277.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761720780,1761720840,26274.25,26276.75,5.0,z_15s_overshoot,1761720840,26276.75,oracle_never_fired,5.0,,0.0
2025_10_29,IS,long,1761720840,1761720845,26276.75,26276.75,0.0,z_15s_overshoot,1761720845,26276.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761721020,1761721040,26277.75,26277.75,0.0,z_15s_overshoot,1761721040,26277.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761721140,1761721245,26281.25,26281.0,0.5,z_15s_overshoot,1761721245,26281.0,oracle_never_fired,0.5,,0.0
2025_10_29,IS,short,1761721260,1761721320,26278.5,26270.25,16.5,z_se_retracement,1761721320,26270.25,oracle_never_fired,16.5,,0.0
2025_10_29,IS,short,1761721860,1761721920,26274.5,26279.0,-9.0,z_se_retracement,1761721920,26279.0,oracle_never_fired,-9.0,,0.0
2025_10_29,IS,short,1761721980,1761722100,26280.25,26283.5,-6.5,z_se_retracement,1761722100,26283.5,oracle_never_fired,-6.5,,0.0
2025_10_29,IS,long,1761722460,1761722465,26262.75,26262.75,0.0,z_15s_overshoot,1761722465,26262.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761722820,1761722825,26273.0,26273.0,0.0,z_15s_overshoot,1761722825,26273.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761722940,1761723000,26276.0,26273.5,5.0,z_se_retracement,1761723000,26273.5,oracle_never_fired,5.0,,0.0
2025_10_29,IS,long,1761724260,1761724305,26282.0,26282.0,0.0,z_15s_overshoot,1761724305,26282.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761724440,1761724500,26290.0,26290.75,-1.5,z_se_retracement,1761724500,26290.75,oracle_never_fired,-1.5,,0.0
2025_10_29,IS,short,1761724680,1761724690,26292.5,26292.5,0.0,z_15s_overshoot,1761724690,26292.5,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761724980,1761724985,26299.25,26299.25,0.0,z_15s_overshoot,1761724985,26299.25,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761725520,1761725525,26293.25,26293.25,0.0,z_15s_overshoot,1761725525,26293.25,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761725580,1761725670,26291.25,26289.5,-3.5,z_15s_overshoot,1761725670,26289.5,oracle_never_fired,-3.5,,0.0
2025_10_29,IS,short,1761725880,1761726060,26305.25,26304.75,1.0,z_se_retracement,1761726005,26307.75,bayes_exit_p0.94_t5_cap0,-5.0,0.935,-6.0
2025_10_29,IS,long,1761726420,1761726480,26290.25,26292.0,3.5,z_se_retracement,1761726480,26292.0,oracle_never_fired,3.5,,0.0
2025_10_29,IS,short,1761726720,1761726750,26299.25,26299.25,0.0,z_15s_overshoot,1761726750,26299.25,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761726780,1761726840,26298.5,26290.0,17.0,z_se_retracement,1761726840,26290.0,oracle_never_fired,17.0,,0.0
2025_10_29,IS,long,1761728100,1761728160,26270.25,26265.0,-10.5,z_se_retracement,1761728160,26265.0,oracle_never_fired,-10.5,,0.0
2025_10_29,IS,short,1761730680,1761730685,26236.0,26236.0,0.0,z_15s_overshoot,1761730685,26236.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761730740,1761730920,26238.0,26237.25,1.5,z_se_retracement,1761730920,26237.25,oracle_never_fired,1.5,,0.0
2025_10_29,IS,short,1761731040,1761731100,26234.25,26230.25,8.0,z_se_retracement,1761731100,26230.25,oracle_never_fired,8.0,,0.0
2025_10_29,IS,long,1761731100,1761731160,26230.25,26232.75,5.0,z_15s_overshoot,1761731160,26232.75,oracle_never_fired,5.0,,0.0
2025_10_29,IS,short,1761731460,1761731520,26236.75,26236.0,1.5,z_se_retracement,1761731520,26236.0,oracle_never_fired,1.5,,0.0
2025_10_29,IS,short,1761731520,1761731580,26236.0,26236.0,0.0,z_se_retracement,1761731580,26236.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761732060,1761732105,26230.75,26230.75,0.0,z_15s_overshoot,1761732105,26230.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761732120,1761732180,26233.25,26239.25,12.0,z_se_retracement,1761732180,26239.25,oracle_never_fired,12.0,,0.0
2025_10_29,IS,short,1761732360,1761732420,26244.5,26243.0,3.0,z_15s_overshoot,1761732420,26243.0,oracle_never_fired,3.0,,0.0
2025_10_29,IS,long,1761732660,1761732720,26241.0,26243.75,5.5,z_se_retracement,1761732720,26243.75,oracle_never_fired,5.5,,0.0
2025_10_29,IS,long,1761733920,1761733980,26254.75,26260.0,10.5,z_se_retracement,1761733980,26260.0,oracle_never_fired,10.5,,0.0
2025_10_29,IS,short,1761735000,1761735005,26258.75,26258.75,0.0,z_15s_overshoot,1761735005,26258.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761735060,1761735120,26259.0,26263.75,-9.5,z_se_retracement,1761735120,26263.75,oracle_never_fired,-9.5,,0.0
2025_10_29,IS,long,1761735480,1761735630,26253.0,26252.25,-1.5,z_15s_overshoot,1761735615,26253.0,bayes_exit_p0.94_t5_cap0,0.0,0.935,1.5
2025_10_29,IS,short,1761735900,1761735915,26267.5,26267.5,0.0,z_15s_overshoot,1761735915,26267.5,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761736920,1761736925,26272.0,26272.0,0.0,z_15s_overshoot,1761736925,26272.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761736980,1761737040,26277.0,26282.5,11.0,z_se_retracement,1761737040,26282.5,oracle_never_fired,11.0,,0.0
2025_10_29,IS,long,1761738120,1761738180,26291.25,26288.25,-6.0,z_se_retracement,1761738180,26288.25,oracle_never_fired,-6.0,,0.0
2025_10_29,IS,long,1761738240,1761738300,26290.0,26289.5,-1.0,z_se_retracement,1761738300,26289.5,oracle_never_fired,-1.0,,0.0
2025_10_29,IS,short,1761739800,1761739860,26282.75,26282.0,1.5,z_se_retracement,1761739860,26282.0,oracle_never_fired,1.5,,0.0
2025_10_29,IS,short,1761739860,1761739920,26282.0,26280.25,3.5,z_se_retracement,1761739920,26280.25,oracle_never_fired,3.5,,0.0
2025_10_29,IS,long,1761740340,1761740415,26277.0,26272.25,-9.5,z_15s_overshoot,1761740415,26272.25,oracle_never_fired,-9.5,,0.0
2025_10_29,IS,long,1761740460,1761740520,26273.75,26272.5,-2.5,z_se_retracement,1761740520,26272.5,oracle_never_fired,-2.5,,0.0
2025_10_29,IS,long,1761740520,1761740595,26272.5,26269.25,-6.5,z_15s_overshoot,1761740595,26269.25,oracle_never_fired,-6.5,,0.0
2025_10_29,IS,short,1761742020,1761742035,26256.75,26256.75,0.0,z_15s_overshoot,1761742035,26256.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761742080,1761742260,26262.75,26269.25,-13.0,z_se_retracement,1761742210,26261.25,bayes_exit_p0.93_t5_cap1,3.0,0.929,16.0
2025_10_29,IS,short,1761743040,1761743045,26265.75,26265.75,0.0,z_15s_overshoot,1761743045,26265.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761743220,1761743340,26275.0,26271.5,7.0,z_se_retracement,1761743340,26271.5,oracle_never_fired,7.0,,0.0
2025_10_29,IS,long,1761743460,1761743465,26266.5,26266.5,0.0,z_15s_overshoot,1761743465,26266.5,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761744600,1761744615,26268.75,26268.75,0.0,z_15s_overshoot,1761744615,26268.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761744660,1761744780,26280.5,26278.25,4.5,z_15s_overshoot,1761744780,26278.25,oracle_never_fired,4.5,,0.0
2025_10_29,IS,long,1761744960,1761745050,26274.0,26257.25,-33.5,z_15s_overshoot,1761745050,26257.25,oracle_never_fired,-33.5,,0.0
2025_10_29,IS,long,1761745080,1761745085,26273.5,26273.5,0.0,z_15s_overshoot,1761745085,26273.5,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761745620,1761745635,26277.75,26277.75,0.0,z_15s_overshoot,1761745635,26277.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761746820,1761746880,26278.0,26278.0,0.0,z_15s_overshoot,1761746880,26278.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761748020,1761748080,26293.5,26293.75,0.5,z_se_retracement,1761748080,26293.75,oracle_never_fired,0.5,,0.0
2025_10_29,IS,short,1761750120,1761750125,26274.75,26274.75,0.0,z_15s_overshoot,1761750125,26274.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761750840,1761750845,26254.75,26254.75,0.0,z_15s_overshoot,1761750845,26254.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761751140,1761751155,26266.25,26266.25,0.0,z_15s_overshoot,1761751155,26266.25,oracle_never_fired,0.0,,0.0
2025_10_29,IS,short,1761751320,1761751325,26270.75,26270.75,0.0,z_15s_overshoot,1761751325,26270.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761751740,1761751815,26253.75,26253.25,-1.0,z_15s_overshoot,1761751815,26253.25,oracle_never_fired,-1.0,,0.0
2025_10_29,IS,long,1761751920,1761751980,26246.5,26239.5,-14.0,z_se_retracement,1761751980,26239.5,oracle_never_fired,-14.0,,0.0
2025_10_29,IS,short,1761753240,1761753360,26246.0,26230.0,32.0,z_se_retracement,1761753360,26230.0,oracle_never_fired,32.0,,0.0
2025_10_29,IS,long,1761753780,1761753785,26228.75,26228.75,0.0,z_15s_overshoot,1761753785,26228.75,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761755880,1761755940,26247.75,26247.25,-1.0,z_se_retracement,1761755940,26247.25,oracle_never_fired,-1.0,,0.0
2025_10_29,IS,short,1761756060,1761756090,26250.5,26250.5,0.0,z_15s_overshoot,1761756090,26250.5,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761756540,1761756545,26246.0,26246.0,0.0,z_15s_overshoot,1761756545,26246.0,oracle_never_fired,0.0,,0.0
2025_10_29,IS,long,1761756600,1761756660,26247.75,26254.25,13.0,z_se_retracement,1761756660,26254.25,oracle_never_fired,13.0,,0.0
