day,split,direction,entry_ts,actual_exit_ts,entry_price,actual_exit_price,actual_pnl,actual_exit_reason,bayes_exit_ts,bayes_exit_price,bayes_exit_reason,bayes_pnl,p_final_at_exit,delta_vs_actual
2025_01_02,IS,short,1735779720,1735779840,21274.5,21262.75,23.5,z_se_retracement,1735779840,21262.75,oracle_never_fired,23.5,,0.0
2025_01_02,IS,short,1735781880,1735782060,21296.75,21304.0,-14.5,z_se_retracement,1735782005,21301.75,bayes_exit_p0.94_t5_cap0,-10.0,0.939,4.5
2025_01_02,IS,short,1735783620,1735783625,21296.25,21296.25,0.0,z_15s_overshoot,1735783625,21296.25,oracle_never_fired,0.0,,0.0
2025_01_02,IS,long,1735784160,1735784165,21290.25,21290.25,0.0,z_15s_overshoot,1735784165,21290.25,oracle_never_fired,0.0,,0.0
2025_01_02,IS,short,1735784880,1735784885,21318.25,21318.25,0.0,z_15s_overshoot,1735784885,21318.25,oracle_never_fired,0.0,,0.0
2025_01_02,IS,long,1735786380,1735786395,21319.0,21319.0,0.0,z_15s_overshoot,1735786395,21319.0,oracle_never_fired,0.0,,0.0
2025_01_02,IS,short,1735794840,1735794845,21341.5,21341.5,0.0,z_15s_overshoot,1735794845,21341.5,oracle_never_fired,0.0,,0.0
2025_01_02,IS,long,1735799340,1735799400,21363.5,21361.25,-4.5,z_se_retracement,1735799400,21361.25,oracle_never_fired,-4.5,,0.0
2025_01_02,IS,long,1735803060,1735803210,21369.0,21364.75,-8.5,z_15s_overshoot,1735803190,21368.75,bayes_exit_p0.94_t5_cap0,-0.5,0.939,8.0
2025_01_02,IS,short,1735804920,1735804935,21388.75,21388.75,0.0,z_15s_overshoot,1735804935,21388.75,oracle_never_fired,0.0,,0.0
2025_01_02,IS,short,1735804980,1735805040,21385.25,21393.75,-17.0,z_se_retracement,1735805040,21393.75,oracle_never_fired,-17.0,,0.0
2025_01_02,IS,long,1735809660,1735809705,21388.25,21388.25,0.0,z_15s_overshoot,1735809705,21388.25,oracle_never_fired,0.0,,0.0
2025_01_02,IS,long,1735809720,1735809725,21395.75,21395.75,0.0,z_15s_overshoot,1735809725,21395.75,oracle_never_fired,0.0,,0.0
2025_01_02,IS,long,1735817460,1735817465,21392.25,21392.25,0.0,z_15s_overshoot,1735817465,21392.25,oracle_never_fired,0.0,,0.0
2025_01_02,IS,short,1735824180,1735824185,21428.75,21428.75,0.0,z_15s_overshoot,1735824185,21428.75,oracle_never_fired,0.0,,0.0
2025_01_02,IS,long,1735833480,1735833510,21280.75,21280.75,0.0,z_15s_overshoot,1735833510,21280.75,oracle_never_fired,0.0,,0.0
2025_01_02,IS,long,1735833540,1735833545,21277.5,21277.5,0.0,z_15s_overshoot,1735833545,21277.5,oracle_never_fired,0.0,,0.0
2025_01_02,IS,long,1735834860,1735834865,21239.25,21239.25,0.0,z_15s_overshoot,1735834865,21239.25,oracle_never_fired,0.0,,0.0
2025_01_02,IS,long,1735834920,1735835040,21232.5,21289.0,113.0,z_se_retracement,1735835040,21289.0,oracle_never_fired,113.0,,0.0
2025_01_02,IS,long,1735836240,1735836360,21297.5,21308.75,22.5,z_se_retracement,1735836360,21308.75,oracle_never_fired,22.5,,0.0
2025_01_02,IS,short,1735836540,1735836545,21345.75,21345.75,0.0,z_15s_overshoot,1735836545,21345.75,oracle_never_fired,0.0,,0.0
