**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,seg_idx,shape,skew,r,mean_sigma,start_ts,end_ts,length_min,parent_phrase_idx,shape_class
2025_01_01,IS,0,NOISE,NONE,-2.0,11.989447334554288,1735772400,1735775995,59.9,0,NOISE
2025_01_02,IS,0,NOISE,NONE,-2.0,32.08998442717907,1735776000,1735779705,61.8,0,NOISE
2025_01_02,IS,0,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9760499636466876,10.872002853505569,1735781520,1735791000,158.0,1,GENTLE_CONCAVE_UP
2025_01_02,IS,1,NOISE,NONE,0.7201449545471386,7.8233101518712,1735791000,1735794305,55.1,1,NOISE
2025_01_02,IS,2,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9673684921252992,8.565484146141962,1735794305,1735804330,167.1,1,GENTLE_CONCAVE_UP
2025_01_02,IS,3,NOISE,NONE,0.2494402915747647,22.9657629374658,1735804330,1735810200,97.8,1,NOISE
2025_01_02,IS,4,FLATLINE,NONE,0.0,10.946157915642637,1735810200,1735815295,84.9,1,FLATLINE
2025_01_02,IS,5,NOISE,NONE,0.7685708042053374,8.731012405700143,1735815295,1735816235,15.7,1,NOISE
2025_01_02,IS,6,GENTLE_LINEAR_UP,NONE,0.8761966190853356,16.17441099353015,1735816235,1735824000,129.4,1,GENTLE_LINEAR_UP
2025_01_02,IS,7,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.9831006709422402,25.81208590318509,1735824000,1735829100,85.0,1,STEEP_CONCAVE_DOWN
2025_01_02,IS,0,FLATLINE,NONE,0.0,76.7387515059989,1735829100,1735833300,70.0,2,FLATLINE
2025_01_02,IS,1,NOISE,NONE,0.4477411162338597,32.8442421824828,1735833300,1735839300,100.0,2,NOISE
2025_01_02,IS,2,STEEP_CONVEX_DOWN,SYMMETRIC,0.9419996307498032,53.60598662495924,1735839300,1735845600,105.0,2,STEEP_CONVEX_DOWN
2025_01_02,IS,3,STEEP_LINEAR_UP,NONE,0.9942539739663252,25.34536730913265,1735845600,1735851600,100.0,2,STEEP_LINEAR_UP
2025_01_02,IS,0,NOISE,NONE,0.7482059094749751,11.898347307420368,1735851600,1735861125,158.8,3,NOISE
2025_01_02,IS,1,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9752144566553518,9.939096544421416,1735861125,1735862395,21.2,3,STEEP_CONVEX_DOWN
2025_01_03,IS,0,NOISE,NONE,-2.0,17.350251584674982,1735862400,1735866545,69.1,0,NOISE
2025_01_03,IS,0,NOISE,NONE,0.7892910879775669,8.013142322834899,1735868520,1735871280,46.0,1,NOISE
2025_01_03,IS,0,NOISE,NONE,0.7700532092052035,6.310571403368826,1735871400,1735879805,140.1,2,NOISE
2025_01_03,IS,1,STEEP_LINEAR_DOWN,NONE,0.9781459331210356,7.60871976174324,1735879805,1735882250,40.8,2,STEEP_LINEAR_DOWN
2025_01_03,IS,0,NOISE,NONE,0.7856473087630222,6.938327855412139,1735882250,1735891190,149.0,3,NOISE
2025_01_03,IS,1,FLATLINE,NONE,0.8677218312746249,6.772070321859416,1735891200,1735891775,9.6,3,FLATLINE
2025_01_03,IS,0,NOISE,NONE,0.64022517521255,13.035086776507695,1735891775,1735901135,156.0,4,NOISE
2025_01_03,IS,1,STEEP_LINEAR_DOWN,NONE,0.9865267696774686,9.14518847497612,1735901135,1735903630,41.6,4,STEEP_LINEAR_DOWN
2025_01_03,IS,0,NOISE,NONE,0.4180797872341463,8.147413178667774,1735903800,1735907185,56.4,5,NOISE
2025_01_03,IS,0,GENTLE_LINEAR_UP,NONE,0.8836505953765907,10.78901563445741,1735907400,1735913700,105.0,6,GENTLE_LINEAR_UP
2025_01_03,IS,0,STEEP_CONCAVE_UP,SYMMETRIC,0.8962973657842956,37.66563960573849,1735913700,1735920300,110.0,7,STEEP_CONCAVE_UP
2025_01_03,IS,1,STEEP_LINEAR_UP,NONE,0.958911416601283,19.270882314545105,1735920300,1735921500,20.0,7,STEEP_LINEAR_UP
2025_01_03,IS,2,STEEP_CONCAVE_UP,FRONT_SKEWED,0.922485940913261,21.397155979794057,1735921500,1735927800,105.0,7,STEEP_CONCAVE_UP
2025_01_03,IS,3,STEEP_LINEAR_UP,NONE,0.9427582914350822,8.403533075197515,1735927800,1735929000,20.0,7,STEEP_LINEAR_UP
2025_01_03,IS,4,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9501827845275598,13.866079205065075,1735929000,1735936200,120.0,7,GENTLE_CONCAVE_UP
2025_01_03,IS,5,GENTLE_LINEAR_DOWN,NONE,0.9961563843987564,9.093841391971145,1735936200,1735940850,77.5,7,GENTLE_LINEAR_DOWN
2025_01_03,IS,0,GENTLE_LINEAR_DOWN,NONE,0.938041338758779,4.016964457385811,1735940850,1735941595,12.4,8,GENTLE_LINEAR_DOWN
2025_01_05,IS,0,NOISE,NONE,-2.0,7.73456433400199,1736118000,1736121595,59.9,0,NOISE
2025_01_06,IS,0,NOISE,NONE,-2.0,10.799653662034252,1736121600,1736125750,69.2,0,NOISE
2025_01_06,IS,0,NOISE,NONE,0.8126957540006738,4.328284283020257,1736127585,1736129700,35.2,1,NOISE
2025_01_06,IS,0,GENTLE_LINEAR_UP,NONE,0.9818248547931994,8.703044821695752,1736129700,1736173200,725.0,2,GENTLE_LINEAR_UP
2025_01_06,IS,1,FLATLINE,NONE,0.0,26.796617230394272,1736173200,1736174400,20.0,2,FLATLINE
2025_01_06,IS,2,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9671970834254632,20.98083229604833,1736174400,1736183100,145.0,2,STEEP_CONCAVE_UP
2025_01_06,IS,3,STEEP_LINEAR_DOWN,NONE,0.9890011046095089,16.430595778723287,1736183100,1736187300,70.0,2,STEEP_LINEAR_DOWN
2025_01_06,IS,0,STEEP_CONVEX_DOWN,BACK_SKEWED,0.951250223466052,17.002511041275277,1736187300,1736196300,150.0,3,STEEP_CONVEX_DOWN
2025_01_06,IS,1,STEEP_LINEAR_UP,NONE,0.9906013950847348,20.34341130952125,1736196300,1736204400,135.0,3,STEEP_LINEAR_UP
2025_01_06,IS,0,NOISE,NONE,0.6627085401271058,5.3195627869732105,1736204400,1736207995,59.9,4,NOISE
2025_01_07,IS,0,NOISE,NONE,-2.0,4.530524623821047,1736208000,1736212410,73.5,0,NOISE
2025_01_07,IS,0,GENTLE_LINEAR_UP,NONE,0.9667210645598184,6.305239360175044,1736214255,1736218035,63.0,1,GENTLE_LINEAR_UP
2025_01_07,IS,0,GENTLE_LINEAR_DOWN,NONE,0.947377145457406,9.028014105443551,1736218035,1736233560,258.8,2,GENTLE_LINEAR_DOWN
2025_01_07,IS,1,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9802716509574358,8.548023242735647,1736233560,1736238965,90.1,2,GENTLE_CONCAVE_UP
