day,split,seg_idx,shape,skew,r,mean_sigma,start_ts,end_ts,length_min,shape_class
2025_01_01,IS,0,NOISE,NONE,-2.0,11.851731795701022,1735772400,1735775995,59.9,NOISE
2025_01_02,IS,0,NOISE,NONE,-2.0,44.04425566522087,1735776000,1735779705,61.8,NOISE
2025_01_02,IS,1,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9858049518687848,28.22721090877664,1735781520,1735829100,793.0,GENTLE_CONCAVE_UP
2025_01_02,IS,2,STEEP_LINEAR_DOWN,NONE,0.9902783897848828,84.3460030462732,1735829100,1735851600,375.0,STEEP_LINEAR_DOWN
2025_01_02,IS,3,STEEP_LINEAR_UP,NONE,0.9801728415947206,47.15441502002412,1735851600,1735862395,179.9,STEEP_LINEAR_UP
2025_01_03,IS,0,NOISE,NONE,-2.0,14.342191263753268,1735862400,1735866545,69.1,NOISE
2025_01_03,IS,1,FLATLINE,NONE,0.0,13.630186248969132,1735868520,1735871280,46.0,FLATLINE
2025_01_03,IS,2,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9298638868095924,11.865386018758375,1735871400,1735882250,180.8,GENTLE_CONCAVE_UP
2025_01_03,IS,3,GENTLE_CONVEX_DOWN,FRONT_SKEWED,0.9331547809767424,10.288207311279873,1735882250,1735891775,158.8,GENTLE_CONVEX_DOWN
2025_01_03,IS,4,GENTLE_LINEAR_UP,NONE,0.9523294480515242,17.19090137714078,1735891775,1735903630,197.6,GENTLE_LINEAR_UP
2025_01_03,IS,5,FLATLINE,NONE,0.369435283069806,16.990318398046032,1735903800,1735907185,56.4,FLATLINE
2025_01_03,IS,6,GENTLE_CONVEX_DOWN,FRONT_SKEWED,0.8726755444057505,12.113468065631505,1735907400,1735913700,105.0,GENTLE_CONVEX_DOWN
2025_01_03,IS,7,STEEP_LINEAR_UP,NONE,0.9848753044802034,45.06341222558166,1735913700,1735940850,452.5,STEEP_LINEAR_UP
2025_01_03,IS,8,FLATLINE,NONE,0.0,21.33271557472964,1735940850,1735941595,12.4,FLATLINE
2025_01_05,IS,0,NOISE,NONE,-2.0,9.072442901823354,1736118000,1736121595,59.9,NOISE
2025_01_06,IS,0,NOISE,NONE,-2.0,9.38414143752192,1736121600,1736125750,69.2,NOISE
2025_01_06,IS,1,FLATLINE,NONE,0.0,7.992206882245804,1736127585,1736129700,35.2,FLATLINE
2025_01_06,IS,2,GENTLE_LINEAR_UP,NONE,0.988239584216422,26.77604883498925,1736129700,1736187300,960.0,GENTLE_LINEAR_UP
2025_01_06,IS,3,STEEP_LINEAR_DOWN,NONE,0.9630776920096056,46.17040317676116,1736187300,1736204400,285.0,STEEP_LINEAR_DOWN
2025_01_06,IS,4,GENTLE_LINEAR_UP,NONE,0.9666682575056538,41.56479929081883,1736204400,1736207995,59.9,GENTLE_LINEAR_UP
2025_01_07,IS,0,FLATLINE,NONE,0.0,6.110648576552894,1736208000,1736212410,73.5,FLATLINE
2025_01_07,IS,1,GENTLE_LINEAR_UP,NONE,0.8652125216211699,9.445005795100991,1736214255,1736218035,63.0,GENTLE_LINEAR_UP
2025_01_07,IS,2,GENTLE_LINEAR_DOWN,NONE,0.9793370878773884,15.79068887138559,1736218035,1736238965,348.8,GENTLE_LINEAR_DOWN
