**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,date_iso,threshold,max_depth,n_phrases,n_motifs,n_sub_motifs,n_measures,n_notes
2025_01_01,IS,2025-01-01,0.85,5,1,2,4,11,27
2025_01_02,IS,2025-01-02,0.85,5,4,23,78,262,741
2025_01_03,IS,2025-01-03,0.85,5,9,24,72,233,677
2025_01_05,IS,2025-01-05,0.85,5,1,1,5,10,30
2025_01_06,IS,2025-01-06,0.85,5,5,18,74,245,724
2025_01_07,IS,2025-01-07,0.85,5,6,25,70,240,711
2025_01_08,IS,2025-01-08,0.85,5,11,26,75,256,750
2025_01_09,IS,2025-01-09,0.85,5,6,13,45,147,429
2025_01_10,IS,2025-01-10,0.85,5,7,21,58,239,703
2025_01_12,IS,2025-01-12,0.85,5,1,2,4,9,34
2025_01_13,IS,2025-01-13,0.85,5,7,25,89,270,766
2025_01_14,IS,2025-01-14,0.85,5,11,23,68,237,693
2025_01_15,IS,2025-01-15,0.85,5,8,22,80,260,693
2025_01_16,IS,2025-01-16,0.85,5,4,22,76,260,718
2025_01_17,IS,2025-01-17,0.85,5,7,24,77,251,687
2025_01_19,IS,2025-01-19,0.85,5,1,2,5,10,22
2025_01_20,IS,2025-01-20,0.85,5,5,14,59,191,530
2025_01_21,IS,2025-01-21,0.85,5,10,20,79,265,720
2025_01_22,IS,2025-01-22,0.85,5,5,21,69,250,712
2025_01_23,IS,2025-01-23,0.85,5,8,22,76,255,671
2025_01_24,IS,2025-01-24,0.85,5,5,22,78,249,693
2025_01_26,IS,2025-01-26,0.85,5,1,2,3,9,31
2025_01_27,IS,2025-01-27,0.85,5,5,16,70,263,786
2025_01_28,IS,2025-01-28,0.85,5,12,29,82,274,749
2025_01_29,IS,2025-01-29,0.85,5,9,27,76,276,700
2025_01_30,IS,2025-01-30,0.85,5,8,25,77,243,717
2025_01_31,IS,2025-01-31,0.85,5,9,20,76,249,700
2025_02_02,IS,2025-02-02,0.85,5,1,2,3,9,40
2025_02_03,IS,2025-02-03,0.85,5,6,20,81,276,788
2025_02_04,IS,2025-02-04,0.85,5,6,23,68,276,779
2025_02_05,IS,2025-02-05,0.85,5,3,19,79,266,766
2025_02_06,IS,2025-02-06,0.85,5,6,23,68,243,753
2025_02_07,IS,2025-02-07,0.85,5,6,20,72,251,692
2025_02_09,IS,2025-02-09,0.85,5,1,2,3,10,32
2025_02_10,IS,2025-02-10,0.85,5,6,21,68,248,714
2025_02_11,IS,2025-02-11,0.85,5,8,21,73,250,692
2025_02_12,IS,2025-02-12,0.85,5,8,19,66,222,674
2025_02_13,IS,2025-02-13,0.85,5,9,20,70,250,744
2025_02_14,IS,2025-02-14,0.85,5,6,19,76,232,697
2025_02_16,IS,2025-02-16,0.85,5,1,2,5,9,28
2025_02_17,IS,2025-02-17,0.85,5,6,18,53,182,472
2025_02_18,IS,2025-02-18,0.85,5,6,24,74,227,702
2025_02_19,IS,2025-02-19,0.85,5,5,21,62,228,659
2025_02_20,IS,2025-02-20,0.85,5,7,23,81,246,678
2025_02_21,IS,2025-02-21,0.85,5,4,15,56,223,637
2025_02_23,IS,2025-02-23,0.85,5,1,2,4,13,31
2025_02_24,IS,2025-02-24,0.85,5,8,24,73,270,757
2025_02_25,IS,2025-02-25,0.85,5,9,25,76,247,735
2025_02_26,IS,2025-02-26,0.85,5,8,26,68,246,730
2025_02_27,IS,2025-02-27,0.85,5,6,24,72,258,729
2025_02_28,IS,2025-02-28,0.85,5,9,26,76,270,736
2025_03_02,IS,2025-03-02,0.85,5,1,2,4,9,32
2025_03_03,IS,2025-03-03,0.85,5,5,24,73,270,785
2025_03_04,IS,2025-03-04,0.85,5,5,23,84,282,819
2025_03_05,IS,2025-03-05,0.85,5,5,26,89,264,794
2025_03_06,IS,2025-03-06,0.85,5,6,24,79,266,764
2025_03_07,IS,2025-03-07,0.85,5,7,23,80,243,696
2025_03_09,IS,2025-03-09,0.85,5,2,3,6,19,54
2025_03_10,IS,2025-03-10,0.85,5,6,22,70,244,791
2025_03_11,IS,2025-03-11,0.85,5,9,26,75,272,787
2025_03_12,IS,2025-03-12,0.85,5,11,27,74,263,770
2025_03_13,IS,2025-03-13,0.85,5,7,17,68,265,786
2025_03_14,IS,2025-03-14,0.85,5,6,22,66,239,715
2025_03_16,IS,2025-03-16,0.85,5,2,3,6,15,42
