shape,n,BACK_SKEWED,FRONT_SKEWED,SYMMETRIC,NONE,pct_BACK,pct_FRONT,pct_SYM
STEEP_CONCAVE_UP,10858,3819,3765,3214,60,35.2,34.7,29.6
NOISE,10471,6,8,1,10456,0.1,0.1,0.0
STEEP_CONVEX_DOWN,10466,3970,3322,3131,43,37.9,31.7,29.9
STEEP_LINEAR_UP,9859,32,12,13,9802,0.3,0.1,0.1
STEEP_LINEAR_DOWN,9708,35,11,6,9656,0.4,0.1,0.1
FLATLINE,9033,4,1,3,9025,0.0,0.0,0.0
STEEP_CONVEX_UP,3305,2747,227,316,15,83.1,6.9,9.6
STEEP_CONCAVE_DOWN,3276,2704,230,323,19,82.5,7.0,9.9
GENTLE_CONVEX_DOWN,865,395,271,196,3,45.7,31.3,22.7
GENTLE_CONCAVE_UP,864,410,275,178,1,47.5,31.8,20.6
GENTLE_LINEAR_UP,603,2,2,0,599,0.3,0.3,0.0
GENTLE_LINEAR_DOWN,594,0,0,0,594,0.0,0.0,0.0
GENTLE_CONVEX_UP,481,356,70,53,2,74.0,14.6,11.0
GENTLE_CONCAVE_DOWN,399,289,65,43,2,72.4,16.3,10.8
