parent_shape,child_shape,n,p_child_given_parent,parent_n_total
FLATLINE,NOISE,109,0.1926,566
FLATLINE,FLATLINE,92,0.1625,566
FLATLINE,STEEP_LINEAR_DOWN,59,0.1042,566
FLATLINE,STEEP_LINEAR_UP,55,0.0972,566
FLATLINE,GENTLE_LINEAR_UP,55,0.0972,566
FLATLINE,GENTLE_LINEAR_DOWN,38,0.0671,566
FLATLINE,GENTLE_CONCAVE_UP,36,0.0636,566
FLATLINE,GENTLE_CONVEX_UP,33,0.0583,566
FLATLINE,GENTLE_CONVEX_DOWN,27,0.0477,566
FLATLINE,STEEP_CONCAVE_DOWN,14,0.0247,566
FLATLINE,STEEP_CONVEX_DOWN,13,0.023,566
FLATLINE,STEEP_CONVEX_UP,13,0.023,566
FLATLINE,GENTLE_CONCAVE_DOWN,11,0.0194,566
FLATLINE,STEEP_CONCAVE_UP,11,0.0194,566
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,16,0.2133,75
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,15,0.2,75
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,11,0.1467,75
GENTLE_CONCAVE_DOWN,FLATLINE,11,0.1467,75
GENTLE_CONCAVE_DOWN,NOISE,9,0.12,75
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,4,0.0533,75
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,3,0.04,75
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,2,0.0267,75
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,1,0.0133,75
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,1,0.0133,75
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,1,0.0133,75
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,1,0.0133,75
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,150,0.1887,795
GENTLE_CONCAVE_UP,FLATLINE,117,0.1472,795
GENTLE_CONCAVE_UP,NOISE,99,0.1245,795
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,87,0.1094,795
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,83,0.1044,795
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,57,0.0717,795
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,55,0.0692,795
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,48,0.0604,795
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,28,0.0352,795
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_DOWN,19,0.0239,795
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,18,0.0226,795
GENTLE_CONCAVE_UP,GENTLE_CONVEX_UP,18,0.0226,795
GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,14,0.0176,795
GENTLE_CONCAVE_UP,STEEP_CONVEX_UP,2,0.0025,795
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,93,0.1664,559
GENTLE_CONVEX_DOWN,FLATLINE,85,0.1521,559
GENTLE_CONVEX_DOWN,NOISE,66,0.1181,559
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,51,0.0912,559
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,48,0.0859,559
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,47,0.0841,559
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,43,0.0769,559
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,38,0.068,559
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,27,0.0483,559
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,19,0.034,559
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,17,0.0304,559
GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,11,0.0197,559
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,10,0.0179,559
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_DOWN,4,0.0072,559
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,15,0.2273,66
GENTLE_CONVEX_UP,GENTLE_LINEAR_UP,13,0.197,66
GENTLE_CONVEX_UP,NOISE,8,0.1212,66
GENTLE_CONVEX_UP,GENTLE_CONVEX_UP,8,0.1212,66
GENTLE_CONVEX_UP,FLATLINE,6,0.0909,66
GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,3,0.0455,66
GENTLE_CONVEX_UP,STEEP_LINEAR_DOWN,3,0.0455,66
GENTLE_CONVEX_UP,STEEP_CONVEX_UP,3,0.0455,66
GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,2,0.0303,66
GENTLE_CONVEX_UP,STEEP_CONVEX_DOWN,2,0.0303,66
GENTLE_CONVEX_UP,GENTLE_CONCAVE_UP,2,0.0303,66
GENTLE_CONVEX_UP,GENTLE_CONVEX_DOWN,1,0.0152,66
GENTLE_LINEAR_DOWN,FLATLINE,155,0.1606,965
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,131,0.1358,965
GENTLE_LINEAR_DOWN,NOISE,119,0.1233,965
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,94,0.0974,965
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,85,0.0881,965
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,80,0.0829,965
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,79,0.0819,965
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_UP,71,0.0736,965
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,46,0.0477,965
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,31,0.0321,965
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,29,0.0301,965
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_UP,21,0.0218,965
GENTLE_LINEAR_DOWN,STEEP_CONVEX_UP,14,0.0145,965
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_DOWN,10,0.0104,965
GENTLE_LINEAR_UP,FLATLINE,218,0.1799,1212
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,196,0.1617,1212
GENTLE_LINEAR_UP,NOISE,168,0.1386,1212
GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,126,0.104,1212
GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,93,0.0767,1212
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,89,0.0734,1212
GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,88,0.0726,1212
GENTLE_LINEAR_UP,GENTLE_LINEAR_DOWN,67,0.0553,1212
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,65,0.0536,1212
GENTLE_LINEAR_UP,GENTLE_CONVEX_UP,45,0.0371,1212
GENTLE_LINEAR_UP,GENTLE_CONCAVE_DOWN,19,0.0157,1212
GENTLE_LINEAR_UP,STEEP_CONCAVE_DOWN,19,0.0157,1212
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,13,0.0107,1212
GENTLE_LINEAR_UP,STEEP_CONVEX_UP,6,0.005,1212
NOISE,NOISE,295,0.3165,932
NOISE,FLATLINE,159,0.1706,932
NOISE,STEEP_LINEAR_UP,102,0.1094,932
NOISE,STEEP_LINEAR_DOWN,72,0.0773,932
NOISE,GENTLE_LINEAR_UP,64,0.0687,932
NOISE,GENTLE_LINEAR_DOWN,56,0.0601,932
NOISE,GENTLE_CONVEX_DOWN,28,0.03,932
NOISE,GENTLE_CONCAVE_UP,27,0.029,932
NOISE,GENTLE_CONVEX_UP,26,0.0279,932
NOISE,STEEP_CONCAVE_DOWN,25,0.0268,932
NOISE,GENTLE_CONCAVE_DOWN,25,0.0268,932
NOISE,STEEP_CONVEX_UP,22,0.0236,932
NOISE,STEEP_CONVEX_DOWN,19,0.0204,932
NOISE,STEEP_CONCAVE_UP,12,0.0129,932
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,6,0.1818,33
STEEP_CONCAVE_DOWN,NOISE,5,0.1515,33
STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,5,0.1515,33
STEEP_CONCAVE_DOWN,FLATLINE,5,0.1515,33
STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,3,0.0909,33
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,2,0.0606,33
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,2,0.0606,33
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_UP,2,0.0606,33
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,2,0.0606,33
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,1,0.0303,33
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,26,0.2281,114
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,15,0.1316,114
STEEP_CONCAVE_UP,FLATLINE,15,0.1316,114
STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,10,0.0877,114
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,10,0.0877,114
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,9,0.0789,114
STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,7,0.0614,114
STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,6,0.0526,114
STEEP_CONCAVE_UP,NOISE,6,0.0526,114
STEEP_CONCAVE_UP,STEEP_CONVEX_UP,4,0.0351,114
STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,2,0.0175,114
STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,2,0.0175,114
STEEP_CONCAVE_UP,GENTLE_CONCAVE_DOWN,1,0.0088,114
STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,1,0.0088,114
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,24,0.24,100
STEEP_CONVEX_DOWN,FLATLINE,19,0.19,100
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,12,0.12,100
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,9,0.09,100
STEEP_CONVEX_DOWN,NOISE,7,0.07,100
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,7,0.07,100
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,5,0.05,100
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,5,0.05,100
STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,4,0.04,100
STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,3,0.03,100
STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,3,0.03,100
STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,1,0.01,100
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,1,0.01,100
STEEP_CONVEX_UP,STEEP_LINEAR_UP,4,0.3333,12
STEEP_CONVEX_UP,FLATLINE,3,0.25,12
STEEP_CONVEX_UP,STEEP_CONCAVE_UP,2,0.1667,12
STEEP_CONVEX_UP,NOISE,1,0.0833,12
STEEP_CONVEX_UP,GENTLE_LINEAR_UP,1,0.0833,12
STEEP_CONVEX_UP,STEEP_CONVEX_UP,1,0.0833,12
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,88,0.2037,432
STEEP_LINEAR_DOWN,FLATLINE,82,0.1898,432
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,75,0.1736,432
STEEP_LINEAR_DOWN,NOISE,46,0.1065,432
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,46,0.1065,432
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,25,0.0579,432
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,19,0.044,432
STEEP_LINEAR_DOWN,GENTLE_LINEAR_DOWN,18,0.0417,432
STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,9,0.0208,432
STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,8,0.0185,432
STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,6,0.0139,432
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,4,0.0093,432
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,4,0.0093,432
STEEP_LINEAR_DOWN,GENTLE_CONVEX_UP,2,0.0046,432
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,84,0.2024,415
STEEP_LINEAR_UP,FLATLINE,70,0.1687,415
STEEP_LINEAR_UP,STEEP_LINEAR_UP,60,0.1446,415
STEEP_LINEAR_UP,NOISE,33,0.0795,415
STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,32,0.0771,415
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,24,0.0578,415
STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,23,0.0554,415
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,21,0.0506,415
STEEP_LINEAR_UP,GENTLE_LINEAR_UP,16,0.0386,415
STEEP_LINEAR_UP,GENTLE_CONVEX_UP,15,0.0361,415
STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,11,0.0265,415
STEEP_LINEAR_UP,STEEP_CONVEX_UP,11,0.0265,415
STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,9,0.0217,415
STEEP_LINEAR_UP,GENTLE_CONCAVE_DOWN,6,0.0145,415
