shape,n,min,p10,median,mean,p90,max
FLATLINE,1037,1.0,4.92,30.83,32.61,59.53,340.0
NOISE,971,1.25,29.92,44.23,52.82,92.17,729.83
GENTLE_CONCAVE_UP,591,7.58,45.0,69.75,79.89,130.0,744.33
STEEP_LINEAR_DOWN,556,7.25,15.17,45.0,72.64,155.0,599.92
STEEP_LINEAR_UP,544,4.25,16.17,45.0,71.12,155.84,488.32
GENTLE_CONVEX_DOWN,504,6.83,45.0,65.0,72.36,112.02,388.25
GENTLE_LINEAR_UP,434,4.33,14.92,78.34,84.96,171.53,371.75
GENTLE_LINEAR_DOWN,398,3.5,12.67,69.5,71.68,145.67,349.67
STEEP_CONCAVE_UP,374,6.62,50.0,79.96,90.54,149.07,325.0
STEEP_CONVEX_DOWN,339,5.75,49.92,74.92,82.82,140.1,266.17
GENTLE_CONVEX_UP,189,2.75,12.31,25.0,31.93,61.36,124.97
GENTLE_CONCAVE_DOWN,127,5.22,12.77,25.67,33.94,74.95,129.08
STEEP_CONCAVE_DOWN,113,2.3,10.0,25.0,43.54,102.46,229.75
STEEP_CONVEX_UP,99,5.83,10.0,25.0,47.28,95.0,406.17
