shape,n,min,p10,median,mean,p90,max
NOISE,436,18.0,45.0,67.58,89.33,135.0,804.25
FLATLINE,348,7.17,12.67,65.62,70.43,140.81,417.08
GENTLE_LINEAR_UP,282,12.67,50.73,276.33,308.24,574.42,1109.83
GENTLE_LINEAR_DOWN,244,13.58,53.55,247.79,272.0,453.09,960.0
GENTLE_CONCAVE_UP,214,20.25,120.02,204.5,239.28,419.92,793.0
GENTLE_CONVEX_DOWN,167,31.92,120.64,194.33,210.3,331.24,585.08
STEEP_LINEAR_DOWN,103,40.53,164.92,300.0,334.47,551.9,1038.17
STEEP_LINEAR_UP,93,29.33,137.58,300.0,346.46,610.8,792.33
GENTLE_CONCAVE_DOWN,49,14.33,29.11,45.0,95.38,136.32,900.0
GENTLE_CONVEX_UP,48,15.0,16.17,45.0,66.41,118.42,359.92
STEEP_CONCAVE_UP,28,179.5,193.1,283.84,318.2,490.8,599.92
STEEP_CONVEX_DOWN,23,102.15,152.74,344.25,345.68,536.92,997.08
STEEP_CONCAVE_DOWN,8,30.0,142.58,393.34,397.06,653.56,744.5
STEEP_CONVEX_UP,4,104.08,135.83,209.92,250.96,398.92,479.92
