from,to,count,p_to_given_from
FLATLINE,GENTLE_LINEAR_UP,79,0.25
FLATLINE,NOISE,52,0.1646
FLATLINE,GENTLE_LINEAR_DOWN,51,0.1614
FLATLINE,GENTLE_CONCAVE_UP,37,0.1171
FLATLINE,GENTLE_CONVEX_DOWN,31,0.0981
FLATLINE,STEEP_LINEAR_UP,17,0.0538
FLATLINE,GENTLE_CONCAVE_DOWN,14,0.0443
FLATLINE,STEEP_LINEAR_DOWN,14,0.0443
FLATLINE,GENTLE_CONVEX_UP,11,0.0348
FLATLINE,STEEP_CONVEX_DOWN,5,0.0158
FLATLINE,STEEP_CONCAVE_UP,3,0.0095
FLATLINE,STEEP_CONVEX_UP,2,0.0063
GENTLE_CONCAVE_DOWN,FLATLINE,10,0.2326
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,9,0.2093
GENTLE_CONCAVE_DOWN,NOISE,8,0.186
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,7,0.1628
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,6,0.1395
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,1,0.0233
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,1,0.0233
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_UP,1,0.0233
GENTLE_CONCAVE_UP,FLATLINE,46,0.23
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,45,0.225
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,41,0.205
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,27,0.135
GENTLE_CONCAVE_UP,NOISE,23,0.115
GENTLE_CONCAVE_UP,GENTLE_CONVEX_UP,9,0.045
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,4,0.02
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,4,0.02
GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,1,0.005
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,51,0.3208
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,42,0.2642
GENTLE_CONVEX_DOWN,FLATLINE,23,0.1447
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,18,0.1132
GENTLE_CONVEX_DOWN,NOISE,12,0.0755
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,5,0.0314
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,4,0.0252
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,3,0.0189
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,1,0.0063
GENTLE_CONVEX_UP,GENTLE_LINEAR_UP,14,0.3333
GENTLE_CONVEX_UP,FLATLINE,10,0.2381
GENTLE_CONVEX_UP,GENTLE_CONCAVE_UP,6,0.1429
GENTLE_CONVEX_UP,NOISE,5,0.119
GENTLE_CONVEX_UP,GENTLE_CONCAVE_DOWN,4,0.0952
GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,1,0.0238
