shape,n,min,p10,median,mean,p90,max
NOISE,436,-2.0,-2.0,-2.0,-1.151,0.803,0.849
FLATLINE,348,-2.0,0.0,0.0,0.087,0.754,0.926
GENTLE_LINEAR_UP,282,0.854,0.917,0.967,0.96,0.987,0.996
GENTLE_LINEAR_DOWN,244,0.857,0.92,0.966,0.959,0.987,0.995
GENTLE_CONCAVE_UP,214,0.853,0.888,0.957,0.945,0.981,0.994
GENTLE_CONVEX_DOWN,167,0.858,0.901,0.953,0.946,0.977,0.99
STEEP_LINEAR_DOWN,103,0.925,0.962,0.977,0.977,0.993,0.997
STEEP_LINEAR_UP,93,0.887,0.964,0.98,0.977,0.991,0.995
GENTLE_CONCAVE_DOWN,49,0.861,0.871,0.898,0.903,0.953,0.983
GENTLE_CONVEX_UP,48,0.853,0.864,0.892,0.902,0.953,0.978
STEEP_CONCAVE_UP,28,0.956,0.962,0.968,0.971,0.987,0.991
STEEP_CONVEX_DOWN,23,0.95,0.96,0.971,0.971,0.982,0.988
STEEP_CONCAVE_DOWN,8,0.876,0.921,0.949,0.944,0.967,0.967
STEEP_CONVEX_UP,4,0.945,0.951,0.965,0.961,0.968,0.968
