shape,n,BACK_SKEWED,FRONT_SKEWED,SYMMETRIC,NONE,pct_BACK,pct_FRONT,pct_SYM
NOISE,436,0,0,0,436,0.0,0.0,0.0
FLATLINE,348,5,5,1,337,1.4,1.4,0.3
GENTLE_LINEAR_UP,282,3,0,0,279,1.1,0.0,0.0
GENTLE_LINEAR_DOWN,244,1,0,0,243,0.4,0.0,0.0
GENTLE_CONCAVE_UP,214,44,114,56,0,20.6,53.3,26.2
GENTLE_CONVEX_DOWN,167,40,66,60,1,24.0,39.5,35.9
STEEP_LINEAR_DOWN,103,0,0,0,103,0.0,0.0,0.0
STEEP_LINEAR_UP,93,0,0,0,93,0.0,0.0,0.0
GENTLE_CONCAVE_DOWN,49,48,0,1,0,98.0,0.0,2.0
GENTLE_CONVEX_UP,48,43,0,5,0,89.6,0.0,10.4
STEEP_CONCAVE_UP,28,6,12,10,0,21.4,42.9,35.7
STEEP_CONVEX_DOWN,23,7,8,8,0,30.4,34.8,34.8
STEEP_CONCAVE_DOWN,8,7,0,1,0,87.5,0.0,12.5
STEEP_CONVEX_UP,4,4,0,0,0,100.0,0.0,0.0
