parent_shape,child_shape,n,p_child_given_parent,parent_n_total
FLATLINE,STEEP_LINEAR_UP,358,0.1567,2284
FLATLINE,STEEP_LINEAR_DOWN,341,0.1493,2284
FLATLINE,FLATLINE,327,0.1432,2284
FLATLINE,STEEP_CONVEX_DOWN,215,0.0941,2284
FLATLINE,STEEP_CONCAVE_UP,208,0.0911,2284
FLATLINE,NOISE,187,0.0819,2284
FLATLINE,GENTLE_CONVEX_DOWN,149,0.0652,2284
FLATLINE,GENTLE_CONCAVE_UP,121,0.053,2284
FLATLINE,STEEP_CONCAVE_DOWN,81,0.0355,2284
FLATLINE,GENTLE_LINEAR_DOWN,78,0.0342,2284
FLATLINE,STEEP_CONVEX_UP,73,0.032,2284
FLATLINE,GENTLE_LINEAR_UP,71,0.0311,2284
FLATLINE,GENTLE_CONVEX_UP,40,0.0175,2284
FLATLINE,GENTLE_CONCAVE_DOWN,35,0.0153,2284
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,76,0.3248,234
GENTLE_CONCAVE_DOWN,FLATLINE,33,0.141,234
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,19,0.0812,234
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,17,0.0726,234
GENTLE_CONCAVE_DOWN,NOISE,17,0.0726,234
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,16,0.0684,234
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,13,0.0556,234
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,10,0.0427,234
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,9,0.0385,234
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,8,0.0342,234
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,7,0.0299,234
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,6,0.0256,234
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_UP,2,0.0085,234
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_UP,1,0.0043,234
GENTLE_CONCAVE_UP,FLATLINE,418,0.1631,2563
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,333,0.1299,2563
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,327,0.1276,2563
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,279,0.1089,2563
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,256,0.0999,2563
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,184,0.0718,2563
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,164,0.064,2563
GENTLE_CONCAVE_UP,NOISE,163,0.0636,2563
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,134,0.0523,2563
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,103,0.0402,2563
GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,63,0.0246,2563
GENTLE_CONCAVE_UP,STEEP_CONVEX_UP,51,0.0199,2563
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_DOWN,45,0.0176,2563
GENTLE_CONCAVE_UP,GENTLE_CONVEX_UP,43,0.0168,2563
GENTLE_CONVEX_DOWN,FLATLINE,302,0.1511,1999
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,284,0.1421,1999
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,249,0.1246,1999
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,200,0.1001,1999
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,176,0.088,1999
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,169,0.0845,1999
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,161,0.0805,1999
GENTLE_CONVEX_DOWN,NOISE,120,0.06,1999
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,114,0.057,1999
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,63,0.0315,1999
GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,54,0.027,1999
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,37,0.0185,1999
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,36,0.018,1999
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_DOWN,34,0.017,1999
