shape,IS_n,OOS_n,IS_pct,OOS_pct,IS_minus_OOS_pct
FLATLINE,2572,675,15.43,15.41,0.02
GENTLE_CONCAVE_DOWN,262,42,1.57,0.96,0.61
GENTLE_CONCAVE_UP,1156,248,6.94,5.66,1.27
GENTLE_CONVEX_DOWN,1107,240,6.64,5.48,1.16
GENTLE_CONVEX_UP,271,60,1.63,1.37,0.26
GENTLE_LINEAR_DOWN,583,125,3.5,2.85,0.64
GENTLE_LINEAR_UP,581,108,3.49,2.47,1.02
NOISE,1237,313,7.42,7.15,0.28
STEEP_CONCAVE_DOWN,476,143,2.86,3.26,-0.41
STEEP_CONCAVE_UP,1855,590,11.13,13.47,-2.34
STEEP_CONVEX_DOWN,1733,505,10.4,11.53,-1.13
STEEP_CONVEX_UP,487,163,2.92,3.72,-0.8
STEEP_LINEAR_DOWN,2170,623,13.02,14.22,-1.2
STEEP_LINEAR_UP,2178,545,13.07,12.44,0.62
