shape,n,mean,se,ci95_lo,ci95_hi,mfe_mean,mae_mean
STEEP_CONCAVE_UP,10803,-0.099,0.116,-0.328,0.129,6.185,-6.522
NOISE,10437,-0.123,0.124,-0.365,0.12,5.808,-6.021
STEEP_CONVEX_DOWN,10416,-0.098,0.118,-0.328,0.133,6.439,-6.64
STEEP_LINEAR_UP,9757,0.073,0.124,-0.171,0.317,6.193,-6.392
STEEP_LINEAR_DOWN,9622,0.246,0.131,-0.011,0.504,6.909,-6.779
FLATLINE,9002,0.114,0.123,-0.127,0.355,6.301,-6.394
STEEP_CONVEX_UP,3292,-0.001,0.219,-0.43,0.429,6.029,-6.226
STEEP_CONCAVE_DOWN,3261,0.37,0.228,-0.076,0.816,6.974,-6.885
GENTLE_CONCAVE_UP,860,0.022,0.175,-0.32,0.364,3.06,-3.174
GENTLE_CONVEX_DOWN,855,-0.01,0.18,-0.362,0.342,3.042,-2.956
GENTLE_LINEAR_UP,593,-0.347,0.211,-0.761,0.067,2.742,-3.267
GENTLE_LINEAR_DOWN,589,0.103,0.218,-0.325,0.531,3.115,-3.203
GENTLE_CONVEX_UP,474,-0.256,0.223,-0.694,0.182,2.698,-3.133
GENTLE_CONCAVE_DOWN,396,-0.134,0.274,-0.672,0.403,2.958,-3.205
