shape,n,mean,se,ci95_lo,ci95_hi,mfe_mean,mae_mean
FLATLINE,967,-0.605,1.334,-3.219,2.009,25.162,-26.732
NOISE,921,-1.848,1.617,-5.018,1.322,24.321,-26.895
GENTLE_CONCAVE_UP,550,-0.627,1.736,-4.03,2.776,20.891,-23.789
STEEP_LINEAR_DOWN,497,1.42,3.386,-5.216,8.057,35.231,-36.118
STEEP_LINEAR_UP,488,3.716,2.289,-0.771,8.203,32.527,-30.019
GENTLE_CONVEX_DOWN,474,-0.492,1.43,-3.295,2.311,18.435,-21.132
GENTLE_LINEAR_UP,381,-1.148,1.53,-4.147,1.85,16.963,-20.094
STEEP_CONCAVE_UP,349,1.008,3.168,-5.201,7.217,35.208,-37.648
GENTLE_LINEAR_DOWN,347,1.693,2.014,-2.255,5.641,19.777,-20.362
STEEP_CONVEX_DOWN,321,-2.577,3.139,-8.729,3.575,36.791,-39.752
GENTLE_CONVEX_UP,176,2.577,2.1,-1.54,6.693,19.249,-17.864
GENTLE_CONCAVE_DOWN,118,-2.886,2.853,-8.477,2.706,17.583,-21.922
STEEP_CONCAVE_DOWN,104,3.245,6.911,-10.3,16.79,46.101,-42.151
STEEP_CONVEX_UP,94,-4.524,7.939,-20.085,11.037,34.947,-41.527
