feature,coef,se,t_stat,sig
intercept,-0.9788,1.7373,-0.56,
shape_GENTLE_CONCAVE_DOWN,-0.4688,4.8559,-0.1,
shape_GENTLE_CONCAVE_UP,1.5966,2.8496,0.56,
shape_GENTLE_CONVEX_DOWN,1.6209,2.9452,0.55,
shape_GENTLE_CONVEX_UP,4.9334,4.1169,1.2,
shape_GENTLE_LINEAR_DOWN,4.0386,3.2583,1.24,
shape_GENTLE_LINEAR_UP,1.3019,3.2016,0.41,
shape_NOISE,-1.256,2.2735,-0.55,
shape_STEEP_CONCAVE_DOWN,3.6432,5.1444,0.71,
shape_STEEP_CONCAVE_UP,0.8533,3.3523,0.25,
shape_STEEP_CONVEX_DOWN,-3.5044,3.4851,-1.01,
shape_STEEP_CONVEX_UP,-4.8559,5.4016,-0.9,
shape_STEEP_LINEAR_DOWN,1.5835,2.9732,0.53,
shape_STEEP_LINEAR_UP,3.9665,2.9833,1.33,
length_min_z,-0.0009,0.6946,-0.0,
mean_sigma_z,2.0907,0.7451,2.81,**
r_z,-0.9305,0.839,-1.11,
