feature,coef,se,t_stat,sig
intercept,-0.1828,0.1303,-1.4,
shape_GENTLE_CONCAVE_DOWN,0.0373,1.0568,0.04,
shape_GENTLE_CONCAVE_UP,0.3093,0.898,0.34,
shape_GENTLE_CONVEX_DOWN,0.0859,0.9149,0.09,
shape_GENTLE_CONVEX_UP,-0.4525,1.0432,-0.43,
shape_GENTLE_LINEAR_DOWN,-0.384,0.8899,-0.43,
shape_GENTLE_LINEAR_UP,-0.2569,0.8386,-0.31,
shape_NOISE,0.2261,0.1195,1.89,
shape_STEEP_CONCAVE_DOWN,0.1023,0.1721,0.59,
shape_STEEP_CONCAVE_UP,-0.0131,0.162,-0.08,
shape_STEEP_CONVEX_DOWN,0.1617,0.1628,0.99,
shape_STEEP_CONVEX_UP,0.1292,0.1722,0.75,
shape_STEEP_LINEAR_DOWN,0.3111,0.1646,1.89,
shape_STEEP_LINEAR_UP,0.0741,0.1646,0.45,
length_min_z,-0.0255,0.0231,-1.1,
mean_sigma_z,-0.1594,0.0229,-6.96,***
r_z,-0.0401,0.0418,-0.96,
