parent_shape,FLATLINE,GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,NOISE,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP
FLATLINE,-0.08719646799116998,-1.25,1.375,-0.1,-0.9166666666666666,-0.25,-1.7916666666666667,-0.11138507718696398,-0.23281990521327015,-0.3621460506706408,0.08358662613981763,-0.3034521158129176,0.02787162162162162,0.19338565022421525
GENTLE_CONCAVE_DOWN,0.03125,,0.5,,,,,-0.9181034482758621,-0.1388888888888889,0.5,-0.023809523809523808,-1.4,-0.07589285714285714,-0.08333333333333333
GENTLE_CONCAVE_UP,-0.5367647058823529,-0.25,-0.5833333333333334,0.25,-0.6875,2.125,0.5,-0.5098684210526315,-0.02912621359223301,0.011574074074074073,-0.1111111111111111,-0.4322033898305085,-0.375,-0.4007352941176471
GENTLE_CONVEX_DOWN,0.07258064516129033,,-0.625,0.5,-0.5,1.5,0.375,0.33402203856749313,0.8560606060606061,0.17333333333333334,0.33455882352941174,-0.463855421686747,0.41,-0.12837837837837837
GENTLE_CONVEX_UP,0.25961538461538464,-0.75,,-1.0,0.25,-2.75,-1.75,0.3380281690140845,0.3125,-0.09444444444444444,0.6538461538461539,-0.40476190476190477,-0.7222222222222222,-0.09558823529411764
GENTLE_LINEAR_DOWN,0.35294117647058826,,,0.0,1.5,-0.2,-0.75,0.02610441767068273,0.32075471698113206,-0.40625,0.71,-0.325,0.04391891891891892,0.2152777777777778
GENTLE_LINEAR_UP,-0.03048780487804878,1.25,,0.25,-1.1666666666666667,1.75,0.625,0.020428015564202335,-0.08018867924528301,0.023809523809523808,0.36403508771929827,-0.5,0.01875,-0.04375
NOISE,-0.19708806818181818,0.15,1.2083333333333333,0.35294117647058826,-1.375,-0.325,-0.203125,0.04136420525657071,0.09935897435897435,-0.8486290936785986,0.2573354480570975,-0.21511627906976744,0.26336898395721925,-0.2786624203821656
STEEP_CONCAVE_DOWN,-1.9095238095238096,,0.0,-0.25,,-2.3333333333333335,-1.25,-1.602637614678899,-0.8067010309278351,-1.7384615384615385,-0.53419452887538,-0.20689655172413793,-0.3323170731707317,-1.955223880597015
STEEP_CONCAVE_UP,-0.31887755102040816,-0.16666666666666666,0.19444444444444445,-0.5625,0.4166666666666667,-0.75,-1.25,-0.009074506474209298,0.002777777777777778,-0.48835758835758836,-0.1443908851884312,-0.804162724692526,-0.14051841746248295,-0.5968826405867971
STEEP_CONVEX_DOWN,0.4193948412698413,0.34375,-1.0,-0.05,-1.5,-1.5,-0.75,0.28729564032697547,0.6278195488721805,-0.12144648829431438,0.20227690892364306,-0.007142857142857143,0.7673726009265387,-0.06973595125253892
STEEP_CONVEX_UP,0.29439252336448596,,,,,1.5,2.75,2.1795865633074936,2.1875,0.08531157270029674,0.475,1.2847490347490347,0.48936170212765956,-0.1323529411764706
STEEP_LINEAR_DOWN,-0.8291103603603603,0.10714285714285714,-0.7916666666666666,-0.16666666666666666,-0.125,-0.4166666666666667,0.75,-1.6012211668928087,-1.135886469673406,-0.7304794520547945,-0.6702548330404218,-0.2282051282051282,-0.34851650647722526,-0.465
STEEP_LINEAR_UP,0.6977124183006536,1.125,0.6944444444444444,-0.7,-1.4166666666666667,-0.1875,0.1388888888888889,1.661159681151967,0.8353552859618717,0.5082018272425249,0.6348396501457726,0.5383842443729904,0.7065092165898618,0.24311926605504589
