shape,Sq1,Sq2,Sq3,Sq4,Sq5
FLATLINE,-0.08092394720301697,0.036350844277673544,-0.31395939086294417,-0.0533008658008658,0.07977059436913451
GENTLE_CONCAVE_DOWN,0.04861111111111111,-1.375,,,
GENTLE_CONCAVE_UP,0.12980769230769232,5.75,,,
GENTLE_CONVEX_DOWN,0.08152173913043478,-0.65,,,
GENTLE_CONVEX_UP,-0.5955882352941176,-1.25,0.8333333333333334,,
GENTLE_LINEAR_DOWN,-0.3670212765957447,-2.0,0.0,,
GENTLE_LINEAR_UP,-0.3644067796610169,0.625,,,
NOISE,0.008062890546260835,0.07369914853358563,0.021823040380047506,0.018207005739164853,0.2282675709001233
STEEP_CONCAVE_DOWN,0.09796712802768166,0.0926763110307414,-0.09603246167718665,-0.19203222918531782,-0.3828470380194518
STEEP_CONCAVE_UP,-0.032675194660734146,-0.07305527123848515,-0.16900152827305145,-0.1296532381438042,-0.6978884677855983
STEEP_CONVEX_DOWN,-0.11549613402061856,0.008906633906633907,0.02307046979865772,-0.15461049284578696,-0.037265547877591315
STEEP_CONVEX_UP,-0.01583614864864865,-0.1252302025782689,-0.1680327868852459,0.04959422903516682,-0.10416666666666667
STEEP_LINEAR_DOWN,0.12651148730350664,0.041802832244008714,0.06443943943943944,0.05949334698055271,0.16666666666666666
STEEP_LINEAR_UP,-0.05308504724847137,-0.02284136546184739,-0.1697562214321991,-0.0469704684317719,-0.39611752360965374
