feature,coef,se,t_stat,sig
intercept,0.1675,0.608,0.28,
shape_GENTLE_CONCAVE_DOWN,0.5281,1.644,0.32,
shape_GENTLE_CONCAVE_UP,-0.0164,0.9685,-0.02,
shape_GENTLE_CONVEX_DOWN,-0.7714,0.9785,-0.79,
shape_GENTLE_CONVEX_UP,-0.2677,1.6013,-0.17,
shape_GENTLE_LINEAR_DOWN,-1.077,1.2062,-0.89,
shape_GENTLE_LINEAR_UP,-0.8283,1.2183,-0.68,
shape_NOISE,-0.0475,0.8184,-0.06,
shape_STEEP_CONCAVE_DOWN,0.3288,1.2422,0.26,
shape_STEEP_CONCAVE_UP,0.0118,0.8757,0.01,
shape_STEEP_CONVEX_DOWN,0.4431,0.888,0.5,
shape_STEEP_CONVEX_UP,-1.1784,1.222,-0.96,
shape_STEEP_LINEAR_DOWN,0.377,0.8641,0.44,
shape_STEEP_LINEAR_UP,0.2956,0.8668,0.34,
length_min_z,0.1786,0.1925,0.93,
mean_sigma_z,-0.3912,0.1949,-2.01,*
r_z,-0.052,0.2677,-0.19,
