**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

parent_shape,FLATLINE,GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,NOISE,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP
FLATLINE,-2.051857585139319,1.4928571428571429,0.548728813559322,2.3452380952380953,0.6730769230769231,0.11486486486486487,-4.144927536231884,3.0551075268817205,0.084375,-4.032926829268293,2.7476076555023923,1.1701388888888888,-1.9454545454545455,1.8811239193083573
GENTLE_CONCAVE_DOWN,-1.9375,-8.714285714285714,-3.5961538461538463,-1.453125,-7.125,-0.859375,-1.225,-3.1875,5.96875,2.375,-6.541666666666667,-0.75,-2.5844594594594597,-4.666666666666667
GENTLE_CONCAVE_UP,-2.1442542787286065,3.1666666666666665,0.270392749244713,-2.2628458498023716,-0.5465116279069767,-0.7908163265306123,-0.4116541353383459,-1.2624223602484472,-0.5806451612903226,-0.8395061728395061,-1.94375,-8.602941176470589,-0.7362637362637363,-1.9666666666666666
GENTLE_CONVEX_DOWN,1.125418060200669,4.65,2.3154761904761907,0.012626262626262626,-1.9097222222222223,1.7589285714285714,-1.0862068965517242,-0.569327731092437,-0.4632352941176471,3.1281645569620253,2.943462897526502,-1.8148148148148149,1.6170520231213872,-1.1152263374485596
GENTLE_CONVEX_UP,6.945454545454545,14.875,6.178571428571429,6.578125,6.729166666666667,7.777777777777778,-2.0416666666666665,7.489130434782608,3.625,3.1785714285714284,17.227272727272727,-1.6875,7.75,-1.1613636363636364
GENTLE_LINEAR_DOWN,-0.9831081081081081,1.5,-0.8152985074626866,-4.566115702479339,-3.609375,-2.335227272727273,-2.7555555555555555,-1.3666666666666667,2.9565217391304346,2.6950549450549453,0.6934210526315789,-2.0795454545454546,-0.17073170731707318,-2.284274193548387
GENTLE_LINEAR_UP,3.587813620071685,-0.7391304347826086,2.3907185628742513,2.852517985611511,0.7830188679245284,1.0532786885245902,0.5393700787401575,1.7481481481481482,-0.27419354838709675,0.8476744186046512,1.2712264150943395,1.3243243243243243,1.536764705882353,-0.6401869158878505
NOISE,1.4797872340425533,-1.064102564102564,-0.9502688172043011,2.2406417112299466,-2.2432432432432434,-1.1030701754385965,-1.4672619047619047,-0.27176616915422885,3.597560975609756,-2.928888888888889,3.731194690265487,-0.8734177215189873,2.489612188365651,1.1586787564766838
STEEP_CONCAVE_DOWN,-6.2265625,-9.125,-33.166666666666664,-31.09375,,8.5,-5.0,-24.916666666666668,11.475,-21.807692307692307,-14.197916666666666,-14.25,-1.628125,-4.0
STEEP_CONCAVE_UP,-1.111220472440945,-1.625,1.1535087719298245,-2.6450617283950617,-5.967391304347826,2.2058823529411766,2.7327586206896552,-0.489247311827957,-0.2827868852459016,-1.4234828496042216,-0.5806878306878307,-4.576388888888889,-1.0714285714285714,-4.612745098039215
STEEP_CONVEX_DOWN,-0.9558823529411765,-4.95,3.9393939393939394,-7.4375,-1.6818181818181819,-8.882352941176471,-2.6607142857142856,0.0873015873015873,7.495614035087719,-0.29659090909090907,1.9927884615384615,-6.405172413793103,3.951111111111111,-0.024193548387096774
STEEP_CONVEX_UP,26.202380952380953,,19.5,12.025,-4.083333333333333,-5.5,16.166666666666668,17.035714285714285,31.75,16.0,39.666666666666664,6.75,11.5,3.5876623376623376
STEEP_LINEAR_DOWN,-9.108274647887324,-8.027777777777779,-9.477272727272727,-8.347826086956522,8.125,-7.625,-1.8243243243243243,-6.310526315789474,-10.867647058823529,-8.590452261306533,-9.378398791540786,-11.9,-1.6152597402597402,0.8398692810457516
STEEP_LINEAR_UP,9.28921568627451,6.988636363636363,3.331081081081081,4.9,5.977941176470588,-4.173076923076923,8.005952380952381,6.078947368421052,3.8125,9.666666666666666,9.781716417910447,8.29126213592233,6.88986013986014,4.26448362720403
