tier,t_since_peak_bucket,capture_bucket,n_is,n_oos,P_is_peak_final_IS,P_is_peak_final_OOS,sign_match
CASCADE,0,1,161,25,0.714,0.64,1
CASCADE,1,1,331,79,0.725,0.709,1
CASCADE,1,2,620,155,0.713,0.735,1
CASCADE,1,3,743,168,0.715,0.643,1
CASCADE,2,1,534,113,0.777,0.77,1
CASCADE,2,2,617,158,0.784,0.766,1
CASCADE,2,3,462,111,0.736,0.721,1
CASCADE,3,1,785,190,0.748,0.737,1
CASCADE,3,2,520,106,0.717,0.774,1
CASCADE,4,0,1792,384,0.815,0.898,1
CASCADE,4,1,418,94,0.813,0.915,1
CASCADE,4,2,385,78,0.735,0.782,1
CASCADE,5,0,541,141,0.884,0.965,1
FADE_AGAINST,1,1,327,91,0.761,0.758,1
FADE_AGAINST,1,2,611,143,0.745,0.664,1
FADE_AGAINST,1,3,642,185,0.72,0.724,1
FADE_AGAINST,2,1,568,139,0.798,0.791,1
FADE_AGAINST,2,2,548,150,0.734,0.787,1
FADE_AGAINST,2,3,419,122,0.726,0.713,1
FADE_AGAINST,3,0,2014,479,0.7,0.676,1
FADE_AGAINST,3,1,797,187,0.748,0.733,1
FADE_AGAINST,3,2,462,103,0.723,0.699,1
FADE_AGAINST,4,0,1683,327,0.844,0.869,1
FADE_AGAINST,4,1,450,103,0.767,0.728,1
FADE_AGAINST,4,2,359,129,0.708,0.721,1
FADE_AGAINST,5,0,440,68,0.939,1.0,1
FADE_AT_BAND,0,1,1027,286,0.74,0.661,1
FADE_AT_BAND,0,2,2530,632,0.719,0.714,1
FADE_AT_BAND,2,1,2391,670,0.723,0.679,1
FADE_AT_BAND,3,0,9877,2667,0.703,0.68,1
FADE_AT_BAND,4,0,8748,2602,0.785,0.763,1
FADE_AT_BAND,4,1,1030,327,0.742,0.645,1
FADE_AT_BAND,5,0,3957,1260,0.887,0.856,1
FADE_AT_BAND,5,1,239,112,0.728,0.625,1
FADE_AT_BAND,5,2,222,108,0.716,0.546,1
FADE_CALM,0,1,884,112,0.716,0.643,1
FADE_CALM,1,1,2383,364,0.77,0.747,1
FADE_CALM,1,2,4435,684,0.735,0.7,1
FADE_CALM,1,3,5128,886,0.709,0.66,1
FADE_CALM,2,1,3777,556,0.79,0.781,1
FADE_CALM,2,2,4444,668,0.775,0.766,1
FADE_CALM,2,3,3197,527,0.734,0.676,1
FADE_CALM,3,0,16390,2391,0.701,0.679,1
FADE_CALM,3,1,5441,753,0.766,0.76,1
FADE_CALM,4,0,13286,1607,0.847,0.851,1
FADE_CALM,4,1,2903,524,0.815,0.868,1
FADE_CALM,4,2,2695,439,0.718,0.768,1
FADE_CALM,5,0,4408,424,0.935,0.941,1
FADE_CALM,5,1,709,76,0.929,0.947,1
FADE_CALM,5,2,505,46,0.832,0.761,1
FADE_MOMENTUM,1,1,1925,532,0.723,0.733,1
FADE_MOMENTUM,1,2,3106,900,0.713,0.717,1
FADE_MOMENTUM,2,1,2907,758,0.773,0.788,1
FADE_MOMENTUM,2,2,2947,859,0.75,0.76,1
FADE_MOMENTUM,2,3,2041,619,0.717,0.677,1
FADE_MOMENTUM,3,1,4007,1005,0.734,0.747,1
FADE_MOMENTUM,4,0,7668,2247,0.835,0.855,1
FADE_MOMENTUM,4,1,2103,578,0.74,0.858,1
FADE_MOMENTUM,5,0,2351,838,0.913,0.921,1
FADE_MOMENTUM,5,1,359,125,0.797,0.824,1
FADE_MOMENTUM,5,2,286,90,0.703,0.833,1
KILL_SHOT,1,1,1535,281,0.749,0.772,1
KILL_SHOT,1,2,2717,515,0.726,0.67,1
KILL_SHOT,1,3,3204,602,0.704,0.645,1
KILL_SHOT,2,1,2360,449,0.782,0.744,1
KILL_SHOT,2,2,2623,458,0.772,0.714,1
KILL_SHOT,2,3,1930,387,0.73,0.69,1
KILL_SHOT,3,1,3337,582,0.751,0.703,1
KILL_SHOT,3,2,2255,410,0.701,0.732,1
KILL_SHOT,4,0,7671,1307,0.843,0.857,1
KILL_SHOT,4,1,1778,318,0.796,0.799,1
KILL_SHOT,4,2,1675,300,0.725,0.71,1
KILL_SHOT,5,0,2477,350,0.939,0.934,1
KILL_SHOT,5,1,309,49,0.848,0.878,1
KILL_SHOT,5,2,247,45,0.814,0.778,1
NMP_FADE_RAW,1,1,8379,1669,0.747,0.737,1
NMP_FADE_RAW,1,2,14703,3032,0.728,0.712,1
NMP_FADE_RAW,1,3,16731,3655,0.7,0.676,1
NMP_FADE_RAW,2,1,12948,2568,0.788,0.789,1
NMP_FADE_RAW,2,2,14454,2943,0.764,0.756,1
NMP_FADE_RAW,2,3,10191,2265,0.723,0.714,1
NMP_FADE_RAW,3,1,18642,3375,0.757,0.753,1
NMP_FADE_RAW,4,0,41032,7764,0.851,0.85,1
NMP_FADE_RAW,4,1,9912,2105,0.798,0.839,1
NMP_FADE_RAW,4,2,8982,1823,0.719,0.747,1
NMP_FADE_RAW,5,0,13512,2519,0.935,0.925,1
NMP_FADE_RAW,5,1,1927,425,0.876,0.809,1
NMP_FADE_RAW,5,2,1406,263,0.782,0.798,1
NMP_RIDE_RAW,7,0,39637,8730,0.777,0.806,1
RIDE_AGAINST,7,0,116419,29855,0.77,0.786,1
RIDE_CALM,7,0,11512,3288,0.726,0.809,1
RIDE_MOMENTUM,7,0,12625,2045,0.755,0.596,1
RIDE_MOMENTUM,7,1,1296,639,0.794,0.82,1
RIDE_MOMENTUM,7,2,777,370,0.777,0.938,1
