**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

entry_tier,seg_direction,n_trades,wr_pct,pnl_total,pnl_mean,pnl_median,combo_label,dmi_5m_sign,zone_behavior
FADE_CALM,UP,214,83.64485981308411,26431.5,123.51168224299066,92.0,tier x direction,,
FADE_CALM,,208,82.6923076923077,24863.0,119.53365384615384,78.0,tier x zone,,between_zones
FADE_CALM,,185,82.70270270270271,22348.5,120.8027027027027,88.0,tier x dmi_5m_sign,pos,
RIDE_AGAINST,,724,63.39779005524861,21912.5,30.265883977900554,16.75,tier x dmi_5m_sign,neg,
RIDE_AGAINST,,790,62.78481012658228,20382.5,25.800632911392405,14.5,tier x zone,,between_zones
RIDE_AGAINST,DOWN,651,64.51612903225806,20305.0,31.19047619047619,17.0,tier x direction,,
FADE_CALM,,180,81.66666666666667,20292.5,112.73611111111111,72.5,tier x dmi_5m_sign,neg,
RIDE_AGAINST,UP,768,62.5,18876.5,24.578776041666668,14.0,tier x direction,,
RIDE_AGAINST,,699,63.66237482117311,17417.5,24.917739628040056,14.5,tier x dmi_5m_sign,pos,
FADE_CALM,DOWN,148,80.4054054054054,15729.5,106.2804054054054,72.5,tier x direction,,
FADE_CALM,UP,117,84.61538461538461,15123.0,129.25641025641025,104.5,tier x direction x dmi_5m_sign,pos,
FADE_AGAINST,,212,63.20754716981132,14615.0,68.93867924528301,34.5,tier x dmi_5m_sign,neg,
FADE_AGAINST,,201,64.17910447761194,14524.0,72.2587064676617,50.0,tier x zone,,between_zones
RIDE_AGAINST,DOWN,369,64.76964769647697,13460.5,36.47831978319783,18.0,tier x direction x dmi_5m_sign,neg,
FADE_AGAINST,DOWN,154,64.28571428571429,11812.5,76.70454545454545,43.5,tier x direction,,
FADE_AGAINST,UP,197,64.46700507614213,11722.5,59.505076142131976,38.0,tier x direction,,
FADE_CALM,UP,97,82.4742268041237,11308.5,116.58247422680412,87.0,tier x direction x dmi_5m_sign,neg,
RIDE_AGAINST,,314,63.37579617834395,10443.0,33.25796178343949,17.5,tier x zone,,escape_velocity
RIDE_AGAINST,UP,414,63.04347826086957,10428.0,25.18840579710145,12.75,tier x direction x dmi_5m_sign,pos,
FADE_AGAINST,,140,66.42857142857143,9022.5,64.44642857142857,49.75,tier x dmi_5m_sign,pos,
FADE_AGAINST,DOWN,102,65.68627450980392,8560.0,83.92156862745098,49.25,tier x direction x dmi_5m_sign,neg,
FADE_CALM,DOWN,80,81.25,8504.0,106.3,71.5,tier x direction x dmi_5m_sign,neg,
RIDE_AGAINST,UP,354,61.86440677966102,8448.5,23.865819209039547,15.5,tier x direction x dmi_5m_sign,neg,
FADE_CALM,DOWN,68,79.41176470588235,7225.5,106.25735294117646,76.75,tier x direction x dmi_5m_sign,pos,
FADE_CALM,,49,87.75510204081633,6848.5,139.76530612244898,128.0,tier x zone,,captured
RIDE_AGAINST,DOWN,282,64.18439716312056,6844.5,24.27127659574468,16.25,tier x direction x dmi_5m_sign,pos,
FADE_CALM,,68,79.41176470588235,6645.5,97.7279411764706,76.75,tier x zone,,escape_velocity
FADE_AGAINST,UP,110,60.909090909090914,6055.0,55.04545454545455,28.0,tier x direction x dmi_5m_sign,neg,
FADE_AGAINST,UP,87,68.96551724137932,5667.5,65.14367816091954,55.5,tier x direction x dmi_5m_sign,pos,
RIDE_CALM,,340,53.8235294117647,5231.0,15.385294117647058,5.0,tier x dmi_5m_sign,neg,
FADE_AGAINST,,72,62.5,4863.0,67.54166666666667,26.25,tier x zone,,escape_velocity
RIDE_AGAINST,,180,65.0,4785.5,26.586111111111112,27.5,tier x zone,,captured
FADE_CALM,,37,78.37837837837837,3804.0,102.8108108108108,70.0,tier x zone,,cross_well
RIDE_CALM,DOWN,140,54.285714285714285,3642.0,26.014285714285716,12.0,tier x direction x dmi_5m_sign,neg,
RIDE_AGAINST,,135,65.18518518518519,3570.5,26.44814814814815,13.5,tier x zone,,cross_well
FADE_AGAINST,DOWN,52,61.53846153846154,3252.5,62.54807692307692,42.25,tier x direction x dmi_5m_sign,pos,
FADE_AGAINST,,46,67.3913043478261,2548.0,55.391304347826086,24.0,tier x zone,,captured
FADE_AGAINST,,32,65.625,1600.0,50.0,53.5,tier x zone,,cross_well
KILL_SHOT,,48,87.5,1327.0,27.645833333333332,20.5,tier x dmi_5m_sign,pos,
KILL_SHOT,DOWN,51,86.27450980392157,1316.5,25.813725490196077,17.5,tier x direction,,
KILL_SHOT,,58,86.20689655172413,1244.5,21.45689655172414,17.75,tier x dmi_5m_sign,neg,
KILL_SHOT,UP,54,87.03703703703704,1164.0,21.555555555555557,18.25,tier x direction,,
KILL_SHOT,,52,86.53846153846155,1148.5,22.08653846153846,16.5,tier x zone,,between_zones
RIDE_CALM,UP,192,53.125,1108.5,5.7734375,3.5,tier x direction x dmi_5m_sign,neg,
KILL_SHOT,,21,90.47619047619048,801.0,38.142857142857146,23.5,tier x zone,,escape_velocity
KILL_SHOT,DOWN,32,87.5,698.0,21.8125,16.5,tier x direction x dmi_5m_sign,neg,
RIDE_CALM,,61,52.459016393442624,644.0,10.557377049180328,1.5,tier x zone,,cross_well
KILL_SHOT,UP,28,89.28571428571429,617.5,22.053571428571427,17.75,tier x direction x dmi_5m_sign,pos,
KILL_SHOT,UP,26,84.61538461538461,546.5,21.01923076923077,18.25,tier x direction x dmi_5m_sign,neg,
