date,n_bigpos,n_bigneg,n_total,regime_2d,tf,actual,pred
2025-01-01,6,4,108,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-01-02,38,39,276,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-01-03,14,19,168,UP_SMOOTH,5s,UP,DOWN
2025-01-05,1,1,108,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-01-06,30,24,276,FLAT_CHOPPY,5s,FLAT,UP
2025-01-07,28,39,276,DOWN_SMOOTH,5s,DOWN,DOWN
2025-01-08,41,47,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-01-09,6,4,186,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-01-10,32,41,168,DOWN_CHOPPY,5s,DOWN,DOWN
2025-01-12,6,4,108,DOWN_SMOOTH,5s,DOWN,ABSTAIN
2025-01-13,42,43,276,FLAT_CHOPPY,5s,FLAT,ABSTAIN
2025-01-14,26,38,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-01-15,23,29,276,UP_SMOOTH,5s,UP,DOWN
2025-01-16,30,28,276,DOWN_CHOPPY,5s,DOWN,ABSTAIN
2025-01-17,24,19,168,UP_SMOOTH,5s,UP,UP
2025-01-19,1,2,108,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-01-20,16,23,228,FLAT_CHOPPY,5s,FLAT,DOWN
2025-01-21,16,22,276,UP_CHOPPY,5s,UP,DOWN
2025-01-22,13,13,276,FLAT_CHOPPY,5s,FLAT,ABSTAIN
2025-01-23,17,11,276,FLAT_SMOOTH,5s,FLAT,UP
2025-01-24,10,10,168,FLAT_CHOPPY,5s,FLAT,ABSTAIN
2025-01-26,9,6,108,DOWN_SMOOTH,5s,DOWN,UP
2025-01-27,59,68,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-01-28,34,22,276,UP_SMOOTH,5s,UP,UP
2025-01-29,43,35,276,FLAT_CHOPPY,5s,FLAT,UP
2025-01-30,29,31,276,FLAT_CHOPPY,5s,FLAT,ABSTAIN
2025-01-31,28,26,168,DOWN_CHOPPY,5s,DOWN,ABSTAIN
2025-02-02,21,17,108,FLAT_SMOOTH,5s,FLAT,UP
2025-02-03,51,52,276,UP_CHOPPY,5s,UP,ABSTAIN
2025-02-04,22,24,276,FLAT_CHOPPY,5s,FLAT,ABSTAIN
2025-02-05,17,14,276,UP_SMOOTH,5s,UP,UP
2025-02-06,20,19,276,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-02-07,30,24,168,DOWN_SMOOTH,5s,DOWN,UP
2025-02-09,2,2,108,UP_SMOOTH,5s,UP,ABSTAIN
2025-02-10,4,15,276,FLAT_SMOOTH,5s,FLAT,DOWN
2025-02-11,13,9,276,FLAT_SMOOTH,5s,FLAT,UP
2025-02-12,19,27,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-02-13,16,22,276,UP_SMOOTH,5s,UP,DOWN
2025-02-14,11,4,168,FLAT_SMOOTH,5s,FLAT,UP
2025-02-16,0,2,108,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-02-17,2,1,228,UP_SMOOTH,5s,UP,ABSTAIN
2025-02-18,15,13,276,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-02-19,9,14,276,DOWN_SMOOTH,5s,DOWN,DOWN
2025-02-20,15,22,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-02-21,27,20,168,DOWN_SMOOTH,5s,DOWN,UP
2025-02-23,4,3,108,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-02-24,33,30,276,DOWN_SMOOTH,5s,DOWN,UP
2025-02-25,37,41,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-02-26,43,44,276,FLAT_CHOPPY,5s,FLAT,ABSTAIN
2025-02-27,46,46,276,DOWN_SMOOTH,5s,DOWN,ABSTAIN
2025-02-28,48,35,168,UP_CHOPPY,5s,UP,UP
2025-03-02,7,11,108,FLAT_SMOOTH,5s,FLAT,DOWN
2025-03-03,54,49,276,DOWN_SMOOTH,5s,DOWN,UP
2025-03-04,54,72,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-03-05,54,48,276,FLAT_CHOPPY,5s,FLAT,UP
2025-03-06,48,59,276,DOWN_CHOPPY,5s,DOWN,DOWN
2025-03-07,46,49,168,FLAT_CHOPPY,5s,FLAT,DOWN
2025-03-09,13,5,108,FLAT_SMOOTH,5s,FLAT,UP
2025-03-10,50,74,276,DOWN_SMOOTH,5s,DOWN,DOWN
2025-03-11,62,51,276,FLAT_CHOPPY,5s,FLAT,UP
2025-03-12,47,48,276,FLAT_CHOPPY,5s,FLAT,ABSTAIN
2025-03-13,52,49,276,FLAT_CHOPPY,5s,FLAT,UP
2025-03-14,41,34,168,UP_SMOOTH,5s,UP,UP
2025-03-16,3,4,108,DOWN_SMOOTH,5s,DOWN,ABSTAIN
2025-03-17,29,32,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-03-18,25,29,276,DOWN_CHOPPY,5s,DOWN,DOWN
2025-03-19,24,21,276,UP_SMOOTH,5s,UP,UP
2025-03-20,24,13,276,FLAT_CHOPPY,5s,FLAT,UP
2025-03-21,1,2,78,DOWN_SMOOTH,5s,DOWN,ABSTAIN
2025-03-31,2,0,84,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-04-01,31,46,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-04-02,60,77,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-04-03,72,66,276,DOWN_CHOPPY,5s,DOWN,UP
2025-04-04,73,69,168,DOWN_SMOOTH,5s,DOWN,UP
2025-04-06,45,45,108,DOWN_SMOOTH,5s,DOWN,ABSTAIN
2025-04-07,101,98,276,UP_CHOPPY,5s,UP,UP
2025-04-08,107,111,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-04-09,109,96,276,UP_SMOOTH,5s,UP,UP
2025-04-10,95,110,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-04-11,66,75,168,FLAT_CHOPPY,5s,FLAT,DOWN
2025-04-13,11,10,108,FLAT_SMOOTH,5s,FLAT,ABSTAIN
2025-04-14,50,57,276,FLAT_SMOOTH,5s,FLAT,DOWN
2025-04-15,44,35,276,DOWN_CHOPPY,5s,DOWN,UP
2025-04-16,46,55,276,FLAT_CHOPPY,5s,FLAT,DOWN
2025-04-17,45,47,168,FLAT_SMOOTH,5s,FLAT,ABSTAIN
