tf,X,q_z,n,corr_x_fwd
5s,price_velocity_1b,0,9383,-0.04385099216957875
5s,price_velocity_1b,1,9385,0.02086186191807839
5s,price_velocity_1b,2,9385,-0.0006518486304748193
5s,price_velocity_1b,3,9382,0.0022990580017802215
5s,price_velocity_1b,4,9381,-0.0011636545993134837
5s,price_accel_1b,0,9383,-0.023219960741073964
5s,price_accel_1b,1,9385,-0.006868785979957995
5s,price_accel_1b,2,9385,-0.007865612421067444
5s,price_accel_1b,3,9382,-0.024174299948672193
5s,price_accel_1b,4,9381,-0.019237454540600427
5s,vol_velocity_1b,0,9383,-0.055562084225884524
5s,vol_velocity_1b,1,9385,-0.0004266485355972368
5s,vol_velocity_1b,2,9385,0.011950832662186517
5s,vol_velocity_1b,3,9382,-0.03919476883349488
5s,vol_velocity_1b,4,9381,0.02802003611605118
5s,vol_accel_1b,0,9383,-0.05637902568870753
5s,vol_accel_1b,1,9385,-0.0004974771482833087
5s,vol_accel_1b,2,9385,0.0056791974704972015
5s,vol_accel_1b,3,9382,-0.02035995662424822
5s,vol_accel_1b,4,9381,0.021859805424826656
5s,bar_range,0,9383,0.04151481656359552
5s,bar_range,1,9385,0.008174785713175472
5s,bar_range,2,9385,-0.007387201167150487
5s,bar_range,3,9382,-0.00616488822115475
5s,bar_range,4,9381,0.01270187784707951
5s,body,0,9383,-0.02281827317375712
5s,body,1,9385,0.019687732834884192
5s,body,2,9385,0.0048461492375660295
5s,body,3,9382,-0.0021251198091441076
5s,body,4,9381,-0.011064601873723571
5s,price_velocity_w,0,9383,0.06633808424342531
5s,price_velocity_w,1,9385,0.04009123144439722
5s,price_velocity_w,2,9385,0.027226008629201225
5s,price_velocity_w,3,9382,0.008709014571494434
5s,price_velocity_w,4,9381,0.032988623884727286
5s,price_accel_w,0,9383,-0.008742224041859026
5s,price_accel_w,1,9385,0.0409154713988018
5s,price_accel_w,2,9385,-0.017119739603663208
5s,price_accel_w,3,9382,-0.03049758220563367
5s,price_accel_w,4,9381,-0.017720166209284068
5s,vol_velocity_w,0,9383,-0.052176024624981845
5s,vol_velocity_w,1,9385,0.004953242919496952
5s,vol_velocity_w,2,9385,0.01096572854877051
5s,vol_velocity_w,3,9382,-0.03483906129174031
5s,vol_velocity_w,4,9381,0.0257165163008698
5s,vol_accel_w,0,9383,-0.05138225699990469
5s,vol_accel_w,1,9385,-0.0012023453364266436
5s,vol_accel_w,2,9385,0.007442086797715576
5s,vol_accel_w,3,9382,-0.027788319470359476
5s,vol_accel_w,4,9381,0.017244622949689467
5s,price_mean_w,0,9383,-0.03615848580019275
5s,price_mean_w,1,9385,0.004950523577510583
5s,price_mean_w,2,9385,0.005041389845616376
5s,price_mean_w,3,9382,-0.012738356974280746
5s,price_mean_w,4,9381,-0.02097620958027936
5s,price_sigma_w,0,9383,0.08839441753151546
5s,price_sigma_w,1,9385,0.027098238595210433
5s,price_sigma_w,2,9385,-0.012989103458723564
5s,price_sigma_w,3,9382,0.035285765498915656
5s,price_sigma_w,4,9381,-0.006439285329182963
5s,vol_mean_w,0,9383,-0.016324202347948947
5s,vol_mean_w,1,9385,0.007660131590479001
5s,vol_mean_w,2,9385,-0.0030368420118486966
5s,vol_mean_w,3,9382,-0.02592660448130772
5s,vol_mean_w,4,9381,0.013752395323336278
5s,vol_sigma_w,0,9383,-0.033957363699344253
5s,vol_sigma_w,1,9385,0.00030377097778715
5s,vol_sigma_w,2,9385,0.0072280676745973185
5s,vol_sigma_w,3,9382,-0.036473795382105795
5s,vol_sigma_w,4,9381,0.01894475750315914
5s,vwap_w,0,9383,-0.03615367132244062
5s,vwap_w,1,9385,0.00494794872458278
5s,vwap_w,2,9385,0.00505393550329801
5s,vwap_w,3,9382,-0.012737598019082851
5s,vwap_w,4,9381,-0.02096326054950241
5s,z_high_w,0,9383,-0.007796577973690383
5s,z_high_w,1,9385,-0.00035529166007350495
5s,z_high_w,2,9385,0.0018166967208011506
5s,z_high_w,3,9382,-0.007419145758517982
5s,z_high_w,4,9381,0.0016073943172330335
5s,z_low_w,0,9383,-0.0006845624570720048
5s,z_low_w,1,9385,0.008960280980141061
5s,z_low_w,2,9385,0.015627658886916647
5s,z_low_w,3,9382,0.01139154318980466
5s,z_low_w,4,9381,0.0044842930773861265
5s,SE_high_w,0,9383,0.08990733548076976
5s,SE_high_w,1,9385,-0.0014480747630892432
5s,SE_high_w,2,9385,-0.01841314415901226
5s,SE_high_w,3,9382,0.025885212885876863
5s,SE_high_w,4,9381,-0.008963246799962106
5s,SE_low_w,0,9383,0.08271997294407858
5s,SE_low_w,1,9385,0.0005442931239775986
5s,SE_low_w,2,9385,-0.0005831081552331164
5s,SE_low_w,3,9382,0.03486851725931986
5s,SE_low_w,4,9381,-0.028030537251594576
5s,hurst_w,0,9383,-0.0002310323060607972
5s,hurst_w,1,9385,0.004278769794678982
5s,hurst_w,2,9385,-0.008095692304731164
5s,hurst_w,3,9382,0.0006784979180129451
5s,hurst_w,4,9381,0.013073056412157556
5s,reversion_prob_w,0,9383,-0.002516829433947245
5s,reversion_prob_w,1,9385,0.012220216876158298
5s,reversion_prob_w,2,9385,0.02056615999185219
5s,reversion_prob_w,3,9382,-0.006483114994378943
5s,reversion_prob_w,4,9381,-0.0002255798870356092
5s,swing_noise_w,0,9383,0.0883928058666735
5s,swing_noise_w,1,9385,0.005704853209929077
5s,swing_noise_w,2,9385,-0.018450881059360016
5s,swing_noise_w,3,9382,0.022147101372889548
5s,swing_noise_w,4,9381,-0.015138496808535877
1m,price_velocity_1b,0,9384,-0.004041251522829762
1m,price_velocity_1b,1,9380,0.025795070285246198
1m,price_velocity_1b,2,9383,0.01755912352587598
1m,price_velocity_1b,3,9382,0.03197332621245621
1m,price_velocity_1b,4,9384,0.07268892563331052
