tf,modifier,target,n_bins,min_target_corr_fwd,max_target_corr_fwd,context_lift_corr,context_amplification
5m,vol_mean_w,price_velocity_1b,4,-0.0018715982040402876,0.02272955745348981,0.024601155657530096,0.020857959249449522
5m,vol_mean_w,price_velocity_w,4,-0.006829633786929281,0.04796227469654077,0.05479190848347005,0.04113264090961149
5m,vol_mean_w,body,4,0.0010554150428143622,0.026177804594782663,0.0251223895519683,0.0251223895519683
5m,vol_mean_w,price_accel_w,4,-0.0029180028562552484,0.01131099569580358,0.014228998552058829,0.010886269921051583
5m,vol_mean_w,price_accel_1b,4,0.0010660059076522306,0.005663316518115086,0.004597310610462856,0.004597310610462856
5m,vol_mean_w,z_se_w,4,-0.01158324537692969,0.020006313130684582,0.031589558507614274,0.01887344155622017
5m,vol_mean_w,z_high_w,4,-0.016645650635754933,0.01671686178731197,0.0333625124230669,0.015801276601604762
5m,vol_mean_w,z_low_w,4,-0.015893182375636045,0.011087974970994858,0.026981157346630903,0.014553862935930136
5m,vol_sigma_w,price_velocity_1b,4,0.0010773863634080745,0.02519197645314614,0.024114590089738066,0.024114590089738066
5m,vol_sigma_w,price_velocity_w,4,0.008814910992266743,0.07262966598290096,0.06381475499063421,0.06381475499063421
5m,vol_sigma_w,body,4,0.0019093403689505386,0.017745399756670614,0.015836059387720074,0.015836059387720074
5m,vol_sigma_w,price_accel_w,4,-0.006161907232103453,0.013884432193274175,0.02004633942537763,0.011350108859938982
5m,vol_sigma_w,price_accel_1b,4,-0.0009133781821348147,0.011689286833150169,0.012602665015284984,0.011035991066162923
5m,vol_sigma_w,z_se_w,4,-0.005190008294379965,0.016232376706769486,0.02142238500114945,0.015057684285834972
5m,vol_sigma_w,z_high_w,4,-0.0015613678874200415,0.015076586604320805,0.016637954491740846,0.014845826911057264
5m,vol_sigma_w,z_low_w,4,-0.00715959648884908,0.011933940870907406,0.019093537359756486,0.011845781838404975
5m,vol_velocity_w,price_velocity_1b,4,-0.0002143351097422017,0.0227916543413718,0.023005989451114,0.0225773192316296
5m,vol_velocity_w,price_velocity_w,4,0.006161764590232297,0.03633137518343062,0.03016961059319832,0.03016961059319832
5m,vol_velocity_w,body,4,0.00048468892017549254,0.022179659864033828,0.021694970943858336,0.021694970943858336
5m,vol_velocity_w,price_accel_w,4,-0.01939407832929715,0.014496033821065384,0.033890112150362535,0.016181318962485647
5m,vol_velocity_w,price_accel_1b,4,-0.009695638638756292,0.009164957297852024,0.018860595936608316,0.008362881989160305
5m,vol_velocity_w,z_se_w,4,-0.001944234655700091,0.011109352714613234,0.013053587370313325,0.009165118058913143
5m,vol_velocity_w,z_high_w,4,0.0015855463051870412,0.015237617222458127,0.013652070917271086,0.013652070917271086
5m,vol_velocity_w,z_low_w,4,-0.004426106426944822,0.006901203293199232,0.011327309720144054,0.004084574413944371
5m,vol_accel_w,price_velocity_1b,4,7.948592829821224e-05,0.03743056999884706,0.037351084070548844,0.037351084070548844
5m,vol_accel_w,price_velocity_w,4,0.004820839204428468,0.022158910917481275,0.017338071713052808,0.017338071713052808
5m,vol_accel_w,body,4,-0.0021832489158648202,0.03152366863144159,0.03370691754730641,0.02934041971557677
5m,vol_accel_w,price_accel_w,4,-0.0035823302534913003,0.015745963160361243,0.019328293413852542,0.012163632906869943
5m,vol_accel_w,price_accel_1b,4,-0.007231809478235537,0.018102926225781565,0.025334735704017102,0.015380941880316452
5m,vol_accel_w,z_se_w,4,0.0012793829161566357,0.010953833840752627,0.009674450924595991,0.009674450924595991
5m,vol_accel_w,z_high_w,4,-0.003925887729327648,0.015162762849386321,0.01908865057871397,0.01282376466140279
5m,vol_accel_w,z_low_w,4,-0.006253741760086522,0.014583863646657782,0.020837605406744304,0.014205940868249388
5m,hurst_w,price_velocity_1b,4,-0.04903771112863144,0.05758677808729667,0.1066244892159281,0.047974911494944567
5m,hurst_w,price_velocity_w,4,-0.04060849955232128,0.08582449561878759,0.12643299517110887,0.07149159585200637
5m,hurst_w,body,4,-0.051754773500422055,0.05528237169698962,0.10703714519741167,0.04550656785468497
5m,hurst_w,price_accel_w,4,-0.03445803720475677,0.04229839971037,0.07675643691512676,0.02574671684188954
5m,hurst_w,price_accel_1b,4,-0.01892530818847123,0.02364323319794653,0.04256854138641776,0.02234348039699445
5m,hurst_w,z_se_w,4,-0.005040487444095323,0.017066086571322758,0.02210657401541808,0.012526447666389275
5m,hurst_w,z_high_w,4,-0.0021597305236696596,0.020578211017349496,0.022737941541019154,0.02013641279616319
5m,hurst_w,z_low_w,4,-0.008709880106662448,0.0161878222539738,0.02489770236063625,0.012874306703118553
5m,reversion_prob_w,price_velocity_1b,4,-0.039242172871567844,0.05364530492342472,0.09288747779499257,0.05127508847047334
5m,reversion_prob_w,price_velocity_w,4,-0.006597938541795265,0.024308922232820322,0.030906860774615588,0.017710983691025056
5m,reversion_prob_w,body,4,-0.03953996780048794,0.055886195955556536,0.09542616375604449,0.05474730317884146
5m,reversion_prob_w,price_accel_w,4,-0.023556591200646192,0.04613322215750047,0.06968981335814667,0.038043906661360774
5m,reversion_prob_w,price_accel_1b,4,-0.0321893563949236,0.027039336261182097,0.0592286926561057,0.02281315095753375
5m,reversion_prob_w,z_se_w,4,-0.013009874271247139,0.02935466627805285,0.04236454054929999,0.021056658493046283
5m,reversion_prob_w,z_high_w,4,-0.0056647493089582845,0.025029983542364992,0.030694732851323278,0.021412238588409852
5m,reversion_prob_w,z_low_w,4,-0.015124290002030789,0.030158875053896476,0.04528316505592726,0.02574671103512515
