**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf,regime_2d,q4_early_n,q4_early_mean,q4_early_wr,q4_late_n,q4_late_mean,q4_late_wr,delta_mean,sign_flip,corr_early,corr_late,corr_delta,corr_sign_flip,mag_stability
price_sigma_w,5s,FLAT_SMOOTH,1543,-3.326150356448477,0.5223590408295529,436,1.4954128440366972,0.5389908256880734,4.8215632004851745,True,-0.047976989631161454,0.06383288339269132,0.11180987302385277,True,-0.4495926773537189
price_sigma_w,1m,FLAT_SMOOTH,1586,-1.9066834804539723,0.530264817150063,392,1.215561224489796,0.5153061224489796,3.1222447049437685,True,-0.015233827134263918,0.02802889265415306,0.043262719788416976,False,-0.6375264887701113
price_sigma_w,5m,FLAT_SMOOTH,1614,-1.8934324659231723,0.5241635687732342,363,1.634297520661157,0.5041322314049587,3.5277299865843292,True,-0.01042778229325951,0.01957311495697488,0.03000089725023439,False,-0.8631401172601791
price_sigma_w,15m,DOWN_CHOPPY,548,-31.510492700729927,0.38321167883211676,51,13.009803921568627,0.5686274509803921,44.52029662229855,True,-0.10693057291870096,0.04710590937552754,0.1540364822942285,True,-0.4128721199356955
price_sigma_w,1h,UP_CHOPPY,444,37.64752252252252,0.5540540540540541,348,-4.121408045977011,0.46551724137931033,-41.768930568499535,True,0.1647608758278033,-0.09712019871536189,-0.26188107454316517,True,-0.10947355283502103
price_sigma_w,1h,DOWN_CHOPPY,564,-5.959219858156028,0.44858156028368795,36,8.13888888888889,0.6388888888888888,14.098108747044918,True,0.06669311272632317,0.15048486044196188,0.08379174771563871,False,-0.7321908358143927
price_sigma_w,1h,FLAT_SMOOTH,1848,5.41301406926407,0.5606060606060606,108,-5.173611111111111,0.3611111111111111,-10.58662518037518,True,0.07606767760858063,-0.04318180242612369,-0.11924948003470431,True,-0.9557727072034918
bar_range,1m,FLAT_SMOOTH,1651,-4.591308298001211,0.5172622652937614,421,1.185273159144893,0.5320665083135392,5.776581457146104,True,-0.048567899117889,0.05275935899885459,0.10132725811674359,True,-0.2581558636915957
bar_range,5m,FLAT_SMOOTH,1652,-2.069007263922518,0.534503631961259,368,1.2255434782608696,0.5190217391304348,3.2945507421833877,True,-0.021523015847819415,0.04618880877356297,0.06771182462138238,True,-0.5923340626351541
vol_mean_w,15m,FLAT_SMOOTH,1405,-4.343416370106762,0.5160142348754448,567,5.615961199294532,0.5767195767195767,9.959377569401294,True,-0.03987832658199002,0.04769474226577141,0.08757306884776142,True,-0.7734056942295782
vol_mean_w,1h,DOWN_CHOPPY,492,-23.996443089430894,0.4024390243902439,108,5.810185185185185,0.5740740740740741,29.80662827461608,True,-0.056496140668899596,0.09114469456337179,0.1476408352322714,True,-0.24212693370978178
vol_velocity_w,5m,FLAT_SMOOTH,1268,3.158517350157729,0.5457413249211357,709,-1.1449224259520452,0.5105782792665726,-4.303439776109774,True,0.06812394472372517,-0.00830631596610713,-0.0764302606898323,False,-0.36248729990192086
vol_velocity_w,15m,FLAT_CHOPPY,1930,-3.4989637305699484,0.4906735751295337,1734,6.132352941176471,0.5692041522491349,9.631316671746418,True,-0.037321113574642226,0.040352977974113385,0.07767409154875561,True,-0.5705744212919819
price_velocity_1b,5s,FLAT_CHOPPY,2261,-1.329610791685095,0.513047324192835,1848,1.291396103896104,0.5373376623376623,2.621006895581199,True,-0.020010027953375843,-0.011740748439666672,0.008269279513709172,False,-0.9712587412587415
price_velocity_1b,1m,FLAT_CHOPPY,2130,-1.0401408450704226,0.507981220657277,1657,2.0902232951116475,0.5328907664453832,3.13036414018207,True,-0.0037598814600266184,0.010987964487033708,0.014747845947060327,False,-0.4976218796828902
swing_noise_w,5s,FLAT_SMOOTH,1600,-3.105625,0.528125,395,2.6936708860759495,0.5417721518987342,5.799295886075949,True,-0.03800169380278367,0.05780062696415887,0.09580232076694253,True,-0.8673522676034453
swing_noise_w,5m,FLAT_SMOOTH,1709,-4.1571094207138675,0.5254534815681685,268,3.047574626865672,0.5223880597014925,7.204684047579539,True,-0.059083569123616175,-0.004201372343123782,0.054882196780492394,False,-0.7330994492664413
z_se_w,5m,FLAT_SMOOTH,1144,1.2331730769230769,0.5524475524475524,833,-1.6809723889555823,0.4789915966386555,-2.914145465878659,True,0.004181147870768833,-0.025604092416754647,-0.029785240287523482,False,-0.7336069795228872
z_se_w,15m,FLAT_SMOOTH,1194,2.46963986599665,0.533500837520938,779,-1.8905648267008985,0.46983311938382544,-4.360204692697549,True,-0.018727856241229798,-0.028058510850210352,-0.009330654608980554,False,-0.7655224766700715
z_se_w,1h,FLAT_SMOOTH,1128,3.0226063829787235,0.5629432624113475,828,-2.671195652173913,0.47946859903381644,-5.693802035152636,True,-0.012982123685556736,-0.033310348577697185,-0.02032822489214045,False,-0.8837391686910612
hurst_w,5m,FLAT_SMOOTH,1305,2.5954022988505745,0.5325670498084292,674,-4.596068249258161,0.43026706231454004,-7.191470548108735,True,0.018608214287762895,-0.0739532651791965,-0.09256147946695939,False,-0.5647005566702565
hurst_w,15m,FLAT_CHOPPY,1911,-1.1679748822605966,0.4908424908424908,1754,1.3067274800456101,0.5399087799315849,2.474702362306207,True,0.013027297523903943,0.025419863804733725,0.012392566280829782,False,-0.8938167292692352
hurst_w,1h,FLAT_CHOPPY,2124,-6.304731638418079,0.4632768361581921,1534,1.5664928292046936,0.5039113428943938,7.871224467622772,True,-0.010402297345521356,-0.0008306349949648732,0.009571662350556483,False,-0.248463046334791
