concept,tf,regime_2d,shift_s,n,corr
price_sigma_w,5s,UP_SMOOTH,-12,6738,0.42775191664726386
price_sigma_w,5s,UP_SMOOTH,-8,6738,0.41078147653416813
price_sigma_w,5s,UP_SMOOTH,-4,6738,0.3778407105731816
price_sigma_w,5s,UP_SMOOTH,-2,6738,0.33231921751998683
price_sigma_w,5s,UP_SMOOTH,-1,6738,0.28873934248312805
price_sigma_w,5s,UP_SMOOTH,0,6738,0.24217814873446983
price_sigma_w,5s,UP_SMOOTH,1,6738,0.22832868624720773
price_sigma_w,5s,UP_SMOOTH,2,6738,0.19106969954302094
price_sigma_w,5s,UP_SMOOTH,4,6738,0.1916013748994813
price_sigma_w,5s,UP_SMOOTH,8,6738,0.1626094131632383
price_sigma_w,5s,UP_SMOOTH,12,6738,0.17873884208825663
price_sigma_w,5s,UP_CHOPPY,-12,3744,0.10026392490508612
price_sigma_w,5s,UP_CHOPPY,-8,3744,0.216335545986768
price_sigma_w,5s,UP_CHOPPY,-4,3744,0.1043901671957549
price_sigma_w,5s,UP_CHOPPY,-2,3744,0.08186351831745048
price_sigma_w,5s,UP_CHOPPY,-1,3744,0.08203630960582137
price_sigma_w,5s,UP_CHOPPY,0,3744,0.09764099274043797
price_sigma_w,5s,UP_CHOPPY,1,3744,0.11718034283657719
price_sigma_w,5s,UP_CHOPPY,2,3744,0.1309786408607936
price_sigma_w,5s,UP_CHOPPY,4,3744,0.10864450327507605
price_sigma_w,5s,UP_CHOPPY,8,3744,0.05508275282651349
price_sigma_w,5s,UP_CHOPPY,12,3744,0.15290134513862721
price_sigma_w,5s,DOWN_SMOOTH,-12,4362,-0.29977750973024764
price_sigma_w,5s,DOWN_SMOOTH,-8,4362,-0.24303950962405857
price_sigma_w,5s,DOWN_SMOOTH,-4,4362,-0.1789671217108242
price_sigma_w,5s,DOWN_SMOOTH,-2,4362,-0.14221121073409632
price_sigma_w,5s,DOWN_SMOOTH,-1,4362,-0.10128823335125747
price_sigma_w,5s,DOWN_SMOOTH,0,4362,-0.10416947258653632
price_sigma_w,5s,DOWN_SMOOTH,1,4362,-0.08672149794323306
price_sigma_w,5s,DOWN_SMOOTH,2,4362,-0.07594793051647272
