pair,UP_SMOOTH,UP_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY
L1_4h_body__x__L1_1D_bar_range,11.042927736123463,6.276542011158945,6.0011616234356415,7.149009626199009,2.8074855046170923,4.895745388549941
L1_4h_body__x__L1_4h_price_velocity_1b,10.336596092652961,10.113025309972162,7.926453155968395,3.641569570146366,4.601577120275024,10.595546001804857
L1_4h_body__x__L2_15m_price_velocity_w,5.739337307640931,11.939603687138767,6.7284821266409685,9.270244892562745,1.7242619245007926,3.644252536739479
L1_4h_body__x__L2_1D_price_velocity_w,8.236538509828476,7.457306333942257,6.108720467265089,6.623394525721348,1.4715515043366412,4.389789028259839
L1_4h_body__x__L2_1D_vol_sigma_w,7.5868604179214385,5.03584151413048,6.9836889879004005,9.440061201115826,0.8673103108899682,3.5418125863413428
L1_4h_body__x__L2_4h_price_accel_w,7.837933092304229,8.486834685118382,10.856530161810861,5.506279298940128,2.741737403679777,9.520691980255265
L1_4h_body__x__L2_4h_price_velocity_w,3.2008106644522405,5.412966556314011,5.818740460650355,7.634561447798291,1.4915148304596246,2.94833570645703
L1_4h_body__x__L3_4h_z_high_w,13.032875762914475,4.989191537044259,6.763997760488375,8.447957393301376,2.1085771666162576,2.168332466361799
L1_4h_body__x__L3_4h_z_low_w,4.328261584019356,2.406810410767564,9.775670920018475,6.169770602063609,2.6262785406024203,3.5729069073072495
L1_4h_price_velocity_1b__x__L1_1D_bar_range,11.347509487563778,6.566390473135917,5.956028883634632,7.149009626199009,2.8633164366999218,4.840943214061533
L1_4h_price_velocity_1b__x__L2_15m_price_velocity_w,5.654361365028196,12.132148375521112,6.016238017852105,9.270244892562745,2.3770574977770154,3.6603653919380874
L1_4h_price_velocity_1b__x__L2_1D_price_velocity_w,8.20019623100954,6.54305637420265,6.6721058110957765,6.623394525721348,1.202856482712826,4.272114714225705
L1_4h_price_velocity_1b__x__L2_1D_vol_sigma_w,7.312883157251064,4.335355217209813,6.996760499146632,9.440061201115826,1.517814904732078,3.6970138784956834
L1_4h_price_velocity_1b__x__L2_4h_price_accel_w,8.272932353243933,8.774055375363552,10.926818595841581,5.506279298940128,3.1300131235685087,8.90070014359665
L1_4h_price_velocity_1b__x__L2_4h_price_velocity_w,3.519310816364092,5.531651957428736,6.030053384559191,7.634561447798291,1.4120860022491788,2.9272353530680184
L1_4h_price_velocity_1b__x__L3_4h_z_high_w,13.76092338761382,5.48443745348601,6.999707078064428,8.447957393301376,2.3269666885046703,2.370014281927542
L1_4h_price_velocity_1b__x__L3_4h_z_low_w,5.430916910671518,1.9975570559997446,9.779346833865334,6.169770602063609,3.0043816755235957,3.71630540068806
L2_15m_price_velocity_w__x__L1_1D_bar_range,3.91326430979822,2.905762345204349,2.1182752908841724,13.678451797233096,3.4764083742997887,1.082605688878083
L2_15m_price_velocity_w__x__L2_1D_vol_sigma_w,3.611124502102643,7.352498296866609,5.216684766386483,8.321837409184887,0.8563050765018752,1.0382532933284117
L2_15m_price_velocity_w__x__L2_4h_price_accel_w,5.728295119291822,8.670290690595023,5.555486129701938,4.029362332837147,2.8640127902096477,2.5372989971545743
L2_15m_price_velocity_w__x__L3_4h_z_low_w,6.773040739408297,5.249290794862192,3.17021013205718,4.280576643200731,1.9717711984838462,4.177568116562245
L2_1D_price_velocity_w__x__L1_1D_bar_range,6.411018720289084,8.118523560464997,4.77482427103466,6.595311487741683,3.5555192070397776,2.4444981853139955
L2_1D_price_velocity_w__x__L2_15m_price_velocity_w,3.6947240051888435,9.221924968338602,4.217069130801666,7.628961466539188,2.9022237213553113,0.873151193099298
L2_1D_price_velocity_w__x__L2_1D_vol_sigma_w,7.100267470714466,15.981095468882547,11.93760462368357,4.007403410721982,4.064047603561622,2.052885748340629
L2_1D_price_velocity_w__x__L2_4h_price_accel_w,5.0829913389519845,4.397053333803115,5.922184821251756,5.267515240546357,0.7255693125874901,2.528918883190654
L2_1D_price_velocity_w__x__L2_4h_price_velocity_w,8.159579406877164,9.53728277653176,6.948375862321967,6.762994052006287,4.248734766927194,3.4500377907772624
L2_1D_price_velocity_w__x__L3_4h_z_high_w,6.850641017188069,4.345841881110102,3.1779965083767925,9.426666244879767,1.81659235495116,3.741276564993278
L2_1D_price_velocity_w__x__L3_4h_z_low_w,8.09726047803811,4.646551847303071,6.621978214723493,6.978386628629889,4.796452873599421,4.583318136185293
L2_1D_vol_sigma_w__x__L1_1D_bar_range,6.596192125041813,7.52894573461724,8.260732560556571,4.3616410355633155,2.1816124663010226,4.825005512075925
L2_1D_vol_sigma_w__x__L2_4h_price_accel_w,5.3881530965579865,5.232408168795788,5.537571086901633,4.475166072734526,3.3350518955280113,2.289352060261054
L2_1D_vol_sigma_w__x__L3_4h_z_low_w,12.219412212600801,3.7527691893380655,4.956122905889063,8.43830888949207,1.4312074849549437,4.563467335417834
L2_1h_price_velocity_w__x__L1_1D_bar_range,9.441326139839761,4.525080280033963,3.3517212311844458,7.58564145799195,4.052147487316848,2.769190567210483
L2_1h_price_velocity_w__x__L1_4h_body,6.625482736497865,5.07201390618088,4.687222748850585,10.692909773091337,4.773196563016784,4.899284302302529
L2_1h_price_velocity_w__x__L1_4h_price_velocity_1b,6.577255761511603,4.902970611610089,4.582913269476187,10.692909773091337,5.056475868622234,5.01338495917565
L2_1h_price_velocity_w__x__L2_15m_price_velocity_w,4.129994593678122,3.2040676913989192,4.53984287827071,4.483428983383027,4.083771996184866,3.6706300613239566
L2_1h_price_velocity_w__x__L2_1D_price_velocity_w,7.361705010411293,8.169919812435314,6.946025450216371,7.053425309914216,2.917417406845458,4.560599192038029
L2_1h_price_velocity_w__x__L2_1D_vol_sigma_w,3.9578153362191584,6.257385551830834,7.9593568989333905,9.455118946134798,2.8954757011933756,2.3472986788811427
L2_1h_price_velocity_w__x__L2_4h_price_accel_w,6.307740889306212,4.8075012239329,9.545840357381062,5.240180801411944,2.5187529804891327,4.25139734599877
L2_1h_price_velocity_w__x__L2_4h_price_velocity_w,5.666677959393687,4.551663504851049,8.069144264868186,7.424247230254746,4.254561971995414,3.5120334697987454
L2_1h_price_velocity_w__x__L3_4h_z_high_w,38.810973027907224,5.081875003242726,8.098349356409573,6.921857389302453,1.7587896201476547,2.416811690309221
L2_1h_price_velocity_w__x__L3_4h_z_low_w,17.016793202126966,6.386703650553903,8.531278154834677,8.576224129161504,3.030478301515098,6.289740688128943
L2_1h_price_velocity_w__x__L3_4h_z_se_w,44.43161067267522,3.5261654728373917,9.766165643628616,10.384279018913077,2.830331152303976,6.624938151850053
L2_4h_price_accel_w__x__L1_1D_bar_range,8.31695958472651,5.1747062819283,7.247940647415796,5.079381219197184,3.0531613709382457,2.7521248898696378
L2_4h_price_velocity_w__x__L1_1D_bar_range,8.10045530565608,4.814781425055085,3.952505662563894,5.587885035716787,3.378782238601853,2.1457005703538616
L2_4h_price_velocity_w__x__L2_15m_price_velocity_w,5.775549959527251,5.515071077624609,5.72609654365405,9.79875388922549,2.651836317344113,1.3487108309018156
L2_4h_price_velocity_w__x__L2_1D_vol_sigma_w,7.406165638943849,7.8520608928022035,11.844399240644828,5.050237025168266,2.198413804096226,2.782930617968058
L2_4h_price_velocity_w__x__L2_4h_price_accel_w,4.437354538695163,5.388156585689564,10.572022461024826,6.259858727765008,2.4071240632532414,2.3255261482352574
L2_4h_price_velocity_w__x__L3_4h_z_low_w,8.120448054834473,8.753182944649359,7.196109682476797,6.285384394321204,2.5545642180829793,2.940971283202938
L3_4h_z_high_w__x__L1_1D_bar_range,12.588837417456716,2.1897019894638112,9.437160510123732,5.490525961972412,2.7779014136209983,2.8455201540285735
L3_4h_z_high_w__x__L2_15m_price_velocity_w,8.172658375689355,6.352055156062211,2.1862317230741857,7.414071255279919,3.215168733679056,3.4118694682105977
L3_4h_z_high_w__x__L2_1D_vol_sigma_w,12.790882511646421,5.630644814830002,3.4276494115260903,5.2939348579285275,1.397174137245056,3.838611392673688
L3_4h_z_high_w__x__L2_4h_price_accel_w,11.393815069633618,3.684618404685952,3.8115207334498935,13.133829165397753,1.458514796678911,4.319122852928764
L3_4h_z_high_w__x__L2_4h_price_velocity_w,4.692714204272229,5.526633354669026,4.587056415702963,9.520252000283472,0.9582042755647853,2.068111600118729
L3_4h_z_high_w__x__L3_4h_z_low_w,8.198870051721716,9.41864940608287,12.709602120941414,26.338921075008905,4.888505908480453,7.5677077973252995
L3_4h_z_low_w__x__L1_1D_bar_range,12.38215642604329,4.981823981880817,7.852966432224877,5.466187232941689,4.813066256379773,4.919116522319742
L3_4h_z_low_w__x__L2_4h_price_accel_w,6.012824043422304,4.357885223112567,7.409507956335537,5.778396161532913,2.8422284687723054,4.192540608638435
L3_4h_z_se_w__x__L1_1D_bar_range,13.451537582312525,3.9449658036820403,6.411877076300874,5.380768928199993,4.5570044868190465,5.4791133114859765
L3_4h_z_se_w__x__L1_4h_body,25.994323212095672,7.650688528929272,18.127803622942498,6.22232271063835,2.9427022934189924,4.6083800757553774
L3_4h_z_se_w__x__L1_4h_price_velocity_1b,20.90121404386776,8.354460187568836,18.151562314358692,6.22232271063835,3.7723839866524496,4.584594825903941
L3_4h_z_se_w__x__L2_15m_price_velocity_w,9.144636548664582,4.342141643359342,4.508867373874821,5.4570367824447334,2.6830737684792885,4.2790106408141355
L3_4h_z_se_w__x__L2_1D_price_velocity_w,9.715137954072773,4.114859284801132,8.946922919146692,8.265056382962328,3.562205742533747,3.084867651839515
L3_4h_z_se_w__x__L2_1D_vol_sigma_w,13.57889755932075,4.860041949217551,7.120360583801499,5.894441568117995,1.1002346602729907,4.928429888099276
L3_4h_z_se_w__x__L2_4h_price_accel_w,15.965128838458101,4.2661490119111045,7.734934908372295,9.612242896342316,2.6377596847348728,4.840332837157046
L3_4h_z_se_w__x__L2_4h_price_velocity_w,6.553946110657051,5.608653511392672,11.041304182563785,6.589499161535618,1.4378022921876594,1.886906515778219
L3_4h_z_se_w__x__L3_4h_z_high_w,7.003518498596694,4.129057427302258,13.444234646445532,21.736890253837274,6.010225209046515,7.220845724749888
L3_4h_z_se_w__x__L3_4h_z_low_w,9.030588422034153,9.016412632353731,6.340969884017968,11.47437323444692,4.659762010266722,9.06875350736972
