feature,corr_concurrent_signed,corr_concurrent_abs,corr_lookback_return,corr_forward_return
L0_time_of_day,0.002566580065903823,0.190988759958097,-0.008871641494133399,-0.0072674069230174426
L1_1D_price_velocity_1b,-0.056793807120159974,-0.07092021456044052,-0.0652534323878359,-0.08253555584772033
L1_1D_price_accel_1b,-0.06829853481967992,-0.01618609875979456,-0.08075961767642367,-0.1000236394026151
L1_1D_vol_velocity_1b,-0.011899625853188173,0.0009810531399966405,-0.020386588620052257,-0.015898873570980982
L1_1D_vol_accel_1b,-0.02679499055865724,-0.015546297485232423,-0.039493335336374766,-0.036085465679893035
L1_1D_bar_range,-0.005232596489715839,0.28038235367422465,-0.00745936495825048,-0.002185333051203346
L1_1D_body,-0.05704276109052942,-0.0512562079475756,-0.06428257496458258,-0.08228047362233336
L1_4h_price_velocity_1b,0.019618352400123756,-0.050165051695400815,0.050781673747908096,0.01714865175956175
L1_4h_price_accel_1b,0.021392418159363276,0.0004914141042416414,0.037081480343742784,0.020646645298512813
L1_4h_vol_velocity_1b,0.018019011203717496,0.18090989428112422,0.02171562276596588,0.0011436811094288127
L1_4h_vol_accel_1b,0.020499021794508677,0.06488340280752417,0.025408926085691768,0.012081482060647152
L1_4h_bar_range,0.030921441420280686,0.32446773618510155,0.0388660062856916,0.01858055922845682
L1_4h_body,0.021729455238602906,-0.04533502871314799,0.055177770119374886,0.019576536652956802
L1_1h_price_velocity_1b,0.12975672046457187,-0.019194181252993523,0.39392766042557853,-0.0001566779459174218
L1_1h_price_accel_1b,0.09043967879189119,0.006203894201726733,0.2757818100127826,-0.013123627440178058
L1_1h_vol_velocity_1b,0.0006421966639573154,0.1289349631853477,-0.010958129993428703,-0.010081183656550648
L1_1h_vol_accel_1b,0.005260090025182556,0.027485417356932704,-0.0006131513639574865,-0.012464172350773324
L1_1h_bar_range,0.03329782140698333,0.4734118974805728,0.023259466461076655,0.03161272178452833
L1_1h_body,0.13708915134725183,-0.016475176003635367,0.4174284488587954,-0.0003130673017638166
L1_15m_price_velocity_1b,0.5350904867047296,0.03835754838472789,0.4961328831156579,-0.00016829753323809336
L1_15m_price_accel_1b,0.20625462777480613,0.021878693157528526,0.02195286541057956,-0.0044486517674695485
L1_15m_vol_velocity_1b,-0.04311928585425636,0.06907253543678314,-0.03192286999695311,0.006830812868939556
L1_15m_vol_accel_1b,-0.02419614075044437,-0.010337233354022172,0.002878836559168749,0.005813558014453547
L1_15m_bar_range,0.023703648336827022,0.6056425367438083,0.0029922346202857658,0.014746628916342068
L1_15m_body,0.5471095164598692,0.02918528385154923,0.46328760415412285,-0.0017970344732491463
L1_5m_price_velocity_1b,0.45609008731532763,0.025500292948070116,0.2949146803761164,0.012024727779529546
L1_5m_price_accel_1b,0.06066596132504462,0.005461745868049361,0.004859175928510881,0.004444973003139969
L1_5m_vol_velocity_1b,-0.024182400990985734,0.051101310099378155,-0.009372235625167707,0.0040058168702221935
L1_5m_vol_accel_1b,0.0019499071479316152,0.012615033436490305,0.003410774039830655,-0.0018577313929851727
L1_5m_bar_range,-0.001389778342670227,0.6076864551721592,-0.023642179363138026,0.019761970007273245
L1_5m_body,0.45387812868879,0.01546248067312582,0.2785229613037749,0.011083069226265901
L1_1m_price_velocity_1b,0.18175407324769846,-0.00582640788573769,0.10533973081779162,0.028944244558739844
L1_1m_price_accel_1b,0.006107461247412516,-0.006203487672152342,0.01195076986780924,0.0377457448184534
