**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,regime_a,regime_b,pair,cohen_d,abs_d
L0_time_of_day,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,0.11983650964033986,0.11983650964033986
L0_time_of_day,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,0.05830946743536345,0.05830946743536345
L0_time_of_day,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,0.19064039458878235,0.19064039458878235
L0_time_of_day,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,0.040773482045429604,0.040773482045429604
L0_time_of_day,DOWN_CHOPPY,UP_SMOOTH,DOWN_CHOPPY__vs__UP_SMOOTH,0.10159922558516891,0.10159922558516891
L0_time_of_day,DOWN_SMOOTH,FLAT_CHOPPY,DOWN_SMOOTH__vs__FLAT_CHOPPY,-0.062438793563108906,0.062438793563108906
L0_time_of_day,DOWN_SMOOTH,FLAT_SMOOTH,DOWN_SMOOTH__vs__FLAT_SMOOTH,0.07329156502070948,0.07329156502070948
L0_time_of_day,DOWN_SMOOTH,UP_CHOPPY,DOWN_SMOOTH__vs__UP_CHOPPY,-0.07930169891084135,0.07930169891084135
L0_time_of_day,DOWN_SMOOTH,UP_SMOOTH,DOWN_SMOOTH__vs__UP_SMOOTH,-0.017521914036511984,0.017521914036511984
L0_time_of_day,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,0.13679652739401554,0.13679652739401554
L0_time_of_day,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,-0.017720525948389444,0.017720525948389444
L0_time_of_day,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,0.044455610957105325,0.044455610957105325
L0_time_of_day,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,-0.15134079831840533,0.15134079831840533
L0_time_of_day,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,-0.09076434924186966,0.09076434924186966
L0_time_of_day,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,0.06143653640251991,0.06143653640251991
L1_1D_price_velocity_1b,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,0.13210461066362125,0.13210461066362125
L1_1D_price_velocity_1b,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,-0.16591488667310217,0.16591488667310217
L1_1D_price_velocity_1b,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,-0.49766759502092445,0.49766759502092445
