concept,tf,n_regimes,n_pos,n_neg,has_inversion,min_corr,max_corr,corr_range
bar_range,5m,6,2,4,True,-0.15719479682480292,0.23474758405552626,0.3919423808803292
price_sigma_w,15s,6,2,4,True,-0.15535061255275823,0.22220706364550413,0.37755767619826236
bar_range,1m,6,2,4,True,-0.15187043357521954,0.2129469653259244,0.36481739890114395
bar_range,1h,6,3,3,True,-0.15811288949511013,0.19812659036286898,0.3562394798579791
bar_range,15m,6,2,4,True,-0.15549307228462966,0.18585585035206256,0.34134892263669225
bar_range,4h,6,4,2,True,-0.15824145079666888,0.18100415621419438,0.33924560701086326
price_sigma_w,5s,6,2,4,True,-0.11577416374933794,0.2227946254576144,0.3385687892069523
bar_range,15s,6,2,4,True,-0.14221459941837614,0.19339407203225534,0.33560867145063145
price_sigma_w,1m,6,3,3,True,-0.13937609749553495,0.19183469025605465,0.33121078775158963
bar_range,5s,6,2,4,True,-0.14412169274476708,0.18468319257397875,0.32880488531874585
price_velocity_w,5m,6,1,5,True,-0.22052974691318583,0.10572510420187145,0.32625485111505725
price_velocity_w,4h,6,1,5,True,-0.20956665998548268,0.11443428677356254,0.3240009467590452
vol_sigma_w,5m,6,2,4,True,-0.1765093029035585,0.14652350982470785,0.32303281272826634
price_sigma_w,4h,6,4,2,True,-0.13382371656420133,0.17398003407220677,0.3078037506364081
price_sigma_w,5m,6,4,2,True,-0.12871308664418465,0.1740699014129372,0.3027829880571219
vol_mean_w,15s,6,2,4,True,-0.1526592836585379,0.15002118701807945,0.30268047067661735
vol_mean_w,15m,6,3,3,True,-0.15588705830018473,0.14345886656180779,0.2993459248619925
vol_mean_w,1m,6,2,4,True,-0.14256505145387868,0.1563659225707786,0.2989309740246573
price_mean_w,5s,6,2,4,True,-0.17732136604745202,0.120743234457112,0.298064600504564
vwap_w,5s,6,2,4,True,-0.1773204209822394,0.1207383470946044,0.29805876807684384
vwap_w,15s,6,2,4,True,-0.17724584689635012,0.12076569392553226,0.29801154082188236
price_mean_w,15s,6,2,4,True,-0.17722367312851206,0.12078428208406786,0.29800795521257994
vwap_w,1m,6,2,4,True,-0.17559936884458682,0.12100434170105097,0.2966037105456378
price_mean_w,1m,6,2,4,True,-0.1751728234411043,0.1208687426079126,0.2960415660490169
vwap_w,5m,6,2,4,True,-0.1722768681070363,0.12105322103318716,0.29333008914022346
price_mean_w,5m,6,2,4,True,-0.17135257722674546,0.12089597003981105,0.2922485472665565
vwap_w,15m,6,2,4,True,-0.16745335173813464,0.12276821115098106,0.2902215628891157
price_mean_w,15m,6,2,4,True,-0.16664555421203406,0.12351415466356608,0.29015970887560016
vwap_w,1h,6,3,3,True,-0.15975810383810965,0.1297493299930121,0.28950743383112176
price_mean_w,1h,6,4,2,True,-0.1617595674305886,0.12412449868745883,0.28588406611804745
price_velocity_w,1D,6,3,3,True,-0.19184152277596295,0.09379821589046013,0.28563973866642306
price_velocity_w,1m,6,3,3,True,-0.18679230566532448,0.09411851810448629,0.2809108237698108
vol_mean_w,5m,6,3,3,True,-0.13513153168170972,0.14491564891219155,0.28004718059390127
body,15m,6,2,4,True,-0.20797579960031312,0.06915723840162295,0.27713303800193606
price_velocity_1b,15m,6,2,4,True,-0.20876804888004652,0.06732335585298424,0.27609140473303073
price_sigma_w,15m,6,3,3,True,-0.11670570110992629,0.15364803437590255,0.27035373548582886
vol_velocity_1b,1D,6,4,2,True,-0.1734452746620253,0.09210086166433036,0.26554613632635565
vol_sigma_w,1m,6,2,4,True,-0.13562711089721677,0.12471737150691184,0.2603444824041286
vol_sigma_w,1D,6,2,4,True,-0.1185895481138799,0.1405801047262977,0.25916965284017757
vol_velocity_w,1h,6,3,3,True,-0.13610421939757428,0.12201781959997085,0.25812203899754516
vol_velocity_1b,4h,6,3,3,True,-0.13604292889820754,0.11780775022700922,0.25385067912521675
vol_mean_w,4h,6,3,3,True,-0.10061457424473784,0.14557245648877584,0.24618703073351367
vol_accel_1b,1D,6,2,4,True,-0.14387709936346493,0.1012589905149617,0.24513608987842664
vwap_w,4h,6,3,3,True,-0.12817997879032506,0.11660537532870821,0.24478535411903327
price_mean_w,4h,6,4,2,True,-0.1287761447560454,0.11454451171319098,0.2433206564692364
vol_mean_w,5s,6,2,4,True,-0.12222636196966813,0.10972952162342577,0.23195588359309388
body,1h,6,1,5,True,-0.13853084950102001,0.09341140197584887,0.23194225147686887
vol_sigma_w,15m,6,3,3,True,-0.12500769589112046,0.10681682819327787,0.23182452408439833
vwap_w,1D,6,4,2,True,-0.12125306674054642,0.10807990220679951,0.22933296894734595
price_velocity_1b,1h,6,1,5,True,-0.13910995210558674,0.08796551432157797,0.2270754664271647
price_sigma_w,1D,6,2,4,True,-0.03775791668035856,0.18838524459940206,0.2261431612797606
price_mean_w,1D,6,4,2,True,-0.12527804395501754,0.10051434282799314,0.22579238678301067
vol_sigma_w,4h,6,2,4,True,-0.07964473382178043,0.1411690928808183,0.22081382670259875
price_accel_w,15m,6,2,4,True,-0.18136155593549075,0.033411888462450016,0.21477344439794077
vol_accel_w,1D,6,2,4,True,-0.1482830458566181,0.06600856909133067,0.2142916149479488
price_velocity_1b,1D,6,1,5,True,-0.19484931207020967,0.01643871732571824,0.21128802939592792
vol_mean_w,1D,6,2,4,True,-0.06424532810048957,0.14691330501464175,0.21115863311513133
price_velocity_w,15m,6,1,5,True,-0.12977942979871399,0.07964383328941911,0.20942326308813308
