concept,5s,15s,1m,5m,15m,1h,4h,1D
bar_range,0.18468319257397875,0.19339407203225534,0.2129469653259244,0.23474758405552626,0.18585585035206256,0.19812659036286898,0.07840260889252455,0.0696588510545115
body,0.012908439032099742,0.028732579663572216,0.08378862554532174,0.07239596566941213,0.06915723840162295,0.09341140197584887,-0.017298925301489944,-0.15159065679189843
price_accel_1b,-0.0361433053258904,-0.05165179085795933,0.09134333972786911,0.014750841349424119,0.013801691345803248,0.04880615705386573,0.08586018721789378,-0.1729437136211112
price_accel_w,-0.013894341144028082,-0.0048430361939262425,0.01200206944867724,0.029553198946795107,0.033411888462450016,0.1297123963704221,0.012127694030178326,-0.057702626654694174
price_mean_w,-0.12992406837150802,-0.13002429876000443,-0.1306746869375726,-0.13172770933754918,-0.13461384402905238,-0.12926167911469288,-0.11679881326999754,-0.1126405491447304
price_sigma_w,0.2227946254576144,0.22220706364550413,0.19183469025605465,0.1740699014129372,0.15364803437590255,-0.019684686537972694,0.036291433191671545,0.0639215608680306
price_velocity_1b,-0.01572136839285502,0.02137036506272833,0.08231131829879745,0.07224034970581827,0.06732335585298424,0.08796551432157797,-0.017748445963902786,-0.1477346549157128
price_velocity_w,0.08228270145287377,0.0638434603079097,0.09411851810448629,0.10572510420187145,0.07964383328941911,-0.012825040360011062,-0.11009771320755797,-0.14941005888141967
vol_accel_1b,-0.00346250389756708,0.015096220289056179,-0.0024686099308109375,-5.669519440254037e-05,0.010297301422716296,-0.007634026047456943,0.04896593276204822,-0.04001661376422522
vol_accel_w,0.009377718386090132,0.010497971975439219,-0.007210010180763275,0.006859486750647961,0.004334052710638796,0.014053312329913916,0.07371202488420213,0.01439490258858885
vol_mean_w,0.09957390330995938,0.14355692353241112,0.15417757878101074,0.14491564891219155,0.12731035673718105,-0.02599315073328567,0.030472296112086576,0.0539027968200127
vol_sigma_w,0.045881531473615206,0.075199434731261,0.12471737150691184,0.11712411944288081,0.10681682819327787,-0.05444649786706266,0.013999699464822489,0.0403187718975389
vol_velocity_1b,0.0035439113422931256,0.00452546197773716,-0.011928576227744283,0.023512836194222717,0.025500984550847535,0.03678888846512175,0.09841002023159656,0.02346074607105826
vol_velocity_w,0.004311494186415635,0.0102550422468912,0.02866481208276752,0.04806977506856521,0.06350131648137954,0.12201781959997085,-0.05222298057030946,0.010574189072309568
vwap_w,-0.12992467062481525,-0.1299572810702012,-0.1304724017557866,-0.13139814712902706,-0.13394332302800052,-0.12751867477206616,-0.1169218009105352,-0.11226421134970041
