concept,tfs_present,sign_flips,max_abs_d,monotone_increasing,monotone_decreasing,d_5s,d_5m,d_1h,d_1D
vol_velocity_1b,8,5,0.0858637506799227,False,False,-0.003066222800819622,-0.0016778762268651163,0.008817203359264296,0.0858637506799227
vol_accel_w,8,5,0.08104022800747375,False,False,-0.013224349475318569,-0.0013591705275940017,0.04015222818965717,0.03514794218716625
price_accel_1b,8,4,0.15788551291664077,False,False,0.035677706220771745,-0.002085358619517523,0.016084931575892226,0.09904472760146986
vol_velocity_w,8,3,0.42798368639034134,False,False,0.006651984052568891,-0.00499773564373398,-0.020301134470923413,-0.2056674414047422
vol_accel_1b,8,2,0.11840761262395799,False,False,-0.011024368914170206,0.00033231468408059697,0.008886080267849917,-0.11840761262395799
price_sigma_w,8,2,0.20242929979576949,False,False,-0.19335868126983902,-0.20242929979576949,-0.13047011288334268,-9.069456890415075e-05
bar_range,8,1,0.2353084260943916,False,False,-0.18281723575159328,-0.2353084260943916,-0.22197622701643221,0.17739682843599122
price_accel_w,8,1,0.8009730971107594,False,False,-0.00036731269531846314,0.0019386191854518144,0.2934582562928036,0.5465307676888211
vol_mean_w,8,1,0.43529977783513935,False,False,-0.12111729371836566,-0.22313281013335612,-0.43529977783513935,0.07207632544226508
price_velocity_1b,8,0,0.8976865974243564,False,False,0.05431445261435785,0.16832250120053527,0.5152046200058281,0.3859252998557775
body,8,0,0.873124898645682,False,False,0.05262206578890962,0.1701258714273285,0.5128823776724527,0.3679820249585841
price_velocity_w,8,0,1.250112147605753,False,False,0.08961492864585548,0.485701509328059,1.250112147605753,0.31405027313922823
price_mean_w,8,0,0.261307755744305,False,False,0.261307755744305,0.25277804360366546,0.12800598356650011,0.026619411893150095
vol_sigma_w,8,0,0.41194236265502254,False,False,-0.06417468122272059,-0.1354776330951111,-0.41194236265502254,-0.011676436188321586
vwap_w,8,0,0.2613563684660278,False,True,0.2613563684660278,0.2549637617505755,0.14393161609279484,0.024407705074970486
