concept,5s,15s,1m,5m,15m,1h,4h,1D
bar_range,-0.18281723575159328,-0.1995650238913736,-0.19262328177950774,-0.2353084260943916,-0.22119643510734896,-0.22197622701643221,-0.18457267916309208,0.17739682843599122
body,0.05262206578890962,0.03269288232369498,0.10545850257877439,0.1701258714273285,0.29049617651774456,0.5128823776724527,0.873124898645682,0.3679820249585841
price_accel_1b,0.035677706220771745,-0.02695219658649231,0.03911187047519404,-0.002085358619517523,0.0021559421330856234,0.016084931575892226,0.15788551291664077,0.09904472760146986
price_accel_w,-0.00036731269531846314,-0.017312974151498437,0.000817026976803787,0.0019386191854518144,0.021887283941773365,0.2934582562928036,0.8009730971107594,0.5465307676888211
price_mean_w,0.261307755744305,0.26084284252378864,0.25843199259627825,0.25277804360366546,0.22427017660492068,0.12800598356650011,0.02212950878889385,0.026619411893150095
price_sigma_w,-0.19335868126983902,-0.20133607256283098,-0.1922099965229608,-0.20242929979576949,-0.1487825995887962,-0.13047011288334268,0.0479156149960292,-9.069456890415075e-05
price_velocity_1b,0.05431445261435785,0.03626814955263153,0.10774500363876706,0.16832250120053527,0.28815995359826724,0.5152046200058281,0.8976865974243564,0.3859252998557775
price_velocity_w,0.08961492864585548,0.14059499180434926,0.2936573039104025,0.485701509328059,0.8634415409509075,1.250112147605753,0.8213278302740339,0.31405027313922823
vol_accel_1b,-0.011024368914170206,0.010738699022667855,0.004532652592498261,0.00033231468408059697,0.00042155085082051265,0.008886080267849917,-0.03741191595996196,-0.11840761262395799
vol_accel_w,-0.013224349475318569,0.0010206376788831032,0.00313074828639937,-0.0013591705275940017,-0.0008948973663925556,0.04015222818965717,-0.08104022800747375,0.03514794218716625
vol_mean_w,-0.12111729371836566,-0.18050709951000604,-0.2124561700521632,-0.22313281013335612,-0.2640339212413336,-0.43529977783513935,-0.15161105822381107,0.07207632544226508
vol_sigma_w,-0.06417468122272059,-0.10696849003545508,-0.16241626501334042,-0.1354776330951111,-0.1584551057286955,-0.41194236265502254,-0.04557094415868487,-0.011676436188321586
vol_velocity_1b,-0.003066222800819622,0.011971547901952593,0.019779064477349603,-0.0016778762268651163,-0.0025843460401902604,0.008817203359264296,-0.01119947225089546,0.0858637506799227
vol_velocity_w,0.006651984052568891,0.003984694572185605,-0.000278824701127529,-0.00499773564373398,0.0007926008467479136,-0.020301134470923413,-0.42798368639034134,-0.2056674414047422
vwap_w,0.2613563684660278,0.2609931452042329,0.2591948557441828,0.2549637617505755,0.23004452980016235,0.14393161609279484,0.03889160395436398,0.024407705074970486
