**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,5s,15s,1m,5m,15m,1h,4h,1D
bar_range,-0.01653758715180771,-0.033069896791819084,-0.02101241333693283,-0.023642179363138026,0.0029922346202857658,0.023259466461076655,0.0388660062856916,-0.00745936495825048
body,0.03139555394491436,0.03973571347554546,0.10544631742223488,0.2785229613037749,0.46328760415412285,0.4174284488587954,0.055177770119374886,-0.06428257496458258
price_accel_1b,0.007452191371884713,-0.012306740490329716,0.01195076986780924,0.004859175928510881,0.02195286541057956,0.2757818100127826,0.037081480343742784,-0.08075961767642367
price_accel_w,0.014659547939241659,-0.002022043837663027,-0.0016787032897519788,-0.0012828732500990646,0.35152992447695014,0.27425947144572205,0.048992028208252235,-0.010735459028055224
price_mean_w,0.02534033306520812,0.024838446575693996,0.020914673842205696,0.011693016838889991,-0.006689277872639272,-0.012687115319626442,-0.01019018438793411,-0.010072312559831879
price_sigma_w,-0.0282288209953459,-0.006374200214209295,0.00010221839978061317,0.03587591281903656,0.048389840206785883,0.004948446228668782,0.013793427729817521,0.01332165433183965
price_velocity_1b,0.03531984876983151,0.043655918861274096,0.10533973081779162,0.2949146803761164,0.4961328831156579,0.39392766042557853,0.050781673747908096,-0.0652534323878359
price_velocity_w,0.07891310000062479,0.18999042733223007,0.50318825305602,0.8639304538956825,0.47667821148316863,0.1273649419632666,0.002468492231298134,-0.01085643145035821
vol_accel_1b,-0.005634433157087355,0.004737789063263123,-0.010869945366991407,0.003410774039830655,0.002878836559168749,-0.0006131513639574865,0.025408926085691768,-0.039493335336374766
vol_accel_w,-0.002307247463539864,0.0044184484974884,-0.00146466941252497,0.0036449884399221157,-0.019290339539892475,-0.0067032319108138606,0.01327575368887824,-0.020809905206438224
vol_mean_w,-0.028298736748114752,-0.04334815530455201,-0.06224812570647537,-0.04557315181528009,-0.01289867422422184,-0.00923552535728169,-0.006368913558009894,0.001709644350592261
vol_sigma_w,-0.01659929958145252,-0.02621698590055673,-0.05216770970081995,-0.044480066045100075,-0.010809498846582522,-0.009719180324680256,-0.010783139909440702,-0.013458262611839144
vol_velocity_1b,0.00026062870394285995,0.005217852310641235,3.6779103016360024e-05,-0.009372235625167707,-0.03192286999695311,-0.010958129993428703,0.02171562276596588,-0.020386588620052257
vol_velocity_w,0.004825780054047359,0.005565632537492603,-0.020479654422559897,-0.06440810252251969,-0.044235080425047334,-0.009361603243600839,-0.01269721849342176,-0.03437050666756616
vwap_w,0.02538398063463404,0.024993806682456463,0.021940246893221712,0.014485533276246671,-0.0026014543139777388,-0.01024909449273116,-0.009163490909080725,-0.007921087380522494
