tf,X,Y,Z,r_min,r_max,lift,n_bins,sign_flip
5m,bar_range,body,z_se_w,-0.8991949510388296,0.8947034169075739,1.7938983679464036,5,True
15m,bar_range,body,z_se_w,-0.8748098493995738,0.8839853154676662,1.75879516486724,5,True
15m,bar_range,body,price_velocity_1b,-0.8668157963990731,0.8812047049353062,1.7480205013343793,5,True
1m,bar_range,body,price_velocity_1b,-0.8670228660585282,0.8705214476360559,1.737544313694584,5,True
1m,price_velocity_1b,bar_range,body,-0.8646825813137703,0.8660037718646859,1.7306863531784562,5,True
1h,bar_range,body,z_se_w,-0.8611176070689227,0.8624051516474606,1.7235227587163833,5,True
5m,z_se_w,reversion_prob_w,price_velocity_1b,-0.8585069288113321,0.8645525152736281,1.72305944408496,5,True
5s,z_se_w,reversion_prob_w,price_velocity_1b,-0.8558382599202313,0.8659538981567407,1.7217921580769722,5,True
5s,z_se_w,reversion_prob_w,z_high_w,-0.8004047949429235,0.914103846488174,1.7145086414310975,5,True
15m,price_velocity_1b,bar_range,body,-0.8362596107868002,0.8722913381842279,1.7085509489710282,5,True
5m,bar_range,body,price_velocity_1b,-0.8616289550415909,0.843173162397541,1.704802117439132,5,True
1h,bar_range,body,price_velocity_1b,-0.8741906638311765,0.8276444399888543,1.7018351038200308,5,True
5m,z_se_w,reversion_prob_w,body,-0.8480292750072366,0.8535699387540867,1.7015992137613232,5,True
5s,z_se_w,reversion_prob_w,z_low_w,-0.9193244697024966,0.7778378231243585,1.697162292826855,5,True
5s,bar_range,body,z_se_w,-0.8507378353192028,0.8363820456556069,1.6871198809748096,5,True
5m,price_velocity_1b,bar_range,z_se_w,-0.88604085989436,0.7962675974900284,1.6823084573843885,5,True
1m,bar_range,body,z_se_w,-0.8269882359228995,0.8451571138953058,1.6721453498182053,5,True
1m,price_velocity_1b,bar_range,z_se_w,-0.8270388341052857,0.8422601174391925,1.6692989515444783,5,True
1h,bar_range,body,price_accel_w,-0.82568721261315,0.8405667845902214,1.6662539972033714,5,True
1h,price_velocity_1b,bar_range,body,-0.830762160866142,0.8294335743863209,1.6601957352524628,5,True
5s,bar_range,body,price_velocity_1b,-0.8350270693640585,0.8119027172804423,1.6469297866445007,5,True
15m,price_velocity_1b,bar_range,z_se_w,-0.8646000467642667,0.7681970173009913,1.632797064065258,5,True
5m,z_se_w,reversion_prob_w,z_high_w,-0.7099302974646142,0.9048897966824281,1.6148200941470423,5,True
5m,z_se_w,reversion_prob_w,z_low_w,-0.905102704684899,0.7066339033050896,1.6117366079899886,5,True
5s,z_se_w,reversion_prob_w,body,-0.789602732918791,0.8180234824651715,1.6076262153839624,4,True
1h,price_velocity_1b,bar_range,z_se_w,-0.8446165511829956,0.7544372331440004,1.5990537843269959,5,True
5m,price_velocity_1b,bar_range,body,-0.8244071684043521,0.7380737040597486,1.5624808724641008,5,True
5s,price_velocity_1b,bar_range,z_se_w,-0.7966233490891228,0.7582689689231444,1.5548923180122673,5,True
1h,price_velocity_1b,bar_range,price_accel_w,-0.7967363662947787,0.7478309294626687,1.5445672957574474,5,True
1h,z_se_w,reversion_prob_w,body,-0.7626835386447767,0.7818309897606285,1.5445145284054052,5,True
1h,z_se_w,reversion_prob_w,price_velocity_1b,-0.7590627391029919,0.7844987084160254,1.5435614475190174,5,True
15m,z_se_w,reversion_prob_w,price_velocity_1b,-0.7704740767448824,0.7728364118921807,1.5433104886370632,5,True
15m,z_se_w,reversion_prob_w,body,-0.7700822024859296,0.7649096610084327,1.5349918634943625,5,True
15m,bar_range,body,price_accel_w,-0.7760093061732651,0.7582305133386084,1.5342398195118734,5,True
15m,z_se_w,reversion_prob_w,z_low_w,-0.8563357111702258,0.6683443683087397,1.5246800794789654,5,True
1m,z_se_w,reversion_prob_w,z_low_w,-0.8123659668108235,0.7073843042279495,1.519750271038773,5,True
1m,z_se_w,reversion_prob_w,z_high_w,-0.7242008809192019,0.79067604684032,1.5148769277595218,5,True
1h,bar_range,body,price_accel_1b,-0.7906797689024134,0.7218783850110746,1.512558153913488,5,True
5s,price_velocity_1b,bar_range,body,-0.7735303173643864,0.7215560721339865,1.4950863894983728,4,True
1h,z_se_w,reversion_prob_w,z_low_w,-0.851658751416352,0.641038675267131,1.492697426683483,5,True
15m,z_se_w,reversion_prob_w,z_high_w,-0.6466121592527811,0.8429986815166103,1.4896108407693913,5,True
1h,vol_velocity_1b,vol_velocity_w,vol_accel_w,-0.6739709019674313,0.793503272901146,1.4674741748685771,5,True
1m,bar_range,body,price_accel_w,-0.7393433490073665,0.715680498622946,1.4550238476303126,5,True
1m,price_velocity_1b,bar_range,price_accel_w,-0.7387574221484814,0.7136623103331111,1.4524197324815926,5,True
5m,bar_range,body,price_accel_w,-0.7366530750763509,0.7086248436634113,1.4452779187397622,5,True
5s,vol_velocity_1b,vol_sigma_w,vol_accel_1b,-0.5234784199385993,0.9213848774496048,1.444863297388204,5,True
15m,price_velocity_1b,bar_range,price_accel_w,-0.7696770471758325,0.6745577354857878,1.4442347826616202,5,True
1h,price_velocity_1b,bar_range,price_accel_1b,-0.7807518470215209,0.6485666647223471,1.429318511743868,5,True
5s,vol_velocity_1b,vol_sigma_w,vol_accel_w,-0.4662004285985753,0.9423705703411853,1.4085709989397606,5,True
15m,bar_range,body,price_accel_1b,-0.7089676735340629,0.6808615487718527,1.3898292223059157,5,True
1h,z_se_w,reversion_prob_w,price_accel_w,-0.6676060633101517,0.7192808642800229,1.3868869275901745,5,True
5m,price_velocity_1b,bar_range,price_accel_w,-0.7365553116282534,0.6485528372452588,1.3851081488735122,5,True
5m,z_se_w,reversion_prob_w,price_accel_w,-0.6561133116045302,0.7065034112122174,1.3626167228167476,5,True
5s,vol_accel_w,vol_sigma_w,vol_velocity_1b,-0.4455950425213706,0.9123943418419707,1.3579893843633413,5,True
5m,bar_range,body,price_accel_1b,-0.6936986420257505,0.6602329730262346,1.3539316150519851,5,True
1m,z_se_w,reversion_prob_w,body,-0.6752194972350596,0.670187352628176,1.3454068498632354,5,True
1m,z_se_w,reversion_prob_w,price_velocity_1b,-0.6739919589149822,0.6703323338563836,1.3443242927713657,5,True
5m,bar_range,price_accel_w,z_se_w,-0.6783276639060893,0.6554751082411179,1.3338027721472072,5,True
5s,vol_accel_w,vol_sigma_w,vol_accel_1b,-0.44282893861157013,0.8856676233982608,1.328496562009831,5,True
15m,price_velocity_1b,bar_range,price_accel_1b,-0.7114352723239078,0.6057443369854257,1.3171796093093335,5,True
15m,z_se_w,reversion_prob_w,price_accel_w,-0.6376504280274071,0.6767154859784634,1.3143659140058706,5,True
5s,z_se_w,reversion_prob_w,price_accel_w,-0.6353787460059946,0.6784281172147841,1.3138068632207789,5,True
5s,z_low_w,reversion_prob_w,price_velocity_1b,-0.548743515467804,0.7622672991624779,1.311010814630282,5,True
15m,vol_velocity_w,vol_sigma_w,bar_range,-0.7354083321213882,0.5712169793407289,1.3066253114621171,5,True
1h,price_velocity_1b,reversion_prob_w,z_low_w,-0.6473746021838628,0.6570226381046365,1.3043972402884991,5,True
5m,price_velocity_1b,bar_range,price_accel_1b,-0.6969655031593676,0.6046095962740574,1.301575099433425,5,True
5s,bar_range,body,price_accel_1b,-0.6937186614124655,0.6070137933379586,1.300732454750424,5,True
5s,vol_velocity_1b,vol_mean_w,vol_accel_1b,-0.4467224889375788,0.846106029724168,1.292828518661747,5,True
5s,z_high_w,reversion_prob_w,price_velocity_1b,-0.7340812340554231,0.5557674805877958,1.289848714643219,5,True
5m,z_low_w,reversion_prob_w,price_velocity_1b,-0.5120776435766271,0.7637323594291965,1.2758100030058235,5,True
1m,bar_range,body,price_accel_1b,-0.6735532670802221,0.5988066687085536,1.2723599357887756,5,True
5m,z_high_w,reversion_prob_w,price_velocity_1b,-0.7429016836340593,0.5264871239888044,1.2693888076228637,5,True
