**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_2d,r_h1,r_h2,delta,abs_delta,sign_flip,n_h1,n_h2
5s,price_velocity_1b,price_accel_1b,UP_SMOOTH,0.6815335450494575,0.7143475231336376,0.03281397808418007,0.03281397808418007,False,3324,3822
5s,price_velocity_1b,price_accel_1b,UP_CHOPPY,0.7198998651952322,0.7112994088219188,-0.008600456373313414,0.008600456373313414,False,996,2928
5s,price_velocity_1b,price_accel_1b,DOWN_SMOOTH,0.7426421869648836,0.7189666263487161,-0.02367556061616749,0.02367556061616749,False,2778,1884
5s,price_velocity_1b,price_accel_1b,DOWN_CHOPPY,0.725788570753417,0.6949075007013127,-0.030881070052104276,0.030881070052104276,False,1716,1272
5s,price_velocity_1b,price_accel_1b,FLAT_SMOOTH,0.7150475914529761,0.7535143323254396,0.03846674087246349,0.03846674087246349,False,5717,4176
5s,price_velocity_1b,price_accel_1b,FLAT_CHOPPY,0.717809974624578,0.6934685525918068,-0.02434142203277112,0.02434142203277112,False,8736,9579
5s,price_velocity_1b,vol_velocity_1b,UP_SMOOTH,-0.19684361868345165,-0.06696728002376265,0.129876338659689,0.129876338659689,False,3324,3822
5s,price_velocity_1b,vol_velocity_1b,UP_CHOPPY,-0.0003846233495076171,0.045561775275104084,0.0459463986246117,0.0459463986246117,False,996,2928
5s,price_velocity_1b,vol_velocity_1b,DOWN_SMOOTH,-0.01642848191121518,-0.10893792054209064,-0.09250943863087546,0.09250943863087546,False,2778,1884
5s,price_velocity_1b,vol_velocity_1b,DOWN_CHOPPY,0.04114838972105322,-0.035229564488620045,-0.07637795420967326,0.07637795420967326,False,1716,1272
5s,price_velocity_1b,vol_velocity_1b,FLAT_SMOOTH,-0.05069863188751237,-0.07376033825702306,-0.023061706369510694,0.023061706369510694,False,5717,4176
5s,price_velocity_1b,vol_velocity_1b,FLAT_CHOPPY,-0.08162394779791332,0.029122060418207547,0.11074600821612086,0.11074600821612086,False,8736,9579
5s,price_velocity_1b,vol_accel_1b,UP_SMOOTH,-0.1740112732777203,-0.061741770265274984,0.11226950301244533,0.11226950301244533,False,3324,3822
5s,price_velocity_1b,vol_accel_1b,UP_CHOPPY,0.02635545264676947,0.023399533901639707,-0.002955918745129762,0.002955918745129762,False,996,2928
5s,price_velocity_1b,vol_accel_1b,DOWN_SMOOTH,-0.023748750840215247,-0.10867843467130821,-0.08492968383109296,0.08492968383109296,False,2778,1884
5s,price_velocity_1b,vol_accel_1b,DOWN_CHOPPY,0.0355848957349844,0.007417237677845029,-0.028167658057139368,0.028167658057139368,False,1716,1272
5s,price_velocity_1b,vol_accel_1b,FLAT_SMOOTH,-0.0362824964100943,-0.0642820602930126,-0.0279995638829183,0.0279995638829183,False,5717,4176
5s,price_velocity_1b,vol_accel_1b,FLAT_CHOPPY,-0.0599864134826198,0.022843565747540515,0.08282997923016032,0.08282997923016032,False,8736,9579
5s,price_velocity_1b,bar_range,UP_SMOOTH,0.009406023700116182,0.05022716268845232,0.04082113898833614,0.04082113898833614,False,3324,3822
5s,price_velocity_1b,bar_range,UP_CHOPPY,-0.13491948213953495,0.04140575695458884,0.1763252390941238,0.1763252390941238,False,996,2928
