tf,c1,c2,regime_2d,r_h1,r_h2,delta,abs_delta,sign_flip,n_h1,n_h2,abs_max
1h,price_velocity_w,SE_high_w,FLAT_SMOOTH,-0.1994454689679434,0.8901473031131232,1.0895927720810665,1.0895927720810665,True,5562,4176,0.8901473031131232
1h,price_velocity_w,price_sigma_w,FLAT_SMOOTH,-0.353212523162221,0.8854451211370309,1.2386576442992518,1.2386576442992518,True,5562,4176,0.8854451211370309
15m,price_velocity_w,SE_high_w,FLAT_SMOOTH,-0.28446751181882035,0.8813270358880126,1.165794547706833,1.165794547706833,True,5679,4176,0.8813270358880126
1h,price_velocity_w,SE_low_w,FLAT_SMOOTH,-0.29230740402903954,0.8677583596442521,1.1600657636732916,1.1600657636732916,True,5562,4176,0.8677583596442521
15m,price_velocity_w,SE_low_w,FLAT_SMOOTH,-0.4561370834632965,0.8629324320876753,1.319069515550972,1.319069515550972,True,5679,4176,0.8629324320876753
15m,price_velocity_w,price_sigma_w,FLAT_SMOOTH,-0.38357850798338355,0.8613761072693875,1.244954615252771,1.244954615252771,True,5679,4176,0.8613761072693875
5m,price_velocity_w,SE_high_w,FLAT_SMOOTH,-0.23349079311405332,0.80981319788473,1.0433039909987833,1.0433039909987833,True,5708,4176,0.80981319788473
1h,price_mean_w,swing_noise_w,DOWN_SMOOTH,-0.802314127554594,0.08594380594271213,0.8882579334973061,0.8882579334973061,True,2778,1884,0.802314127554594
5m,price_velocity_w,price_sigma_w,FLAT_SMOOTH,-0.3753550313221591,0.7998700538705358,1.1752250851926949,1.1752250851926949,True,5708,4176,0.7998700538705358
1h,vwap_w,swing_noise_w,DOWN_SMOOTH,-0.7965466209482229,0.07450638330703618,0.8710530042552591,0.8710530042552591,True,2778,1884,0.7965466209482229
5m,price_velocity_w,SE_low_w,FLAT_SMOOTH,-0.3803593900993764,0.7827393797116978,1.1630987698110742,1.1630987698110742,True,5708,4176,0.7827393797116978
1h,price_velocity_w,SE_high_w,DOWN_SMOOTH,-0.76712409000886,0.0565257487510124,0.8236498387598723,0.8236498387598723,True,2778,1884,0.76712409000886
1h,vol_mean_w,SE_low_w,FLAT_SMOOTH,0.7081591240676708,-0.09152514288237316,-0.7996842669500439,0.7996842669500439,True,5574,4176,0.7081591240676708
1h,vol_mean_w,SE_high_w,FLAT_SMOOTH,0.6865450619692363,-0.11590186737366474,-0.802446929342901,0.802446929342901,True,5574,4176,0.6865450619692363
