,price_velocity_1b,price_accel_1b,vol_velocity_1b,vol_accel_1b,bar_range,body,price_velocity_w,price_accel_w,vol_velocity_w,vol_accel_w,price_mean_w,price_sigma_w,vol_mean_w,vol_sigma_w,vwap_w,z_se_w,z_high_w,z_low_w,SE_high_w,SE_low_w,hurst_w,reversion_prob_w,swing_noise_w
price_velocity_1b,1.0,0.8107261084359166,0.06419999662225138,0.09977520328913402,0.21255898368279047,0.9540877845627693,0.3509954709533261,0.6320245927479186,-0.006452470084708733,0.03526489788495285,-0.006893835661503261,0.07996575726131426,-0.03825340200176768,-0.07874057563493676,0.007209074393659553,0.583893123197323,0.24635097747968956,0.22134761338230366,0.2551462398730741,0.01132508061569905,-0.045146394886408994,-0.192409491195588,0.028690634947885655
price_accel_1b,0.8107261084359166,1.0,0.059158123192969286,0.09446042232871493,0.16096777482557456,0.821878228037122,-0.023360601365309496,0.41990021596333216,0.10992257625388256,0.07231582610579848,0.01653087485800725,0.010244258450886801,-0.02686545392211152,-0.04932126477774976,0.01897188131200489,0.43068247908864493,0.0738681918589908,-0.048687325391270915,0.16665866753255687,-0.09963000808013087,-0.013132237953773045,-0.16419407746999118,-0.006175489791736636
vol_velocity_1b,0.06419999662225138,0.059158123192969286,1.0,0.8359350686311882,0.3301209840492166,0.02954327123526348,-0.012106343559907945,0.021404348181016084,0.4750824576336425,0.8414163562028598,0.005431033332679437,-0.06490896753353337,-0.08234200126843708,-0.009134996607932397,0.005631086181017596,0.006116225867451034,0.39861899151843366,-0.3211567919433179,-0.014208200764480027,0.011477187017539378,-0.07039168542384212,-0.15717115398969975,-0.007614319025001636
vol_accel_1b,0.09977520328913402,0.09446042232871493,0.8359350686311882,1.0,0.18754971247565616,0.07316563169169585,0.06761440525708982,0.07926692420553583,0.17480770372412707,0.6039870530105623,0.005161870469318055,-0.035872495179767136,-0.03810279868925852,-0.013359254984132688,0.00470091228774481,0.017497570793566484,0.3078258610938229,-0.21106047825997612,-0.03418353355947367,-0.03967447949361247,-0.027301945690036248,-0.1760604459463698,-0.00905999403513504
bar_range,0.21255898368279047,0.16096777482557456,0.3301209840492166,0.18754971247565616,1.0,0.23345562157478272,-0.2778083331847617,0.3122161731636495,0.38685036436576825,0.27534669920160126,-0.5757970968606126,0.6622843866372925,0.5815550506525711,0.6026928197103886,-0.5669148167079132,0.10376371158965418,0.28160668941333844,-0.026090599379125154,0.6964439591369682,0.5644669472301331,0.060409063508391425,-0.20149095727065944,0.5080407554274677
body,0.9540877845627693,0.821878228037122,0.02954327123526348,0.07316563169169585,0.23345562157478272,1.0,0.2799897650624193,0.6126881465827352,-0.007803231965200134,0.031066970032031162,-0.01984792510146049,0.06729118539011439,-0.0016624619962559912,-0.06535962607071864,-0.009049391505831571,0.5589584717495364,0.19198293059614369,0.16680258340364826,0.2280952867232488,-0.040413424347545725,-0.06938354423992667,-0.15731631315268774,0.04421596247144876
price_velocity_w,0.3509954709533261,-0.023360601365309496,-0.012106343559907945,0.06761440525708982,-0.2778083331847617,0.2799897650624193,1.0,0.2644473867522026,-0.3050209455724692,-0.022018239392045634,0.14738840615686186,-0.16186343749104204,-0.3058918888195659,-0.3456717108753558,0.15682351285128937,0.00985564565070789,-0.0510698045436413,-0.015779286563273157,-0.25498178053213133,-0.16799577380602332,-0.09575435183932876,-0.0759164758422686,-0.0376675429678807
price_accel_w,0.6320245927479186,0.41990021596333216,0.021404348181016084,0.07926692420553583,0.3122161731636495,0.6126881465827352,0.2644473867522026,1.0,0.04288819867352746,0.004353905997170132,-0.06852388389470213,0.2011118730681011,0.11562903141354113,0.07422392269286071,-0.05252551868615937,0.45871868108371006,0.1843039484681762,0.2706422964099826,0.2916435162080321,0.14813933050293376,0.053950514170723426,-0.05388376837652399,0.015873885959839705
vol_velocity_w,-0.006452470084708733,0.10992257625388256,0.4750824576336425,0.17480770372412707,0.38685036436576825,-0.007803231965200134,-0.3050209455724692,0.04288819867352746,1.0,0.6458894153172463,0.03272708125521661,0.1594525456189791,-0.0038443035817066645,-0.016537308595082855,0.038670053348164826,0.0454258626207443,0.19799340293016618,-0.1383053670327457,0.1638245434014998,0.0577605470005379,-0.04203291179521351,-0.0997729216857602,0.01024568678800949
vol_accel_w,0.03526489788495285,0.07231582610579848,0.8414163562028598,0.6039870530105623,0.27534669920160126,0.031066970032031162,-0.022018239392045634,0.004353905997170132,0.6458894153172463,1.0,0.03319830245183172,-0.12079702157658961,-0.18077838677219957,-0.15083184750163678,0.035306042027534214,0.033638824942293824,0.3490276870663109,-0.3012631585809903,-0.08380260634212697,-0.04325517570399339,-0.05588009496484609,-0.16057479476846745,-0.02832306120255087
