,price_velocity_1b,price_accel_1b,vol_velocity_1b,vol_accel_1b,bar_range,body,price_velocity_w,price_accel_w,vol_velocity_w,vol_accel_w,price_mean_w,price_sigma_w,vol_mean_w,vol_sigma_w,vwap_w,z_se_w,z_high_w,z_low_w,SE_high_w,SE_low_w,hurst_w,reversion_prob_w,swing_noise_w
price_velocity_1b,1.0,0.711016326537443,-0.0676581742542615,-0.049219897432831,0.01692549704521994,0.9521073828479844,0.2993964561918068,0.7014671485970441,-0.024289195290445393,-0.04328324144350884,-0.010642311485483917,0.019931817666649226,-0.011356886654683176,-0.011658478310164207,-0.004744216063936452,0.5581011729186135,0.287841777047632,0.3103542583747722,0.09186578559913515,-0.009192828818113055,-0.005400222399143692,0.07299510214592428,0.008314293277457259
price_accel_1b,0.711016326537443,1.0,-0.033449860522537386,-0.05923187801788727,0.041018829792090344,0.6846091260896402,0.005333865620385302,0.5071771546744718,0.006915386824185119,-0.01901777661349417,-0.002977774628856796,-0.0025950787270062436,0.006174144120206397,0.00655953575757017,-0.003859585882959427,0.18905540275544377,-0.0980697932265658,-0.07787173516520662,0.01842035363344927,-0.01870107179106005,-0.0018790691981828496,0.04727685491902904,0.0005710874188947212
vol_velocity_1b,-0.0676581742542615,-0.033449860522537386,1.0,0.6778055998555155,0.29087499332964767,-0.07265650506146737,-0.00866507400146083,-0.06109636826544117,0.20752040566516228,0.7108576512063862,0.0007867325746111234,-0.09952899336510632,-0.23822139039391096,-0.15843060808968068,0.0007563499495713139,-0.08592265507197604,0.1486792936964661,-0.2605254480520374,-0.10805616669393465,-0.1065528796331391,-0.0011957898286335095,-0.33456497046343053,-0.016665035616177503
vol_accel_1b,-0.049219897432831,-0.05923187801788727,0.6778055998555155,1.0,0.08960314754591901,-0.049232150763538714,-3.088075453651276e-05,-0.0448034968060398,-0.02856231073167434,0.4764971315084905,-0.00024318219594155212,-0.013570031715176373,-0.043602033570735686,-0.09026265059054796,-0.00010468779774726089,-0.04574917596923886,0.10560422242995526,-0.10591159916563618,-0.02711952989976012,-0.02397888137340336,5.3540062612028584e-05,-0.11951372873253871,-0.0038950607603087744
bar_range,0.01692549704521994,0.041018829792090344,0.29087499332964767,0.08960314754591901,1.0,0.033540344828050524,-0.1025491767099787,0.029704346353750043,0.5073846227251971,0.21205058170665714,-0.43070594898929304,0.4011440357979032,0.3225625365283884,0.3366915785522666,-0.43077717150986067,-0.02905332115138734,0.07020585802928547,-0.14361374645495142,0.408415430180043,0.40372936140292065,0.11248870616536386,-0.38553725584245185,0.532000537121949
body,0.9521073828479844,0.6846091260896402,-0.07265650506146737,-0.049232150763538714,0.033540344828050524,1.0,0.2747893340751366,0.6713228907724903,-0.024281682798158257,-0.04657070874795774,-0.01398610968547025,0.016907215614572018,-0.001133918273599118,-0.006846623322251488,-0.009176019264918388,0.5654900497763535,0.2765466468184405,0.300730989613554,0.08337610974118088,-0.02182458359172905,-0.009775323567340132,0.10138333226355882,0.0046993376324069224
price_velocity_w,0.2993964561918068,0.005333865620385302,-0.00866507400146083,-3.088075453651276e-05,-0.1025491767099787,0.2747893340751366,1.0,0.1950764614674141,-0.04729332397896635,-0.0064937342290608034,0.03250223488523007,0.10978125345695618,-0.10907586504956335,-0.0670055739404642,0.0385607739698284,0.0004944032636260339,0.003962763469211966,0.00789815484221645,0.1776535601806322,0.05493014763857346,-0.022191113210916026,0.024004853927796672,0.021385546288957478
price_accel_w,0.7014671485970441,0.5071771546744718,-0.06109636826544117,-0.0448034968060398,0.029704346353750043,0.6713228907724903,0.1950764614674141,1.0,-0.034175394184339174,-0.07388541774904378,-0.028931404773398145,0.031092593114987136,0.020614176990486427,0.0072748859609881155,-0.02463185305722713,0.3986041791039584,0.2033073313871011,0.22753738604727655,0.07533369814404567,0.012895487332679614,-0.00015105033451998307,0.0561253171995757,0.000536820108388708
vol_velocity_w,-0.024289195290445393,0.006915386824185119,0.20752040566516228,-0.02856231073167434,0.5073846227251971,-0.024281682798158257,-0.04729332397896635,-0.034175394184339174,1.0,0.2944900174979945,0.0033699677203004826,0.05830618850159279,0.120409247908158,0.23246385736122874,0.0022603438269161967,-0.0061500436933088895,-0.015512301592466133,-0.004589015870385516,0.022739700473505844,0.03457754647120927,-0.011481885473858285,-0.2799445874563649,0.04817592631553515
vol_accel_w,-0.04328324144350884,-0.01901777661349417,0.7108576512063862,0.4764971315084905,0.21205058170665714,-0.04657070874795774,-0.0064937342290608034,-0.07388541774904378,0.2944900174979945,1.0,0.000536136463391037,-0.12827168590905286,-0.33438598541563075,-0.27821007871011805,0.0007772635526305707,-0.047461814388438536,0.1099719371664616,-0.17712824767631366,-0.128603088817276,-0.13217024789623852,-0.0049621460454262615,-0.2569235365968606,-0.024224258092033907
