**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

,price_velocity_1b,price_accel_1b,vol_velocity_1b,vol_accel_1b,bar_range,body,price_velocity_w,price_accel_w,vol_velocity_w,vol_accel_w,price_mean_w,price_sigma_w,vol_mean_w,vol_sigma_w,vwap_w,z_se_w,z_high_w,z_low_w,SE_high_w,SE_low_w,hurst_w,reversion_prob_w,swing_noise_w
price_velocity_1b,1.0,0.6979991620419074,-0.034011867452099914,-0.02700370267512227,-0.013924391076490147,0.9972668654232415,0.21672248472445166,0.701269243773232,-0.0279860626370726,-0.024130898784114507,0.0035307213957693935,-0.023246058727902155,-0.008089982715376108,-0.005021364564635628,0.003763554885404893,0.4489192088231344,0.23564397556420835,0.24043921364296594,-0.009440026183126757,-0.04820691468616195,0.0027348320326827727,0.03844039458568151,-0.01911100920697804
price_accel_1b,0.6979991620419074,1.0,-0.011113178477534073,-0.024453112774263035,0.021344862027585565,0.6959658473951048,0.018394248916120647,0.4865637019830628,0.004549016927083381,-0.009385180455678281,-0.0014068815835308838,0.013992864541285524,-0.0022345584415149242,-0.0007757148719913943,-0.0013161081603572274,0.0937104306936198,-0.1180342797817607,-0.11379480330254402,0.014068972258731459,-0.005494397876044544,0.0045648794324769666,0.011284421517876,0.013921940918590992
vol_velocity_1b,-0.034011867452099914,-0.011113178477534073,1.0,0.8086657704530257,0.20837426081811625,-0.03406919861986296,0.011948804618234003,-0.03162515085428696,0.3640892421428441,0.7035056390573955,0.0004919772888226263,-0.04035402810858845,-0.05193663291604208,-0.02048526020420011,0.0005257923024484586,-0.0320904324417999,0.06808673411785719,-0.12081736179919979,-0.03820596138366764,-0.04123255656592153,-0.004953975351408639,-0.2423304530738939,-0.03045629862759582
vol_accel_1b,-0.02700370267512227,-0.024453112774263035,0.8086657704530257,1.0,0.13320768240972178,-0.02719473920985796,-0.005752950092697899,-0.025928470577150604,0.18810886400639584,0.5797817081439274,-0.003620886545167076,0.0040441350036602135,0.014774582597553425,0.04368509217135824,-0.0036507734740784947,-0.011684258977122611,0.05284183594934317,-0.0630387563368514,0.0046268291632726825,0.004121935006772077,-0.0020835829205221824,-0.11494067361191306,0.009154377845724015
bar_range,-0.013924391076490147,0.021344862027585565,0.20837426081811625,0.13320768240972178,1.0,-0.012415455633556614,-0.028284853079026423,0.004170578121977171,0.26401990738416725,0.16768043008210756,-0.38598611303647157,0.6684850300029934,0.6241338790737182,0.5525154354167675,-0.38610936816593555,-0.015021653959575821,0.04285942826595573,-0.07989815062746256,0.6955491439493005,0.6808931240507283,0.023112234695511324,-0.1950032869248868,0.7313374794471558
body,0.9972668654232415,0.6959658473951048,-0.03406919861986296,-0.02719473920985796,-0.012415455633556614,1.0,0.21636215889370558,0.699058193405111,-0.02782411533724329,-0.02400299960880578,0.002771911777781629,-0.02295270674818311,-0.00810483744075588,-0.005084920792925457,0.003002730406108604,0.44541174320352533,0.23273781421429757,0.23754394970385573,-0.009310630571443435,-0.04786017564345532,0.002553275408303298,0.03804026963684884,-0.018735039312334775
price_velocity_w,0.21672248472445166,0.018394248916120647,0.011948804618234003,-0.005752950092697899,-0.028284853079026423,0.21636215889370558,1.0,0.11483035089561412,-0.05692226714890183,0.01122101250834681,0.005509841026963499,0.030335097313862688,-0.03065796350606818,-0.03529447874391627,0.007232963219425026,-0.018700744654501923,-0.011398396828759635,-0.012173670388350514,0.05446102256234036,-0.0024987127295838917,0.004066300745746977,0.013543062623926126,0.0283732359256718
price_accel_w,0.701269243773232,0.4865637019830628,-0.03162515085428696,-0.025928470577150604,0.004170578121977171,0.699058193405111,0.11483035089561412,1.0,-0.024996678398987098,-0.04056156318626279,-0.0039754012191971395,-0.0011834469141157773,0.0146071408750503,0.014251769158735387,-0.0038942522588012894,0.3182225131657447,0.1647442988888737,0.1683451553095229,0.007995496202546264,-0.015871436997635414,-0.0006896663695361428,0.02675867843528784,0.00018015862142622163
vol_velocity_w,-0.0279860626370726,0.004549016927083381,0.3640892421428441,0.18810886400639584,0.26401990738416725,-0.02782411533724329,-0.05692226714890183,-0.024996678398987098,1.0,0.5256798849603768,0.0005351927431778552,0.13682811602533212,0.06832977733457767,0.18953184889582578,0.00044065045105816267,-0.015357206740932652,0.011889277536961519,-0.04801688575929766,0.09896759230842547,0.10020984143492347,-0.03531295035978636,-0.1906607595383713,-0.004351915032952772
vol_accel_w,-0.024130898784114507,-0.009385180455678281,0.7035056390573955,0.5797817081439274,0.16768043008210756,-0.02400299960880578,0.01122101250834681,-0.04056156318626279,0.5256798849603768,1.0,-0.00018338742536244765,-0.01452835819211728,-9.36771721996118e-05,-0.020378877107790423,-0.00018974316460356396,-0.02319731490405614,0.04286631906774502,-0.08133238542060221,-0.015599393628757603,-0.014352409662065248,0.00020823254777469242,-0.1716145915817652,-0.010552949471712427
price_mean_w,0.0035307213957693935,-0.0014068815835308838,0.0004919772888226263,-0.003620886545167076,-0.38598611303647157,0.002771911777781629,0.005509841026963499,-0.0039754012191971395,0.0005351927431778552,-0.00018338742536244765,1.0,-0.34063725361966424,-0.18455463075679598,-0.10263126324481096,0.9999946632659391,-0.001495872490759693,-0.0026038000740975266,-0.0003739815786780996,-0.3645372007575241,-0.3533409848362917,-0.028575156668765957,0.006711984113928521,-0.4028086588874728
price_sigma_w,-0.023246058727902155,0.013992864541285524,-0.04035402810858845,0.0040441350036602135,0.6684850300029934,-0.02295270674818311,0.030335097313862688,-0.0011834469141157773,0.13682811602533212,-0.01452835819211728,-0.34063725361966424,1.0,0.5940982758988003,0.5497075489935704,-0.34064128769216956,0.0009821635404966944,-0.009284373186332373,0.010789104706596801,0.8858487088298344,0.8930896034109942,0.008076295887773461,-0.011642357637797588,0.8270453581877875
vol_mean_w,-0.008089982715376108,-0.0022345584415149242,-0.05193663291604208,0.014774582597553425,0.6241338790737182,-0.00810483744075588,-0.03065796350606818,0.0146071408750503,0.06832977733457767,-9.36771721996118e-05,-0.18455463075679598,0.5940982758988003,1.0,0.8570663450540774,-0.18468621708760746,0.006759297699190546,-0.0005293564203099951,0.013560587211388793,0.6010616064221469,0.6087286817829747,0.0375321444852465,0.007630277619661775,0.6650882023812336
vol_sigma_w,-0.005021364564635628,-0.0007757148719913943,-0.02048526020420011,0.04368509217135824,0.5525154354167675,-0.005084920792925457,-0.03529447874391627,0.014251769158735387,0.18953184889582578,-0.020378877107790423,-0.10263126324481096,0.5497075489935704,0.8570663450540774,1.0,-0.10283213546575279,0.004678958590135412,-0.004386479418216262,0.011896260300248906,0.5561193298841298,0.5696783347461973,0.01792249896915489,-0.01658810344238606,0.5632452214581781
vwap_w,0.003763554885404893,-0.0013161081603572274,0.0005257923024484586,-0.0036507734740784947,-0.38610936816593555,0.003002730406108604,0.007232963219425026,-0.0038942522588012894,0.00044065045105816267,-0.00018974316460356396,0.9999946632659391,-0.34064128769216956,-0.18468621708760746,-0.10283213546575279,1.0,-0.0014482521876109618,-0.0024881822636240564,-0.0002610095829252402,-0.36432048650748156,-0.3535494967581942,-0.02855466554028863,0.006745319157060258,-0.40281913115049395
z_se_w,0.4489192088231344,0.0937104306936198,-0.0320904324417999,-0.011684258977122611,-0.015021653959575821,0.44541174320352533,-0.018700744654501923,0.3182225131657447,-0.015357206740932652,-0.02319731490405614,-0.001495872490759693,0.0009821635404966944,0.006759297699190546,0.004678958590135412,-0.0014482521876109618,1.0,0.8661435169964364,0.8693124431534265,0.00576945528385038,0.007485924997321642,-0.004381157718841279,0.05193174332580494,-0.0033134539886114146
z_high_w,0.23564397556420835,-0.1180342797817607,0.06808673411785719,0.05284183594934317,0.04285942826595573,0.23273781421429757,-0.011398396828759635,0.1647442988888737,0.011889277536961519,0.04286631906774502,-0.0026038000740975266,-0.009284373186332373,-0.0005293564203099951,-0.004386479418216262,-0.0024881822636240564,0.8661435169964364,1.0,0.8593033737783529,-0.0023573763489302168,-0.0013006940983452074,-0.009661704056112531,-0.04357047308504836,-0.00439888626145516
z_low_w,0.24043921364296594,-0.11379480330254402,-0.12081736179919979,-0.0630387563368514,-0.07989815062746256,0.23754394970385573,-0.012173670388350514,0.1683451553095229,-0.04801688575929766,-0.08133238542060221,-0.0003739815786780996,0.010789104706596801,0.013560587211388793,0.011896260300248906,-0.0002610095829252402,0.8693124431534265,0.8593033737783529,1.0,0.013999936893881921,0.01553055712253651,-0.0004884109285908987,0.12499358460424517,-0.0025958725478389196
SE_high_w,-0.009440026183126757,0.014068972258731459,-0.03820596138366764,0.0046268291632726825,0.6955491439493005,-0.009310630571443435,0.05446102256234036,0.007995496202546264,0.09896759230842547,-0.015599393628757603,-0.3645372007575241,0.8858487088298344,0.6010616064221469,0.5561193298841298,-0.36432048650748156,0.00576945528385038,-0.0023573763489302168,0.013999936893881921,1.0,0.9548115701312634,-0.07235543789692954,0.009518793981696886,0.8185529421985399
