,price_velocity_1b,price_accel_1b,vol_velocity_1b,vol_accel_1b,bar_range,body,price_velocity_w,price_accel_w,vol_velocity_w,vol_accel_w,price_mean_w,price_sigma_w,vol_mean_w,vol_sigma_w,vwap_w,z_se_w,z_high_w,z_low_w,SE_high_w,SE_low_w,hurst_w,reversion_prob_w,swing_noise_w
price_velocity_1b,1.0,0.7065360441524305,-0.05892765481044498,-0.04128516987008677,-0.010247887748232529,0.9523916178957391,0.3354447708605137,0.7044224295567414,-0.025125351016373296,-0.03688855534089839,-0.0025725822692410005,0.012565430527102543,0.0003684778705284941,-0.010492338654454427,-0.0011264967451325373,0.5143176653256774,0.28138494698937744,0.2898258140726297,0.07724551994531827,-0.022090741238758812,0.00014484109021661428,0.02255036327514091,0.014989406315097178
price_accel_1b,0.7065360441524305,1.0,-0.031513655310121916,-0.049402073958359834,0.004426709410302384,0.6737069335785426,0.0037820323729075354,0.5041666358528152,0.00654349810494542,-0.01771140221200752,-0.0010751463050033495,-0.007435898778976965,0.002887329682199198,0.0024538179738274536,-0.0012673205895904864,0.2145828002319231,-0.06560983304082087,-0.0559525613100159,0.021099732012299435,-0.024692251286315005,0.0023816762222703194,0.014824934008432647,-0.0007954065911220146
vol_velocity_1b,-0.05892765481044498,-0.031513655310121916,1.0,0.781103882529962,0.25722643666897765,-0.06053526761184683,-0.015171114947636614,-0.04214706428957742,0.32571119524157127,0.7145465233883723,-8.194507363486198e-05,-0.04568004638563579,-0.06365696421951264,0.013520035278821507,-0.00011060535999496266,-0.0450208656862048,0.10450343767202518,-0.18630764627248694,-0.05044537164072978,-0.044217869052276856,-0.0034270282483064084,-0.2584953880531747,-0.026890707060131875
vol_accel_1b,-0.04128516987008677,-0.049402073958359834,0.781103882529962,1.0,0.12667384217614167,-0.04237724713507708,-0.000775356247037204,-0.02884099362346647,0.06776472932504654,0.5449700944123342,-0.00045644324813568746,-0.020261101754533693,-0.015172891868188145,-0.029473397588342158,-0.00044511545146933923,-0.016695191487207488,0.09093036168393388,-0.10078949886792808,-0.02746917673716092,-0.023848975496160357,0.003902414198154054,-0.1366284898497978,-0.004166173826048735
bar_range,-0.010247887748232529,0.004426709410302384,0.25722643666897765,0.12667384217614167,1.0,0.0014245873402024753,-0.023248670130624594,0.005684754588348956,0.31596767571787665,0.16707055993431486,-0.39769959337616373,0.6766084136117639,0.6065732797238381,0.5314652409803817,-0.3979046316104256,-0.006472227494831225,0.05543165082495744,-0.08550550982316675,0.6610380474940644,0.6480556403186177,0.033462321027168666,-0.20573021619131365,0.6616286188674767
body,0.9523916178957391,0.6737069335785426,-0.06053526761184683,-0.04237724713507708,0.0014245873402024753,1.0,0.31566025725038693,0.6713622576959445,-0.026575148444487585,-0.03748184988351846,-0.003494211747458202,0.00010885375446441555,0.0019655664434903267,-0.00947495842436679,-0.0025322109918587492,0.5370143891084999,0.2887379513507078,0.2975852200188444,0.05390911335343844,-0.03749004943482628,0.0005612268907307072,0.028501330116484418,0.010929931345229365
price_velocity_w,0.3354447708605137,0.0037820323729075354,-0.015171114947636614,-0.000775356247037204,-0.023248670130624594,0.31566025725038693,1.0,0.23500059018410746,-0.08465340555571838,-0.013325826531686083,0.009179922386331398,0.048827458804317936,-0.03861863987296176,-0.041402210352545925,0.012328732220851919,0.0072524155792398105,0.005733915352459506,0.004299780210953427,0.11290538477888898,0.006520457130453262,-0.0038958661549169547,0.01581013927644133,0.04019285199655402
price_accel_w,0.7044224295567414,0.5041666358528152,-0.04214706428957742,-0.02884099362346647,0.005684754588348956,0.6713622576959445,0.23500059018410746,1.0,-0.023853407084372728,-0.0565098933744266,-0.008407997447585793,0.017547147476053272,0.01656529376184385,0.004047614637167915,-0.0074632522422237325,0.3640241237492221,0.19662844547123703,0.20320057290110005,0.05456600464672861,-0.006870947702583642,-0.0018094023754375618,0.013109758347667892,0.006313571241898904
vol_velocity_w,-0.025125351016373296,0.00654349810494542,0.32571119524157127,0.06776472932504654,0.31596767571787665,-0.026575148444487585,-0.08465340555571838,-0.023853407084372728,1.0,0.38586166187218707,0.0008483473849852624,0.14881671540996086,0.05222197638293128,0.36498731606259255,0.0006694341842312225,-0.0008964562310016055,0.021784611274909278,-0.04014122436172625,0.09338580083568193,0.10153957129834698,-0.03177660971172382,-0.17735472695784932,-0.06043321409665518
vol_accel_w,-0.03688855534089839,-0.01771140221200752,0.7145465233883723,0.5449700944123342,0.16707055993431486,-0.03748184988351846,-0.013325826531686083,-0.0565098933744266,0.38586166187218707,1.0,-0.0001380127763789233,-0.0556162451137846,-0.09550401513977712,-0.032962089108931864,-0.00015283249324770184,-0.02759464084676215,0.0742711207386488,-0.13108133517347506,-0.05464498031250924,-0.051743161592350526,-0.0029960547104208226,-0.1903838101671682,-0.017589022432484613
