**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_min,regime_max,is_r_min,is_r_max,oos_r_min,oos_r_max,n_oos_min,n_oos_max,sign_min_ok,sign_max_ok,regime_diff_holds,survives
1h,price_velocity_w,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.8375531557001195,0.8872957470571535,-0.8233277476200487,0.5178051306536297,1782,2592,True,True,True,True
15m,price_velocity_w,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.8077892226610971,0.8461087583218551,-0.784334160548355,0.7644526310950429,1782,2592,True,True,True,True
1h,price_velocity_w,swing_noise_w,DOWN_SMOOTH,UP_SMOOTH,-0.7510253569156315,0.7664648976615622,-0.5641591472472774,0.3314918108094102,1782,2592,True,True,True,True
15m,price_velocity_w,SE_low_w,DOWN_SMOOTH,UP_SMOOTH,-0.7340753062552551,0.7605053732901337,-0.6543050759395455,0.5766755509087339,1782,2592,True,True,True,True
15m,price_velocity_w,SE_high_w,DOWN_SMOOTH,UP_SMOOTH,-0.6988279965587822,0.787214068736512,-0.6068622110974309,0.6068143021543057,1782,2592,True,True,True,True
5m,price_velocity_w,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.624167136031266,0.7033909717447528,-0.6239727908187513,0.6058110811060526,1782,2592,True,True,True,True
1h,bar_range,body,DOWN_SMOOTH,UP_SMOOTH,-0.5902457798963615,0.7124664536738344,-0.5774996863489756,0.5178983935399394,1782,2592,True,True,True,True
1h,price_velocity_1b,bar_range,DOWN_SMOOTH,UP_SMOOTH,-0.5997344811708337,0.6960084615130614,-0.5885466040918477,0.4492046308953887,1782,2592,True,True,True,True
1h,price_velocity_w,vol_mean_w,DOWN_SMOOTH,UP_SMOOTH,-0.6822117692361835,0.5480840976736608,-0.4982145897200026,0.1619671660116346,1782,2592,True,True,True,True
15m,price_velocity_w,swing_noise_w,DOWN_SMOOTH,UP_SMOOTH,-0.5646444959621644,0.6154844797727159,-0.37558650664347204,0.4772346086993733,1782,2592,True,True,True,True
5m,price_velocity_w,SE_high_w,DOWN_SMOOTH,UP_SMOOTH,-0.4821724862674416,0.6292951873702396,-0.43369654263254226,0.505969719466831,1782,2592,True,True,True,True
5m,price_velocity_w,SE_low_w,DOWN_SMOOTH,UP_SMOOTH,-0.5311447915641064,0.5666458381348465,-0.4434966820005328,0.46668363751574526,1782,2592,True,True,True,True
1m,price_velocity_w,price_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.4984958864675218,0.5348318225482117,-0.40280376888154307,0.45810285388120253,1782,2592,True,True,True,True
15m,bar_range,price_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.551929503088282,0.4624502637429418,-0.42687435686230885,0.20348091670099516,1782,2592,True,True,True,True
15m,price_velocity_w,vol_mean_w,DOWN_SMOOTH,UP_SMOOTH,-0.5277255193041926,0.4851012616879995,-0.3678265969883218,0.31504086174867313,1782,2592,True,True,True,True
1h,bar_range,price_accel_w,DOWN_SMOOTH,UP_SMOOTH,-0.4101460067344527,0.5829519937362228,-0.5008179653737254,0.31834006515834823,1782,2592,True,True,True,True
1h,price_velocity_w,vol_sigma_w,DOWN_CHOPPY,UP_CHOPPY,-0.5273167960247348,0.4416159772846174,-0.45462259610898,0.4674509500033118,1332,1104,True,True,True,True
1h,price_velocity_1b,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.421955779237173,0.5310586376645537,-0.5109319851212907,0.6340902770295471,2592,1782,True,True,True,True
1h,body,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.4016440276272183,0.5346692406904927,-0.3611748256876527,0.6352813529858872,2592,1782,True,True,True,True
15m,price_velocity_1b,bar_range,DOWN_SMOOTH,UP_SMOOTH,-0.4167195838846876,0.5189034257436299,-0.43343623898125255,0.35474120055860503,1782,2592,True,True,True,True
15m,price_velocity_w,vol_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.4750260317652494,0.4421199359014695,-0.49531283687324346,0.29172825925245544,1782,2592,True,True,True,True
15m,bar_range,body,DOWN_SMOOTH,UP_SMOOTH,-0.3748447610346842,0.5302224360476414,-0.4053424228958423,0.39411302919203317,1782,2592,True,True,True,True
5m,price_velocity_w,swing_noise_w,DOWN_SMOOTH,UP_SMOOTH,-0.3718485654268764,0.5085059685727287,-0.37823599170451944,0.3806969685739595,1782,2592,True,True,True,True
1m,price_velocity_w,SE_low_w,DOWN_SMOOTH,UP_SMOOTH,-0.441609088130946,0.432006235247397,-0.32773167725221886,0.32436744466360057,1782,2592,True,True,True,True
1m,price_velocity_w,SE_high_w,DOWN_SMOOTH,UP_SMOOTH,-0.419549935878573,0.4498702604374109,-0.2986433108572956,0.3565147214796288,1782,2592,True,True,True,True
5m,bar_range,price_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.3970684530840339,0.44792592791387,-0.3746345875614248,0.19600882577430734,1782,2592,True,True,True,True
1m,price_velocity_w,swing_noise_w,DOWN_SMOOTH,UP_SMOOTH,-0.3768826379789678,0.4548139720421209,-0.36646469665833675,0.3771509469813354,1782,2592,True,True,True,True
1h,z_se_w,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.3432673021938309,0.4749286609023194,-0.37541164217980477,0.5292219435286768,2592,1782,True,True,True,True
1h,price_accel_w,reversion_prob_w,UP_SMOOTH,DOWN_SMOOTH,-0.3527438891035424,0.4300042810257121,-0.3110394284374748,0.5571899623586969,2592,1782,True,True,True,True
1h,vol_velocity_w,z_high_w,DOWN_SMOOTH,UP_SMOOTH,-0.4031964707652148,0.3383539460045322,-0.2497275547359563,0.0170308161050928,1782,2592,True,False,True,False
1h,vol_velocity_w,z_se_w,DOWN_SMOOTH,UP_SMOOTH,-0.3830771926450216,0.347016713741363,-0.2173314234947076,0.016430478795694738,1782,2592,True,False,True,False
1h,vol_velocity_w,z_low_w,DOWN_SMOOTH,UP_SMOOTH,-0.3575648001974709,0.3581286015144599,-0.21055255773989595,-0.08468950064941928,1782,2592,True,False,False,False
5m,price_velocity_w,vol_sigma_w,DOWN_SMOOTH,UP_SMOOTH,-0.379281458395425,0.3132563541725239,-0.32042294042913827,0.21595799620401657,1782,2592,True,True,True,True
1h,bar_range,z_se_w,DOWN_SMOOTH,UP_SMOOTH,-0.3820623768261482,0.2829324448195977,-0.3481793993120161,0.218473760491199,1782,2592,True,True,True,True
5m,price_velocity_w,vol_mean_w,DOWN_SMOOTH,UP_SMOOTH,-0.3414354522383268,0.3171852312071447,-0.29376364486992507,0.22717255739265835,1782,2592,True,True,True,True
5m,price_velocity_1b,bar_range,DOWN_SMOOTH,UP_SMOOTH,-0.3203014242091702,0.3337930058676726,-0.3056327192354444,0.23771385648119148,1782,2592,True,True,True,True
1m,bar_range,price_velocity_w,DOWN_SMOOTH,UP_SMOOTH,-0.2980928660749895,0.3067309442134124,-0.25059510725159634,0.15692325640529572,1782,2592,True,True,True,True
5m,bar_range,body,DOWN_SMOOTH,UP_SMOOTH,-0.2661170387843862,0.335001659574473,-0.26648008495497977,0.24708145974236795,1782,2592,True,True,True,True
