**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,X,Y,Z,is_r_min,is_r_max,is_lift,oos_r_min,oos_r_max,oos_lift,sign_match,oos_sign_flip,survives
5m,bar_range,body,z_se_w,-0.8991949510388296,0.8947034169075739,1.7938983679464036,-0.8641213649053537,0.8587149083128989,1.7228362732182525,True,True,True
15m,bar_range,body,z_se_w,-0.8748098493995738,0.8839853154676662,1.75879516486724,-0.8370232876032708,0.8149429799710266,1.6519662675742974,True,True,True
15m,bar_range,body,price_velocity_1b,-0.8668157963990731,0.8812047049353062,1.7480205013343793,-0.8115272428566017,0.8094818217520666,1.6210090646086683,True,True,True
1m,bar_range,body,price_velocity_1b,-0.8670228660585282,0.8705214476360559,1.737544313694584,-0.8119137234081761,0.8422583684936211,1.6541720919017973,True,True,True
1m,price_velocity_1b,bar_range,body,-0.8646825813137703,0.8660037718646859,1.7306863531784562,-0.795844556853308,0.8344884883842562,1.6303330452375642,True,True,True
1h,bar_range,body,z_se_w,-0.8611176070689227,0.8624051516474606,1.7235227587163833,-0.836200751258527,0.8159746087320047,1.6521753599905318,True,True,True
5m,z_se_w,reversion_prob_w,price_velocity_1b,-0.8585069288113321,0.8645525152736281,1.72305944408496,-0.8637430739962556,0.8589603237573255,1.722703397753581,True,True,True
5s,z_se_w,reversion_prob_w,price_velocity_1b,-0.8558382599202313,0.8659538981567407,1.7217921580769722,-0.8556588030600562,0.8664605820847775,1.7221193851448335,True,True,True
5s,z_se_w,reversion_prob_w,z_high_w,-0.8004047949429235,0.914103846488174,1.7145086414310975,-0.7975900401570283,0.8985801645822064,1.6961702047392346,True,True,True
15m,price_velocity_1b,bar_range,body,-0.8362596107868002,0.8722913381842279,1.7085509489710282,-0.8254490734542587,0.7185941684590909,1.5440432419133496,True,True,True
5m,bar_range,body,price_velocity_1b,-0.8616289550415909,0.843173162397541,1.704802117439132,-0.8121746358461417,0.828948111418133,1.6411227472642747,True,True,True
1h,bar_range,body,price_velocity_1b,-0.8741906638311765,0.8276444399888543,1.7018351038200308,-0.8050854206496318,0.826617140122013,1.6317025607716449,True,True,True
5m,z_se_w,reversion_prob_w,body,-0.8480292750072366,0.8535699387540867,1.7015992137613232,-0.8461997901492975,0.8575898473232696,1.7037896374725672,True,True,True
5s,z_se_w,reversion_prob_w,z_low_w,-0.9193244697024966,0.7778378231243585,1.697162292826855,-0.9241628672894776,0.7566192351091208,1.6807821023985983,True,True,True
5s,bar_range,body,z_se_w,-0.8507378353192028,0.8363820456556069,1.6871198809748096,-0.8421737861065367,0.8520430975693238,1.6942168836758604,True,True,True
5m,price_velocity_1b,bar_range,z_se_w,-0.88604085989436,0.7962675974900284,1.6823084573843885,-0.8534434499534869,0.8515493328875489,1.7049927828410358,True,True,True
1m,bar_range,body,z_se_w,-0.8269882359228995,0.8451571138953058,1.6721453498182053,-0.7682854498718343,0.7420610992267088,1.5103465490985433,True,True,True
1m,price_velocity_1b,bar_range,z_se_w,-0.8270388341052857,0.8422601174391925,1.6692989515444785,-0.7670386899368762,0.7366532603610404,1.5036919502979167,True,True,True
1h,bar_range,body,price_accel_w,-0.82568721261315,0.8405667845902214,1.6662539972033714,-0.8152615906754778,0.7915030940351236,1.6067646847106014,True,True,True
1h,price_velocity_1b,bar_range,body,-0.830762160866142,0.8294335743863209,1.6601957352524628,-0.825893709867618,0.7076500107655054,1.5335437206331233,True,True,True
5s,bar_range,body,price_velocity_1b,-0.8350270693640585,0.8119027172804423,1.6469297866445007,-0.8335518685993684,0.852924737173691,1.6864766057730594,True,True,True
15m,price_velocity_1b,bar_range,z_se_w,-0.8646000467642667,0.7681970173009913,1.632797064065258,-0.8526207925363216,0.77369382825768,1.6263146207940016,True,True,True
5m,z_se_w,reversion_prob_w,z_high_w,-0.7099302974646142,0.904889796682428,1.6148200941470423,-0.7273464002375973,0.8896203430742715,1.6169667433118688,True,True,True
5m,z_se_w,reversion_prob_w,z_low_w,-0.905102704684899,0.7066339033050896,1.6117366079899886,-0.9110357238653417,0.7154679111896102,1.6265036350549518,True,True,True
5s,z_se_w,reversion_prob_w,body,-0.789602732918791,0.8180234824651715,1.6076262153839624,-0.7996356615506072,0.8115014774429915,1.6111371389935987,True,True,True
1h,price_velocity_1b,bar_range,z_se_w,-0.8446165511829956,0.7544372331440004,1.599053784326996,-0.8520926941499957,0.7618344184172748,1.6139271125672705,True,True,True
5m,price_velocity_1b,bar_range,body,-0.8244071684043521,0.7380737040597486,1.5624808724641008,-0.8020544987666782,0.7769244176842515,1.5789789164509296,True,True,True
5s,price_velocity_1b,bar_range,z_se_w,-0.7966233490891228,0.7582689689231444,1.5548923180122671,-0.7379938286406632,0.7343078634792342,1.4723016921198973,True,True,True
1h,price_velocity_1b,bar_range,price_accel_w,-0.7967363662947787,0.7478309294626687,1.5445672957574474,-0.8295845286737814,0.7462022276545331,1.5757867563283146,True,True,True
