tf,X,Y,Z,r_min,r_max,lift,sign_flip
5m,bar_range,body,z_se_w,-0.8991949510388296,0.8947034169075739,1.7938983679464036,True
15m,bar_range,body,z_se_w,-0.8748098493995738,0.8839853154676662,1.75879516486724,True
1h,bar_range,body,z_se_w,-0.8611176070689227,0.8624051516474606,1.7235227587163833,True
5m,z_se_w,reversion_prob_w,body,-0.8480292750072366,0.8535699387540867,1.7015992137613232,True
5s,bar_range,body,z_se_w,-0.8507378353192028,0.8363820456556069,1.6871198809748096,True
1m,bar_range,body,z_se_w,-0.8269882359228995,0.8451571138953058,1.6721453498182053,True
5s,z_se_w,reversion_prob_w,body,-0.789602732918791,0.8180234824651715,1.6076262153839624,True
1h,z_se_w,reversion_prob_w,body,-0.7626835386447767,0.7818309897606285,1.5445145284054052,True
15m,z_se_w,reversion_prob_w,body,-0.7700822024859296,0.7649096610084327,1.5349918634943625,True
1m,z_se_w,reversion_prob_w,body,-0.6752194972350596,0.670187352628176,1.3454068498632354,True
5s,vol_velocity_w,vol_mean_w,bar_range,-0.38882982270327904,0.7516902204040059,1.1405200431072848,True
1h,body,reversion_prob_w,z_se_w,-0.45976112642699807,0.6411037098621338,1.1008648362891318,True
5m,body,vol_mean_w,z_se_w,-0.4688387338296543,0.44743705418368335,0.9162757880133376,True
15m,body,reversion_prob_w,z_se_w,-0.4228188074676017,0.48898179544013837,0.9118006029077401,True
1h,body,vol_velocity_w,z_se_w,-0.461895620913274,0.34929595020526616,0.8111915711185402,True
5s,body,vol_mean_w,z_se_w,-0.41034329621780913,0.38203738119995606,0.7923806774177652,True
1m,body,vol_mean_w,z_se_w,-0.40074621621132983,0.37247712484730144,0.7732233410586313,True
15m,body,vol_mean_w,z_se_w,-0.41142661487688476,0.34814735021522447,0.7595739650921092,True
5m,body,vol_velocity_w,z_se_w,-0.3756946262699039,0.34349376977624163,0.7191883960461456,True
15m,body,vol_velocity_w,z_se_w,-0.3849387836367467,0.30823599435267657,0.6931747779894233,True
1h,body,z_se_w,reversion_prob_w,0.031075984818500282,0.7190324830823441,0.6879564982638439,False
5m,body,reversion_prob_w,z_se_w,-0.33284468690487634,0.3514586603309115,0.6843033472357878,True
1m,body,reversion_prob_w,z_se_w,-0.33301523323613463,0.35073686484877714,0.6837520980849118,True
1h,bar_range,body,hurst_w,-0.23843386371771513,0.42277767970871355,0.6612115434264287,True
15m,vol_velocity_w,vol_mean_w,bar_range,-0.6987974587515927,-0.044361329311598315,0.6544361294399944,False
1m,body,vol_velocity_w,z_se_w,-0.33518764440312615,0.2956486018379871,0.6308362462411132,True
1h,body,vwap_w,z_se_w,-0.31295798408161446,0.3175667654829177,0.6305247495645321,True
5s,body,reversion_prob_w,z_se_w,-0.2919966280144206,0.32938201810307033,0.6213786461174909,True
5m,body,vwap_w,z_se_w,-0.31394222628779217,0.2972491510428768,0.611191377330669,True
15m,body,vwap_w,z_se_w,-0.3009887436312894,0.3052889896661284,0.6062777332974179,True
15m,body,z_se_w,reversion_prob_w,0.07138235913005866,0.6662787510982349,0.5948963919681762,False
5s,body,z_se_w,reversion_prob_w,0.060120377962721815,0.6083669199162155,0.5482465419534936,False
1m,body,z_se_w,reversion_prob_w,0.044959201324723586,0.5920715705140749,0.5471123691893514,False
1h,bar_range,reversion_prob_w,z_se_w,-0.5184169523795481,0.027271921501754108,0.5456888738813022,False
5m,vol_velocity_w,vol_mean_w,bar_range,-0.5430931997030239,0.0003123080954655269,0.5434055077984895,False
5m,body,z_se_w,reversion_prob_w,0.0972676677359176,0.6304167871456415,0.533149119409724,False
1h,vol_mean_w,z_se_w,body,-0.19934569545258238,0.32239874428702675,0.5217444397396092,True
1m,vol_velocity_w,vol_mean_w,bar_range,-0.4794456587940296,0.03844692938523772,0.5178925881792673,False
5s,body,vwap_w,z_se_w,-0.2558075280445865,0.2458898034244662,0.5016973314690527,True
1m,body,vwap_w,z_se_w,-0.24199050956705814,0.25365469432154863,0.4956452038886068,True
5s,body,vol_velocity_w,z_se_w,-0.29689969165061714,0.19724428770064736,0.49414397935126453,True
15m,bar_range,body,hurst_w,-0.21598370027029165,0.23039533661813896,0.4463790368884306,True
1h,body,vol_mean_w,z_se_w,-0.1996938441957454,0.2373751105085162,0.4370689547042616,True
1m,bar_range,body,hurst_w,-0.18882013890428861,0.2477918280012719,0.4366119669055605,True
1h,vol_velocity_w,reversion_prob_w,z_se_w,-0.37893697494748996,0.040115394409567774,0.41905236935705775,False
1h,vol_velocity_w,z_se_w,body,-0.2483665478605337,0.16391532949137538,0.4122818773519091,True
15m,vol_mean_w,z_se_w,body,-0.17723574609335702,0.23343748513681395,0.41067323123017097,True
1h,vwap_w,vol_mean_w,vol_velocity_w,-0.5186963123023007,-0.11700619166861659,0.40169012063368414,False
5m,vol_mean_w,z_se_w,body,-0.19369005291628516,0.20685809524105112,0.4005481481573363,True
15m,bar_range,reversion_prob_w,z_se_w,-0.37899528097115487,0.018903248571469657,0.3978985295426245,False
15m,bar_range,vol_mean_w,vol_velocity_w,0.24180147114842468,0.62973788087301,0.3879364097245853,False
1h,body,reversion_prob_w,vol_mean_w,-0.08044624102646353,0.306924131001114,0.3873703720275775,True
1h,vwap_w,z_se_w,body,-0.20429049377675276,0.15849410411998255,0.36278459789673534,True
1h,bar_range,z_se_w,body,-0.21195498779698718,0.13459106685099087,0.34654605464797805,True
1h,bar_range,body,vwap_w,-0.19808530081496317,0.14797644792195372,0.34606174873691686,True
1h,bar_range,reversion_prob_w,body,-0.35629181503581714,-0.010890373989671093,0.34540144104614606,False
1m,vol_velocity_w,vol_mean_w,reversion_prob_w,-0.05549884110637994,0.28760750225108367,0.3431063433574636,True
5s,vol_velocity_w,vol_mean_w,body,0.41061548585223057,0.75096697873768,0.34035149288544947,False
1h,vol_velocity_w,reversion_prob_w,vol_mean_w,-0.4201601997372298,-0.08025725776870948,0.33990294196852033,False
5m,vol_velocity_w,vol_mean_w,reversion_prob_w,-0.07954671235644273,0.23939031347107298,0.3189370258275157,True
