pair,UP_SMOOTH,UP_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY
SE_high_w__SE_low_w,0.9394042637424316,0.8098073304403276,0.9390742988770668,0.8222771441501998,0.9368883016979338,0.9047144509016947
SE_high_w__hurst_w,0.058013191239760536,0.30072764065916036,0.06393696108299149,-0.24007998487628454,-1.264928628533257e-05,-0.013396019340619743
SE_high_w__reversion_prob_w,-0.03268386468737846,0.07622080056562004,0.15497724823065312,0.11627812204085844,-0.04894054449823605,0.09988857696719151
SE_high_w__swing_noise_w,0.8876945135284026,0.8354942804682558,0.8052967567029914,0.4315415138702479,0.6872257284629182,0.569462159675284
SE_low_w__hurst_w,0.054170968844308796,0.212567032548353,0.14233660877864032,-0.2916246601433495,-0.012192363861026312,0.014991404023180928
SE_low_w__reversion_prob_w,0.07287216074849454,0.13225000439876586,0.02471076684077829,0.0001728851148421397,-0.03524196566065101,0.06149451674727649
SE_low_w__swing_noise_w,0.8831720497858982,0.7946416754502852,0.8545005285900519,0.4603398606861084,0.6362342168408369,0.6316558364417159
bar_range__SE_high_w,0.49260215698760457,0.6305974177077283,0.43268072887128833,0.18043827119920208,0.21935582601589537,0.3213809194475752
bar_range__SE_low_w,0.33534307578414374,0.5365869342207085,0.5901388859561911,0.30498092904432306,0.2131675258423554,0.4132752154264301
bar_range__body,0.7124664536738344,0.3884329139365055,-0.5902457798963615,-0.31311384282214483,-0.19829432506904787,-0.17737631057008624
bar_range__hurst_w,0.07063123905057814,0.19762228643178434,0.17893825038141656,-0.17108695118456524,0.1686174093779192,0.12516799072133727
bar_range__price_accel_w,0.5829519937362228,0.3348380538505861,-0.4101460067344527,-0.2125379914454408,-0.1595115783236775,-0.11587837614547243
bar_range__price_mean_w,-0.4350329172124946,-0.5855090038714882,-0.4191624601111821,-0.35376259706549507,-0.4774717776290339,-0.4399865990211858
bar_range__price_sigma_w,0.37189594531189657,0.618353720245265,0.5518247984630792,0.393297442185893,0.21153850679552505,0.39014659934285806
bar_range__price_velocity_w,0.3768319869010755,0.27431314319519456,-0.5807100237297333,-0.31191937549698595,-0.12268590502769683,-0.3170511919023321
bar_range__reversion_prob_w,-0.4269540797390014,-0.18048799912602095,-0.45444050849057505,-0.4568579923711619,-0.3793538711011921,-0.40435124591523003
bar_range__swing_noise_w,0.5046896956885588,0.6492896030774267,0.6014338993435113,0.3779332431887877,0.49164457384746024,0.4993677791160389
bar_range__vol_accel_w,0.23467787933092085,0.23601819473479765,0.22388355983945382,0.2678174681862311,0.18124696640032203,0.20352751992457718
bar_range__vol_mean_w,0.25923950132164797,0.38173125445729544,0.40034098393552076,0.24384089668220604,0.29910413182851775,0.32312344975479695
bar_range__vol_sigma_w,0.21362015749850588,0.38949492768373445,0.3722144759704158,0.391039717512015,0.36133732491444337,0.3413783522645296
bar_range__vol_velocity_w,0.41209143015041705,0.47348921940194977,0.5529664319368208,0.6308829836626177,0.5154401804632353,0.5527550000891299
bar_range__vwap_w,-0.4237577653288862,-0.5731151402099113,-0.4394216745100488,-0.3645591225779847,-0.47822594917643724,-0.4435409120386545
bar_range__z_high_w,0.31858879256047606,0.21172673835396158,-0.23623744019118015,-0.14404255460150436,0.06365319533874077,0.0315779669137874
bar_range__z_low_w,0.1254231268928079,0.021199173987512317,-0.3880936738811869,-0.35551694044899945,-0.18835329473542237,-0.22156407635816497
bar_range__z_se_w,0.2829324448195977,0.16495079071200683,-0.3820623768261482,-0.2851933474761017,-0.07951672674387468,-0.0913295927447295
body__SE_high_w,0.22590079199497637,0.1607755009910747,-0.05822827572056898,0.0878559720869959,-0.005049187587260601,0.00040106058441021717
body__SE_low_w,0.09465149349668257,0.11011798716895295,-0.17877315500808552,-0.07628753978401794,-0.055730670553100055,-0.0558966053145293
body__hurst_w,0.012060950220545272,0.04023398426730221,-0.05781511513575495,0.014628939339500208,-0.013041099268197855,-0.022388137038907904
body__price_accel_w,0.7706711957570916,0.6653943447005725,0.7231972620506397,0.603184470672584,0.5632725889666264,0.6550663271072884
body__price_mean_w,-0.15191939602379723,-0.14301773098168485,0.09054905837541306,0.05334439148692903,0.023228987597555865,0.019780637923168073
body__price_sigma_w,0.14807004660954753,0.1349180256860037,-0.1455573988290239,-0.06109236982080994,-0.02868364256216387,-0.03623466802823046
body__price_velocity_w,0.24875621609258913,0.20812483136688303,0.27012079383827065,0.22080961549928577,0.15672188898657097,0.23987911450552069
body__reversion_prob_w,-0.40164402762721835,-0.1715696758763741,0.5346692406904927,0.3100511819881817,0.21041111683929362,0.20930518167825168
body__swing_noise_w,0.19542275305602944,0.14305302945878057,-0.13449875742935594,-0.07719281157605173,-0.049478306525573446,-0.06667603738910137
body__vol_accel_w,0.17714056189595465,0.1847920656324795,-0.29546002652221637,-0.09198904070830212,-0.05674054893746263,-0.11925229624478192
body__vol_mean_w,0.1208310474861077,0.06648924287513558,-0.10205814944180819,-0.057583675188264405,-0.006828425306645025,0.012620073344240168
body__vol_sigma_w,0.11505676502707192,0.05627804338112997,-0.14074898955412224,-0.06885974036881749,-0.007622994769869239,0.00993646657427022
body__vol_velocity_w,0.23888188329519486,0.19298778398543728,-0.3480349373372131,-0.13638302711364575,-0.04670267064314552,-0.055520825611107605
body__vwap_w,-0.14259932879208442,-0.1398683968194833,0.10285914660130954,0.056847023071793214,0.023243156882222817,0.020490463789764893
body__z_high_w,0.31921460660952383,0.3140548659577386,0.21102402895213165,0.26292630952113044,0.24853482047949416,0.2693631883863058
body__z_low_w,0.1843134962230369,0.1634260418183222,0.42617388344720175,0.35398936773987233,0.3135649596215545,0.3364066851492604
body__z_se_w,0.46675557089426295,0.4978211466282492,0.5846577685494107,0.6789368414787414,0.5853956291787104,0.6194433827610223
hurst_w__reversion_prob_w,0.05809494527044893,0.06290717419494844,0.10843180630146343,0.15784675778214252,0.03409973921026928,0.05006968849076045
hurst_w__swing_noise_w,0.18978260007441955,0.3879570249169914,0.33798393586271525,-0.03943115282755524,0.21115244275611297,0.18246599091484283
price_accel_1b__SE_high_w,-0.04452193046839119,0.0019061724061247992,0.11578430652551801,0.09663482690088274,-0.005856957383510892,0.045558400985948974
price_accel_1b__SE_low_w,-0.09874148159594492,0.0015987776415169357,0.052129817647536845,0.05694193201339819,-0.033586815141992285,0.006706823935274272
price_accel_1b__bar_range,0.33036479109491024,0.1285683385777163,-0.17746709549114356,-0.13608398776731792,-0.07631135682061672,-0.02922101009415562
price_accel_1b__body,0.695252790960984,0.772786996313253,0.6927599485945132,0.7501411601904244,0.5344252192471732,0.7233728989798729
price_accel_1b__hurst_w,0.011702619179076402,0.034153100364567056,-0.04645645792886508,-0.04806684601208078,-0.0073596384752828104,0.008115228972896273
price_accel_1b__price_accel_w,0.5574328503922769,0.467020604071801,0.5990407299173208,0.44816046124078185,0.5275129112963979,0.47455843578414997
price_accel_1b__price_mean_w,-0.0034999517388099306,-0.002488684937217313,0.002977178997796862,-0.011317236264360535,0.0007079069251853605,-0.006065847303951087
price_accel_1b__price_sigma_w,-0.05954226321790326,-0.007952650194380202,0.06772627567802052,0.05983413471535376,-0.023812869467574896,0.02379071288346901
price_accel_1b__price_velocity_w,-0.0002881417358351769,0.012800575532303566,0.014621652602488208,0.0016466139258981313,8.080137201923367e-05,0.0006965817755000492
price_accel_1b__reversion_prob_w,-0.25476742816991915,-0.10208238650637418,0.3275307126971725,0.19372398715923508,-0.0072311263472570955,0.12946635371855397
price_accel_1b__swing_noise_w,-0.017506690081264827,-0.0023010594671839294,0.03856122941073206,0.00973302515722271,-0.008392370123053466,0.00027048598738792364
price_accel_1b__vol_accel_1b,0.2887016871917676,0.2952680173695538,-0.3745898987574957,-0.17227187365296745,-0.08999583529113504,-0.16210725114022248
price_accel_1b__vol_accel_w,0.1546743751660939,0.18490247380436328,-0.23287685820626888,-0.06672632898916114,-0.026691337431459454,-0.061253367835664055
price_accel_1b__vol_mean_w,-0.04154175474151482,-0.004120457611730117,0.05055706952794157,0.022344856815637155,-0.0020106137421655504,0.014631211919412733
price_accel_1b__vol_sigma_w,-0.0361307132769426,-0.003504362493303744,0.04901127042715989,0.015748920517265584,-0.002754510002813008,0.01604467889378649
price_accel_1b__vol_velocity_1b,0.21250631142847137,0.2687699594797032,-0.27223661042823327,-0.1312571363052706,-0.047915945679765246,-0.11247499951938285
price_accel_1b__vol_velocity_w,0.011490564130318761,0.05039114539916529,-0.02701569607863413,-0.005748095165930245,-0.0031956348195100997,0.013140708206819021
price_accel_1b__vwap_w,-0.004195979839931698,-0.002913444458535771,0.0024966668792063677,-0.011547834029709702,-0.000755233656734391,-0.007169839431050655
price_accel_1b__z_high_w,0.014120762804332445,-0.008867767644203344,-0.1787171163011296,-0.188858232761532,-0.07380679204911143,-0.14912719102393363
price_accel_1b__z_low_w,-0.14716493702936434,-0.14165597456507906,0.031279829876614276,-0.04367286525983179,-0.022801552068717867,-0.09672187165596778
price_accel_1b__z_se_w,0.16159964452409184,0.16986585694372308,0.1843679678123018,0.27055530106094905,0.17136067125457352,0.207046382857662
price_accel_w__SE_high_w,0.1533949251365834,0.12097026365221863,0.07677341231514552,0.11746227384758459,0.11212146217956051,-0.010187474256239254
price_accel_w__SE_low_w,0.03312321144288085,0.15331562868798565,-0.014156890366855182,0.04777149420550185,0.09642203772515476,-0.04521116455184938
price_accel_w__hurst_w,-0.004620188320206898,-0.01928783319273998,-0.017285603909356448,0.023097112218529024,-0.0019204889407456603,0.00668096447170748
price_accel_w__price_mean_w,-0.13358576483172832,-0.14383501091786813,0.008474581961823007,-0.03475880878537565,0.005651919174854061,0.011505579030883156
price_accel_w__price_sigma_w,0.10337687282254858,0.10487199099444976,-0.005593925505207175,0.03970851640422774,0.06814222301703998,-0.03479915574907674
price_accel_w__reversion_prob_w,-0.35274388910354243,-0.16110787916608615,0.4300042810257121,0.28147712220243387,-0.01439729723728439,0.13500875701948115
price_accel_w__swing_noise_w,0.12699785397076852,0.16842755912323157,0.01103555185382708,0.09102708971734351,-0.01377970731091574,-0.10994804179174338
price_accel_w__vol_accel_w,0.13565738992345924,0.17969564374650035,-0.36045696229675905,-0.12160101402820589,-0.057330647755205834,-0.12550093897262934
price_accel_w__vol_mean_w,0.09779904681596491,-0.027192982919809015,0.011667939916666882,0.010076725350435549,-0.0014135949463338587,0.03636941128230213
price_accel_w__vol_sigma_w,0.08148654121637056,-0.04856427785993667,-0.018262682245336347,-0.04456413222152803,0.009980375658393053,0.02563472438231546
price_accel_w__vol_velocity_w,0.22463754802387376,0.1547055517904602,-0.33465548924422833,-0.20602263877949817,-0.06610253390373982,-0.03672109176282849
price_accel_w__vwap_w,-0.12512413929569505,-0.14078354611327726,0.019806639579575798,-0.03191393217465157,0.010445690638198843,0.011232181343598902
price_accel_w__z_high_w,0.2931119806772017,0.24119072483101556,0.21849150158131006,0.18011847856924887,0.18918797657973435,0.15584465256309882
price_accel_w__z_low_w,0.18720346950083888,0.14154717797054814,0.361028725121914,0.2580457211580318,0.22590528588547723,0.21650461499085907
price_accel_w__z_se_w,0.40546759416070416,0.34958546147879416,0.45794546268553954,0.44016714141572255,0.37304126538470467,0.3930063985051263
price_mean_w__SE_high_w,-0.4840330614159809,-0.7849545306576465,-0.5421558516106816,-0.4477950629432223,-0.3795571892600733,-0.47806149731783865
price_mean_w__SE_low_w,-0.4440495683405797,-0.7206001803237608,-0.5921515007451621,-0.47788300435992664,-0.3438107995365115,-0.4722989120589351
price_mean_w__hurst_w,-0.1212753879547364,-0.3059882829962615,-0.03683721711152741,0.14754685146377783,-0.24717184082183474,-0.13326922155075546
price_mean_w__price_sigma_w,-0.4409133680718583,-0.7693740484000595,-0.5065529607735622,-0.5504287739973829,-0.33836593584621677,-0.4693875831301754
price_mean_w__reversion_prob_w,0.03822507704255911,0.010365379719398639,-0.08465368103104082,-0.04143214807029189,0.035282391759908646,-0.02905383584569185
price_mean_w__swing_noise_w,-0.6158423892649619,-0.8694249080221201,-0.6154735145706512,-0.6747656803514527,-0.621902288022119,-0.5581734738522767
price_mean_w__vol_mean_w,-0.26155069456875457,-0.46834440032112284,-0.43763369406612046,-0.2586497821790843,-0.398297699712312,-0.36715038432291563
price_mean_w__vol_sigma_w,-0.13629922512261233,-0.31270735871657435,-0.24995096805603575,-0.20145130946370962,-0.3721092018429171,-0.2873729692910169
price_mean_w__vwap_w,0.9994684311765053,0.9996290437519201,0.99896895349314,0.9996858276886159,0.9993360058588222,0.9995796586700406
price_mean_w__z_high_w,-0.05683539677918098,-0.02324173975771932,-0.03823061662006644,-0.06692140264271675,0.0021845357710290675,-0.004879491092486051
price_mean_w__z_low_w,-0.06985643420870426,-0.011822228282629922,-0.08066241303218676,-0.057237412686961135,0.02982570850721527,-0.012761775544342034
price_mean_w__z_se_w,-0.053449147934933244,-0.017824408440519877,-0.05289552369293634,-0.046485809789007584,0.016973562584922827,-0.009783972610180002
price_sigma_w__SE_high_w,0.9274650393003715,0.9065781138625875,0.8661242841168298,0.67216814094086,0.9080978396777788,0.8593272550361678
price_sigma_w__SE_low_w,0.8873088675244158,0.8168129770090673,0.8763455920581056,0.7980436149951715,0.8987652186589683,0.8597509418295389
price_sigma_w__hurst_w,0.06730512299501284,0.2911417225276107,0.20233385718064892,-0.12522165259383533,0.021757540288421858,0.08542380221359006
price_sigma_w__reversion_prob_w,0.014967336053046232,0.07301568845489653,0.07873338259372066,0.08382727285716271,-0.057111961171020714,0.02475819259912927
price_sigma_w__swing_noise_w,0.8487628359206305,0.8109447588674177,0.8582850245252043,0.546510078048742,0.6885783740608978,0.6430324877163786
price_sigma_w__vol_mean_w,0.6340413963102656,0.614664425644028,0.7748486255945372,0.5845993683876355,0.36153223673052687,0.5209764002794752
price_sigma_w__vol_sigma_w,0.47965035752139634,0.48182263001303105,0.5726292477707615,0.5515683758404516,0.2943991486260359,0.3936047741009768
price_sigma_w__vwap_w,-0.4418824323728674,-0.7595186477881462,-0.5084065628265086,-0.5550204370544374,-0.31804199738325417,-0.4661133993237389
price_sigma_w__z_high_w,-0.09908898731022503,-0.059804276974710226,-0.05021069227637655,0.015844371249302172,0.026786321713476415,-0.07395592061138682
