pair,UP_SMOOTH,UP_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY
SE_high_w__SE_low_w,0.9504288480234929,0.9741459664707327,0.9577795513262466,0.9457044075458407,0.9609841727259236,0.9473267053387299
SE_high_w__hurst_w,-0.0452885171103881,-0.02225869488635064,-0.05941623266208114,-0.14307192696944712,-0.09208779931897906,-0.09242566146727393
SE_high_w__reversion_prob_w,-0.01937591661292096,0.000793253569504183,0.01566333153188149,0.03185611290387166,0.025029487804820304,0.0112551542558247
SE_high_w__swing_noise_w,0.8592245647488193,0.8957471436321537,0.8149968422760205,0.7835854666379489,0.6999322045023992,0.8139073957353147
SE_low_w__hurst_w,-0.04499811859164127,-0.019909427471682384,-0.05688114765556796,-0.14706350750256134,-0.09917037195677125,-0.09178428643081761
SE_low_w__reversion_prob_w,-0.0009441927211099935,0.00484930403177687,-0.004960991610355687,0.00781359611430769,0.019940419099642125,1.7404185180765553e-05
SE_low_w__swing_noise_w,0.8565625596887966,0.8847474298517632,0.7860127759070626,0.7735520959336624,0.6918555361503059,0.8188774384597447
bar_range__SE_high_w,0.7220922028068923,0.7771143124419637,0.7187478699107479,0.6903192881031832,0.4600144002614285,0.7281950925505392
bar_range__SE_low_w,0.6642540888840002,0.7703787953408103,0.7044428231331435,0.6920247663818169,0.46047099638900374,0.7355265437322558
bar_range__body,0.3668377941121845,-0.25472039848290284,-0.19649574725935148,-0.11255363376947916,-0.02389744260708184,-0.04575730240827124
bar_range__hurst_w,0.027744569605848857,0.047563318557671895,0.03662360524072194,0.006848410373216971,-0.013750174662894618,0.02525150364913051
bar_range__price_accel_w,0.20330741429423055,-0.16096005444386935,-0.06781849501929554,-0.03374736920100259,-0.0006781110821805771,-0.004327574919061183
bar_range__price_mean_w,-0.35087083171661915,-0.49823169858845157,-0.44143820056796423,-0.32167568702742094,-0.3776423684483579,-0.41389694038184455
bar_range__price_sigma_w,0.6508686225552954,0.7672515165775071,0.7056740599956407,0.6735023536697258,0.4447004235138494,0.7127136551154671
bar_range__price_velocity_w,0.30673094421341246,0.10049597746411389,-0.2980928660749895,-0.20144971933529293,-0.11499607332501635,-0.10012998319329125
bar_range__reversion_prob_w,-0.21836087852667838,-0.14860278061065788,-0.19041943210216136,-0.2166929022431381,-0.2096060988876423,-0.21258516941086672
bar_range__swing_noise_w,0.7046558615270182,0.8010296443563647,0.7649556580986714,0.7272524434497917,0.5523917762716483,0.7555227949849929
bar_range__vol_accel_w,0.16352007558119006,0.16700027739736328,0.1519238436417775,0.19687048623214567,0.1702654639308716,0.1801268228644217
bar_range__vol_mean_w,0.5004697682415257,0.6241269403383736,0.646106676189087,0.6996374501457063,0.6988178121178745,0.6616581726836802
bar_range__vol_sigma_w,0.47223208832044405,0.4933481960865976,0.5646859986954462,0.6246388310263137,0.6386203079783307,0.5854554888623545
bar_range__vol_velocity_w,0.2604988430103974,0.25158188195875886,0.2396239904222249,0.2970254644062981,0.29630525547792874,0.2773181311566475
bar_range__vwap_w,-0.350209142952665,-0.497861247326496,-0.44291567767220963,-0.32207227736859134,-0.37792096266737935,-0.4141519296163798
bar_range__z_high_w,0.05835116155878757,0.05964596827919545,0.017246328167444726,0.028729658994343803,0.04303359282047922,0.04450470416005009
bar_range__z_low_w,-0.05434426533674966,-0.039870461643502254,-0.10926640732235957,-0.11667354044210776,-0.10363302225588698,-0.08928869676847312
bar_range__z_se_w,0.023617056527470818,0.0016244914521306403,-0.051022507768518,-0.04948095172060449,-0.024456304940762376,-0.02116136435126844
body__SE_high_w,0.12654042173551008,-0.1719711759707259,-0.06575086634840147,-0.03846581212461427,0.022965337105588242,0.007285173181427771
body__SE_low_w,0.04736221617647877,-0.21503294293597092,-0.0827527416971433,-0.06736149530408386,0.001751721848829549,-0.024441560957354568
body__hurst_w,-0.0021040909256635904,-0.014273722010268665,0.016159965355092117,0.0011252172613631243,0.003473472299652762,0.006512720965678748
body__price_accel_w,0.6688427882735678,0.6857590361392205,0.7080411812936174,0.7026035639878192,0.7036656928385293,0.7161821743590975
body__price_mean_w,-0.03081577665094446,-0.005626939063253021,0.012137492520647563,0.018006975896632336,0.007104437848120311,0.008993945715541674
body__price_sigma_w,0.06954456856837994,-0.1382938970823782,-0.0797689426474228,-0.04229124984886435,0.011585598087192924,-0.005131619188449708
body__price_velocity_w,0.22440711415317982,0.24513813582061153,0.24505333869385298,0.22867029047386014,0.13999871064969174,0.21638824981226049
body__reversion_prob_w,-0.10622277078004475,-0.01154270686675727,0.14345922681510076,0.08004997031297667,0.07453583603775644,0.06329192088352556
body__swing_noise_w,0.068279836974052,-0.13720163719157819,-0.050406246367213366,-0.04170796373406254,0.009204158426668432,-0.002507355373841451
body__vol_accel_w,0.04201542520743846,-0.044656627014043895,-0.06264382001048578,-0.06618013452363859,-0.03296035074064606,-0.025092479820491627
body__vol_mean_w,0.056796040767074764,-0.06126473165788478,-0.0888729658110136,-0.023202399134443483,0.027549850111269748,0.003757014632757335
body__vol_sigma_w,0.07477903138597529,-0.061480847032829626,-0.08212352017284222,-0.05347977496227851,0.00573806276412158,0.009254594014589479
body__vol_velocity_w,0.07141675313501872,-0.07168215651145961,-0.09879766051796886,-0.09703736417323723,-0.04267542952078892,-0.02027212499011248
body__vwap_w,-0.030553238577398847,-0.0055786828658797895,0.012704650825795506,0.018167857434272988,0.007219075870122072,0.009222561607268143
body__z_high_w,0.2118428480688376,0.1816537251427966,0.2315853553836713,0.2696104000603732,0.26707675240720546,0.24891596874934693
body__z_low_w,0.17383714244458492,0.19938693214997946,0.2557109354049804,0.2969854184921886,0.2783298644311315,0.2580470434161025
body__z_se_w,0.36866999601729195,0.3673334982673347,0.4586610026882364,0.5344509080606568,0.5101363926153143,0.48141119238331137
hurst_w__reversion_prob_w,0.06821209952468384,0.09443795339836307,0.10623518683276839,0.06362190064113366,0.06767030508236704,0.07132837455596085
hurst_w__swing_noise_w,0.08316423495072388,0.09737051921953949,0.10828926703322095,0.059322312128555016,0.019116796561803446,0.09936494471899039
price_accel_1b__SE_high_w,0.15720699004306643,-0.07946080254069936,-0.060667253746289694,-0.02226629736404337,0.007851834102590839,0.019450558548598722
price_accel_1b__SE_low_w,0.10095367363418781,-0.08612902760415285,-0.08013566106032724,-0.037096466262616,0.006364973804648421,0.008175661879845154
price_accel_1b__bar_range,0.37004382990118273,-0.23094953797202275,-0.09798845131655179,-0.04462291799224088,0.007015055389800008,-0.0035369675323650572
price_accel_1b__body,0.7471518528881093,0.7015032493430705,0.7090571584005174,0.6870676850514827,0.680196928929212,0.669564360785677
price_accel_1b__hurst_w,0.004817323968323938,7.585003682043293e-05,0.011694776207073565,0.00022418048205323602,-0.005119297815981852,0.008040877727278427
price_accel_1b__price_accel_w,0.47629997223736736,0.49951141938479116,0.5106650053339751,0.48626598745071814,0.47741921826338346,0.48092566733299275
price_accel_1b__price_mean_w,-0.03113932336145982,0.025386227529834767,-0.009257205568955927,0.023153552606725573,0.005477030629925135,-0.0025380570816398995
price_accel_1b__price_sigma_w,0.1331403035724655,-0.03383063261810027,-0.08767876226333919,-0.025890005542672852,0.021340684639543212,0.019167685667507556
price_accel_1b__price_velocity_w,0.13411411545707436,0.041470373523467836,0.05902826705148528,-0.030216711517270543,-0.04294307476216042,-0.030107924056828182
