tf,c1,c2,regime_2d,n,pearson,p_q4q4,p_q0q0,p_q4q0,p_q0q4,upper_lift,lower_lift,tail_asymmetry,joint_extreme,cross_extreme,abs_asym
15m,vol_velocity_w,vol_sigma_w,DOWN_CHOPPY,2988,0.41980006270628345,0.14457831325301204,0.001004016064257028,0.0,0.04618473895582329,3.614457831325301,0.0251004016064257,3.5893574297188753,3.6395582329317264,1.1546184738955823,3.5893574297188753
1h,z_se_w,reversion_prob_w,DOWN_SMOOTH,4662,0.4749286609023198,0.0,0.14264264264264265,0.05662805662805663,0.0,0.0,3.566066066066066,-3.566066066066066,3.566066066066066,1.4157014157014158,3.566066066066066
5s,bar_range,swing_noise_w,FLAT_SMOOTH,9893,0.6711831587980756,0.13787526533912867,0.0,0.002729202466390377,0.0,3.4468816334782164,0.0,3.4468816334782164,3.4468816334782164,0.06823006165975942,3.4468816334782164
5s,bar_range,vol_mean_w,FLAT_SMOOTH,9893,0.5951018804184431,0.13706661275649448,0.0,0.0021227130294147376,0.0,3.426665318912362,0.0,3.426665318912362,3.426665318912362,0.05306782573536844,3.426665318912362
5s,bar_range,swing_noise_w,UP_SMOOTH,7146,0.7501794738787297,0.13699972012314582,0.0,0.0015393226980128744,0.0,3.4249930030786455,0.0,3.4249930030786455,3.4249930030786455,0.03848306745032186,3.4249930030786455
1h,z_se_w,reversion_prob_w,DOWN_CHOPPY,2988,0.3565179817569644,0.0,0.13654618473895583,0.06057563587684069,0.0,0.0,3.413654618473896,-3.413654618473896,3.413654618473896,1.5143908969210174,3.413654618473896
5s,bar_range,price_sigma_w,FLAT_SMOOTH,9893,0.6510196064372753,0.13292226827049428,0.0,0.0030324471848781967,0.0,3.323056706762357,0.0,3.323056706762357,3.323056706762357,0.07581117962195491,3.323056706762357
15m,vol_velocity_w,vol_sigma_w,UP_CHOPPY,3924,0.3829312170074447,0.13226299694189603,0.0007645259938837921,0.0,0.05835881753312946,3.3065749235474007,0.0191131498470948,3.287461773700306,3.3256880733944953,1.4589704383282365,3.287461773700306
5s,bar_range,vol_mean_w,UP_SMOOTH,7146,0.5707847833604706,0.13014273719563393,0.0,0.0018191995521970334,0.0,3.2535684298908483,0.0,3.2535684298908483,3.2535684298908483,0.04547998880492583,3.2535684298908483
5s,bar_range,SE_low_w,FLAT_SMOOTH,9893,0.6260315198895651,0.12928333164864045,0.0,0.005458404932780754,0.0,3.232083291216011,0.0,3.232083291216011,3.232083291216011,0.13646012331951884,3.232083291216011
5s,bar_range,price_sigma_w,UP_SMOOTH,7146,0.7246474311860266,0.12846347607052896,0.0,0.002378953260565351,0.0,3.211586901763224,0.0,3.211586901763224,3.211586901763224,0.059473831514133775,3.211586901763224
5s,bar_range,SE_low_w,UP_SMOOTH,7146,0.7326079973776494,0.12790372236216066,0.0,0.004058214385670305,0.0,3.1975930590540163,0.0,3.1975930590540163,3.1975930590540163,0.10145535964175761,3.1975930590540163
5s,bar_range,vol_sigma_w,FLAT_SMOOTH,9893,0.4912394096790705,0.12756494491054282,0.0,0.0033356919033660165,0.0,3.1891236227635704,0.0,3.1891236227635704,3.1891236227635704,0.08339229758415041,3.1891236227635704
