ts,day,depth,pattern,micro_z,macro_z,gate,gate1_dist,gate3_conv,oracle_label,oracle_dir,oracle_pnl,template_id,tier,pattern_dna,trade_direction,trade_result,trade_pnl,exit_reason,exit_signal_reason,exit_conviction,exit_wave_maturity
1740986100,2025_03,4,STRUCTURAL_DRIVE,2.64,0.0,score_loser,3.593,0.0,SCALP,LONG,202.5,2,3,,,,0.0,,,0.0,0.0
1740986100,2025_03,4,ROCHE_SNAP,2.64,0.0,gate4_probability,7.593,0.482,SCALP,LONG,202.5,2,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1740986100,2025_03,4,STRUCTURAL_DRIVE,2.64,0.0,score_loser,3.593,0.0,SCALP,LONG,202.5,2,3,,,,0.0,,,0.0,0.0
1740986100,2025_03,4,ROCHE_SNAP,2.64,0.0,gate4_probability,7.593,0.483,SCALP,LONG,202.5,2,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1740986100,2025_03,4,STRUCTURAL_DRIVE,2.64,0.0,score_loser,3.593,0.0,SCALP,LONG,202.5,2,3,,,,0.0,,,0.0,0.0
1740986100,2025_03,4,ROCHE_SNAP,2.64,0.0,gate4_probability,7.593,0.498,SCALP,LONG,202.5,2,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1740986100,2025_03,4,STRUCTURAL_DRIVE,2.64,0.0,score_loser,3.593,0.0,SCALP,LONG,202.5,2,3,,,,0.0,,,0.0,0.0
1740986100,2025_03,4,ROCHE_SNAP,2.64,0.0,gate4_probability,7.593,0.497,SCALP,LONG,202.5,2,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1740989700,2025_03,4,STRUCTURAL_DRIVE,2.41,0.0,score_loser,3.506,0.0,MEGA,LONG,382.0,0,3,,,,0.0,,,0.0,0.0
1740989700,2025_03,4,ROCHE_SNAP,2.41,0.0,gate4_probability,7.506,0.504,MEGA,LONG,382.0,0,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1740989700,2025_03,4,STRUCTURAL_DRIVE,2.41,0.0,score_loser,3.506,0.0,MEGA,LONG,382.0,0,3,,,,0.0,,,0.0,0.0
1740989700,2025_03,4,ROCHE_SNAP,2.41,0.0,gate4_probability,7.506,0.515,MEGA,LONG,382.0,0,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1740989700,2025_03,4,STRUCTURAL_DRIVE,2.41,0.0,score_loser,3.506,0.0,MEGA,LONG,382.0,0,3,,,,0.0,,,0.0,0.0
1740989700,2025_03,4,ROCHE_SNAP,2.41,0.0,gate4_probability,7.506,0.502,MEGA,LONG,382.0,0,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1740989700,2025_03,4,STRUCTURAL_DRIVE,2.41,0.0,score_loser,3.506,0.0,MEGA,LONG,382.0,0,3,,,,0.0,,,0.0,0.0
1740989700,2025_03,4,ROCHE_SNAP,2.41,0.0,gate4_probability,7.506,0.5,MEGA,LONG,382.0,0,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1741003200,2025_03,5,ROCHE_SNAP,2.95,2.05,score_loser,2.473,0.0,MEGA,SHORT,58.0,297,3,,,,0.0,,,0.0,0.0
1741003200,2025_03,5,STRUCTURAL_DRIVE,2.95,2.05,score_loser,2.473,0.0,MEGA,SHORT,58.0,297,3,,,,0.0,,,0.0,0.0
1741003200,2025_03,4,ROCHE_SNAP,2.05,0.0,gate4_probability,7.433,0.534,MEGA,SHORT,58.0,0,3,S|1h:1|30m:0|15m:0|5m:0,,,0.0,,,0.0,0.0
1741003200,2025_03,5,ROCHE_SNAP,2.95,2.05,score_loser,2.473,0.0,MEGA,SHORT,58.0,297,3,,,,0.0,,,0.0,0.0
1741003200,2025_03,5,STRUCTURAL_DRIVE,2.95,2.05,score_loser,2.473,0.0,MEGA,SHORT,58.0,297,3,,,,0.0,,,0.0,0.0
1741003200,2025_03,4,ROCHE_SNAP,2.05,0.0,gate4_probability,7.433,0.528,MEGA,SHORT,58.0,0,3,S|1h:1|30m:0|15m:0|5m:0,,,0.0,,,0.0,0.0
1741003200,2025_03,5,ROCHE_SNAP,2.95,2.05,score_loser,2.473,0.0,MEGA,SHORT,58.0,297,3,,,,0.0,,,0.0,0.0
1741003200,2025_03,5,STRUCTURAL_DRIVE,2.95,2.05,score_loser,2.473,0.0,MEGA,SHORT,58.0,297,3,,,,0.0,,,0.0,0.0
1741003200,2025_03,4,ROCHE_SNAP,2.05,0.0,gate4_probability,7.433,0.513,MEGA,SHORT,58.0,0,3,S|1h:1|30m:0|15m:0|5m:0,,,0.0,,,0.0,0.0
1741003200,2025_03,5,ROCHE_SNAP,2.95,2.05,score_loser,2.473,0.0,MEGA,SHORT,58.0,297,3,,,,0.0,,,0.0,0.0
1741003200,2025_03,5,STRUCTURAL_DRIVE,2.95,2.05,score_loser,2.473,0.0,MEGA,SHORT,58.0,297,3,,,,0.0,,,0.0,0.0
1741003200,2025_03,4,ROCHE_SNAP,2.05,0.0,gate4_probability,7.433,0.516,MEGA,SHORT,58.0,0,3,S|1h:1|30m:0|15m:0|5m:0,,,0.0,,,0.0,0.0
1741003500,2025_03,5,STRUCTURAL_DRIVE,2.12,2.05,traded,7.999,0.601,MEGA,SHORT,57.5,366,3,S|1h:1|30m:0|15m:0|5m:0,SHORT,LOSS,-12.0,structural_break,structure_break,0.5918775400372843,0.1360081227524448
