ts,day,depth,pattern,micro_z,macro_z,gate,gate1_dist,gate3_conv,oracle_label,oracle_dir,oracle_pnl,template_id,tier,pattern_dna,trade_direction,trade_result,trade_pnl,exit_reason,exit_signal_reason,exit_conviction,exit_wave_maturity
1756703700,2025_09,4,ROCHE_SNAP,2.12,0.0,gate1,4.57,0.0,NOISE,NONE,133.5,,,,,,0.0,,,0.0,0.0
1756703700,2025_09,4,STRUCTURAL_DRIVE,2.12,0.0,gate1,4.57,0.0,NOISE,NONE,133.5,,,,,,0.0,,,0.0,0.0
1756703700,2025_09,4,ROCHE_SNAP,2.12,0.0,gate1,4.57,0.0,NOISE,NONE,133.5,,,,,,0.0,,,0.0,0.0
1756703700,2025_09,4,STRUCTURAL_DRIVE,2.12,0.0,gate1,4.57,0.0,NOISE,NONE,133.5,,,,,,0.0,,,0.0,0.0
1756703700,2025_09,4,ROCHE_SNAP,2.12,0.0,gate1,4.57,0.0,NOISE,NONE,133.5,,,,,,0.0,,,0.0,0.0
1756703700,2025_09,4,STRUCTURAL_DRIVE,2.12,0.0,gate1,4.57,0.0,NOISE,NONE,133.5,,,,,,0.0,,,0.0,0.0
1756703700,2025_09,4,ROCHE_SNAP,2.12,0.0,gate1,4.57,0.0,NOISE,NONE,133.5,,,,,,0.0,,,0.0,0.0
1756703700,2025_09,4,STRUCTURAL_DRIVE,2.12,0.0,gate1,4.57,0.0,NOISE,NONE,133.5,,,,,,0.0,,,0.0,0.0
1756704600,2025_09,4,ROCHE_SNAP,2.42,0.0,gate1,4.82,0.0,SCALP,SHORT,109.5,,,,,,0.0,,,0.0,0.0
1756704600,2025_09,4,STRUCTURAL_DRIVE,2.42,0.0,gate1,4.82,0.0,SCALP,SHORT,109.5,,,,,,0.0,,,0.0,0.0
1756704600,2025_09,4,ROCHE_SNAP,2.42,0.0,gate1,4.82,0.0,SCALP,SHORT,109.5,,,,,,0.0,,,0.0,0.0
1756704600,2025_09,4,STRUCTURAL_DRIVE,2.42,0.0,gate1,4.82,0.0,SCALP,SHORT,109.5,,,,,,0.0,,,0.0,0.0
1756704600,2025_09,4,ROCHE_SNAP,2.42,0.0,gate1,4.82,0.0,SCALP,SHORT,109.5,,,,,,0.0,,,0.0,0.0
1756704600,2025_09,4,STRUCTURAL_DRIVE,2.42,0.0,gate1,4.82,0.0,SCALP,SHORT,109.5,,,,,,0.0,,,0.0,0.0
1756704600,2025_09,4,ROCHE_SNAP,2.42,0.0,gate1,4.82,0.0,SCALP,SHORT,109.5,,,,,,0.0,,,0.0,0.0
1756704600,2025_09,4,STRUCTURAL_DRIVE,2.42,0.0,gate1,4.82,0.0,SCALP,SHORT,109.5,,,,,,0.0,,,0.0,0.0
1756708200,2025_09,4,STRUCTURAL_DRIVE,2.61,0.0,score_loser,4.325,0.0,SCALP,LONG,87.5,0,3,,,,0.0,,,0.0,0.0
1756708200,2025_09,4,ROCHE_SNAP,2.61,0.0,gate4_probability,8.325,0.555,SCALP,LONG,87.5,0,3,S|1h:1|30m:0|15m:0,,,0.0,,,0.0,0.0
