ts,price,bars_held,pnl_ticks,hwm_ticks,net_force,envelope_tol,t_half_eff,stop_level,trail_ticks,conviction,direction,wave_maturity,decay_score,z_score,velocity,exit_reason,exit_price
1773019167.004677,24099.5,0,0.0,0.0,-79.6287,15.0,40,24104.5,60.0,0.0,,0.0,0,-0.06,-5.25,,
1773019168.102587,24098.25,0,5.0,5.0,-79.6287,15.0,40,24104.5,60.0,0.0,,0.0,0,-0.06,-5.25,,
1773019169.126446,24098.75,0,3.0,5.0,-79.6287,15.0,40,24104.5,60.0,0.0,,0.0,0,-0.06,-5.25,,
1773019170.1348367,24099.75,0,-1.0,5.0,-79.6287,15.0,40,24104.5,60.0,0.0,,0.0,0,-0.06,-5.25,,
1773019171.1892707,24102.0,2,-10.0,11.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019172.211811,24100.0,2,-2.0,11.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019173.2457967,24097.5,2,8.0,11.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019174.2908947,24096.0,2,14.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019175.3267019,24097.25,2,9.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019176.3582733,24101.0,2,-6.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019177.398031,24101.0,2,-6.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019178.460754,24099.5,2,0.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019179.5038195,24099.5,2,0.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019180.5449216,24098.75,2,3.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019181.56275,24099.0,2,2.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019182.6234314,24098.25,2,5.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019183.6739733,24099.25,2,1.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019184.7545385,24098.25,2,5.0,14.0,24.4841,15.0,40,24104.5,60.0,0.0,,0.0,0,1.153,1.25,,
1773019185.7810366,24100.0,4,-2.0,14.0,56.9852,15.0,40,24104.5,60.0,0.0,,0.0,0,0.943,4.0,,
1773019186.884732,24094.0,4,22.0,25.0,56.9852,15.0,40,24104.5,60.0,0.0,,0.0,0,0.943,4.0,,
1773019187.9593258,24094.0,4,22.0,25.0,56.9852,15.0,40,24104.5,60.0,0.0,,0.0,0,0.943,4.0,,
1773019189.049866,24096.75,4,11.0,25.0,56.9852,15.0,40,24104.5,60.0,0.0,,0.0,0,0.943,4.0,,
1773019190.128001,24097.25,4,9.0,25.0,56.9852,15.0,40,24104.5,60.0,0.0,,0.0,0,0.943,4.0,,
1773019191.172118,24097.75,4,7.0,25.0,56.9852,15.0,40,24104.5,60.0,0.0,,0.0,0,0.943,4.0,peak_giveback,24097.75
