ts,price,bars_held,pnl_ticks,hwm_ticks,F_net,envelope_tol,t_half_eff,stop_level,trail_ticks,conviction,direction,wave_maturity,decay_score,z_score,velocity,exit_reason,exit_price
1772772690.8227584,25128.75,1,0.0,0.0,-615.3962,24.89,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772691.8530989,25128.75,2,0.0,0.0,-615.3962,22.19,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772692.9473257,25128.75,3,0.0,0.0,-615.3962,19.83,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772694.017231,25128.75,4,0.0,0.0,-615.3962,17.78,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772695.1163945,25128.75,5,0.0,0.0,-615.3962,16.0,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772690.0,25129.5,6,3.0,3.0,-615.3962,14.45,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772696.212867,25129.5,7,3.0,3.0,-615.3962,13.09,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772697.2167268,25129.5,8,3.0,3.0,-615.3962,11.92,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772698.297602,25129.5,9,3.0,3.0,-615.3962,10.89,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772699.3077235,25129.5,10,3.0,3.0,-615.3962,10.0,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772700.376992,25129.5,11,3.0,3.0,-615.3962,9.22,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772695.0,25129.0,12,1.0,3.0,-615.3962,8.55,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772701.400129,25129.0,13,1.0,3.0,-615.3962,7.96,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772702.4941216,25129.0,14,1.0,3.0,-615.3962,7.45,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772703.556838,25129.0,15,1.0,3.0,-615.3962,7.0,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772704.564748,25129.0,16,1.0,3.0,-615.3962,6.61,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772700.0,25128.5,17,-1.0,3.0,-615.3962,6.27,5.0,25122.75,20,0.461,,0.368,0,-2.641,-5.0,,
1772772690.0,25129.5,18,3.0,3.0,79.4176,16.86,20.0,25122.75,20,0.461,,0.368,0,-1.695,0.75,,
1772772705.5695796,25129.5,19,3.0,3.0,79.4176,16.42,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772706.588904,25129.5,20,3.0,3.0,79.4176,16.0,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772707.655551,25129.5,21,3.0,3.0,79.4176,15.59,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772708.7235146,25129.5,22,3.0,3.0,79.4176,15.2,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772709.7636013,25129.5,23,3.0,3.0,79.4176,14.82,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772705.0,25128.25,24,-2.0,3.0,79.4176,14.45,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772710.7841275,25128.25,25,-2.0,3.0,79.4176,14.09,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772711.8597078,25128.25,26,-2.0,3.0,79.4176,13.75,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772712.894901,25128.25,27,-2.0,3.0,79.4176,13.42,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772713.987219,25128.25,28,-2.0,3.0,79.4176,13.09,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772715.0240095,25128.25,29,-2.0,3.0,79.4176,12.78,20.0,25122.75,20,0.514,,0.385,0,-1.695,0.75,,
1772772710.0,25130.5,30,7.0,7.0,79.4176,12.49,20.0,25125.5,20,0.514,,0.385,0,-1.695,0.75,,
1772772716.0580924,25130.5,31,7.0,7.0,79.4176,12.2,20.0,25125.5,20,0.514,,0.385,0,-1.695,0.75,,
