ts,price,bars_held,pnl_ticks,hwm_ticks,F_net,envelope_tol,t_half_eff,stop_level,trail_ticks,conviction,direction,wave_maturity,decay_score,z_score,velocity,exit_reason,exit_price
1772802260.463093,24834.5,1,0.0,0.0,-2147.1698,114.14,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802261.5077808,24834.5,2,0.0,0.0,-2147.1698,112.32,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802262.582504,24834.5,3,0.0,0.0,-2147.1698,110.53,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802263.5862386,24834.5,4,0.0,0.0,-2147.1698,108.77,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802264.6235301,24834.5,5,0.0,0.0,-2147.1698,107.04,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802260.0,24836.0,6,-6.0,0.0,-2147.1698,105.34,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802265.6258683,24836.0,7,-6.0,0.0,-2147.1698,103.66,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802266.7131593,24836.0,8,-6.0,0.0,-2147.1698,102.02,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802267.8070943,24836.0,9,-6.0,0.0,-2147.1698,100.4,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802268.9023523,24836.0,10,-6.0,0.0,-2147.1698,98.82,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802269.970287,24836.0,11,-6.0,0.0,-2147.1698,97.26,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802265.0,24838.5,12,-16.0,0.0,-2147.1698,95.72,40.0,24861.5,36,0.619,,0.34,0,-2.175,-10.5,,
1772802255.0,24834.5,13,0.0,0.0,22.778,51.86,10.0,24861.5,36,0.619,,0.34,0,-1.634,0.0,,
1772802271.0015135,24834.5,14,0.0,0.0,22.778,48.92,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802272.0038607,24834.5,15,0.0,0.0,22.778,46.18,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802273.0516179,24834.5,16,0.0,0.0,22.778,43.63,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802274.1256979,24834.5,17,0.0,0.0,22.778,41.24,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802275.1343875,24834.5,18,0.0,0.0,22.778,39.01,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802270.0,24837.25,19,-11.0,0.0,22.778,36.94,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802276.1552732,24837.25,20,-11.0,0.0,22.778,35.0,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802277.2137835,24837.25,21,-11.0,0.0,22.778,33.19,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802278.3038294,24837.25,22,-11.0,0.0,22.778,31.5,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802279.3320706,24837.25,23,-11.0,0.0,22.778,29.93,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802275.0,24838.25,24,-15.0,0.0,22.778,28.46,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802280.3327525,24838.25,25,-15.0,0.0,22.778,27.09,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802281.333947,24838.25,26,-15.0,0.0,22.778,25.81,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802282.3763943,24838.25,27,-15.0,0.0,22.778,24.62,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802283.4370542,24838.25,28,-15.0,0.0,22.778,23.51,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
1772802284.486271,24838.25,29,-15.0,0.0,22.778,22.47,10.0,24861.5,36,0.748,,0.387,0,-1.634,0.0,,
