timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1776140445,25590.75,3.5935,0.8818,14.00,0,,,0,0.0,0.0,0,
1776140450,25592.00,3.5935,0.8818,14.00,0,,,0,0.0,0.0,0,
1776140455,25590.25,3.5935,0.8818,14.00,0,,,0,0.0,0.0,0,
1776140400,25589.75,3.5935,0.8818,14.00,1,short,FADE_CALM,0,0.0,0.0,1,ENTRY_FADE_CALM
1776140460,25590.00,3.5935,0.9436,14.00,1,short,FADE_CALM,1,0.5,0.5,1,
1776140470,25590.50,3.5935,0.9436,14.00,1,short,FADE_CALM,1,-0.5,0.5,1,
1776140475,25590.75,3.5935,0.9436,14.00,1,short,FADE_CALM,1,-1.0,0.5,1,
1776140480,25590.75,3.5935,0.9436,14.00,1,short,FADE_CALM,1,-1.0,0.5,1,
1776140485,25591.00,3.5935,0.9436,14.00,1,short,FADE_CALM,1,-1.5,0.5,1,
1776140490,25590.50,3.5935,0.9436,14.00,1,short,FADE_CALM,1,-0.5,0.5,1,
1776140495,25590.50,3.5935,0.9436,14.00,1,short,FADE_CALM,1,-0.5,0.5,1,
1776140500,25590.50,3.5935,0.9436,14.00,1,short,FADE_CALM,1,-0.5,0.5,1,
1776140510,25590.00,3.5935,0.9436,14.00,1,short,FADE_CALM,1,0.5,0.5,1,
1776140515,25589.25,3.5935,0.9436,14.00,1,short,FADE_CALM,1,2.0,2.0,1,
1776140460,25590.00,3.5935,0.9436,14.00,1,short,FADE_CALM,1,0.5,2.0,1,
1776140520,25589.75,3.5935,0.9256,14.00,1,short,FADE_CALM,2,1.0,2.0,1,
1776140525,25590.75,3.5935,0.9256,14.00,1,short,FADE_CALM,2,-1.0,2.0,1,
1776140530,25590.50,3.5935,0.9256,14.00,1,short,FADE_CALM,2,-0.5,2.0,1,
1776140535,25591.25,3.5935,0.9256,14.00,1,short,FADE_CALM,2,-2.0,2.0,1,
1776140540,25591.25,3.5935,0.9256,14.00,1,short,FADE_CALM,2,-2.0,2.0,1,
1776140545,25591.00,3.5935,0.9256,14.00,1,short,FADE_CALM,2,-1.5,2.0,1,
1776140550,25590.75,3.5935,0.9256,14.00,1,short,FADE_CALM,2,-1.0,2.0,1,
1776140555,25590.75,3.5935,0.9256,14.00,1,short,FADE_CALM,2,-1.0,2.0,1,
1776140560,25592.00,3.5935,0.9256,14.00,1,short,FADE_CALM,2,-3.5,2.0,1,
1776140565,25591.75,3.5935,0.9256,14.00,1,short,FADE_CALM,2,-3.0,2.0,1,
