idx,action,side,price,pnl
0,skip,,25112.0,0
7,skip,,25114.5,0
14,skip,,25105.5,0
19,skip,,25106.75,0
21,skip,,25099.5,0
23,skip,,25103.25,0
32,skip,,25109.75,0
32,skip,,25098.25,0
41,skip,,25095.0,0
43,skip,,25084.0,0
45,skip,,25037.5,0
50,skip,,24959.0,0
55,skip,,24907.75,0
58,skip,,24952.25,0
60,skip,,24945.25,0
61,entry,long,24951.25,0
61,exit,long,24963.5,24.5
65,skip,,24930.75,0
68,skip,,24939.5,0
76,skip,,24891.0,0
84,skip,,24868.25,0
90,skip,,24828.25,0
92,skip,,24845.0,0
119,skip,,24766.25,0
129,skip,,24852.75,0
141,entry,short,24857.75,0
141,exit,short,24849.5,16.5
143,entry,short,24815.5,0
143,exit,short,24839.75,-48.5
145,skip,,24808.75,0
147,entry,short,24798.0,0
148,exit,short,24770.0,56.0
150,entry,short,24807.5,0
150,exit,short,24804.0,7.0
150,entry,short,24804.0,0
150,exit,short,24804.0,0.0
162,skip,,24812.75,0
172,skip,,24821.75,0
178,skip,,24751.75,0
