idx,price
0,25125.0
1,25116.25
2,25123.75
3,25125.75
4,25132.75
5,25127.5
6,25110.0
7,25121.0
8,25118.5
9,25129.0
10,25129.0
11,25124.0
12,25119.5
13,25119.75
14,25112.75
15,25105.25
16,25109.0
17,25116.25
18,25106.5
19,25108.5
20,25113.75
21,25114.25
22,25100.5
23,25101.5
24,25103.75
25,25125.0
26,25130.5
27,25132.25
28,25128.5
29,25133.5
30,25122.0
31,25120.25
32,25126.25
33,25111.0
34,25094.25
35,25093.5
36,25102.75
37,25078.5
38,25039.0
39,25063.75
40,25083.25
41,25086.5
42,25089.5
43,25096.25
44,25080.25
45,25049.5
46,25014.25
47,25024.25
48,24994.5
49,24989.5
50,24959.25
51,24937.5
52,24914.75
53,24928.75
54,24904.25
55,24920.25
56,24929.25
57,24948.25
58,24961.5
59,24945.0
60,24956.0
61,24959.5
62,24963.75
63,24946.5
64,24948.0
65,24940.5
66,24938.75
67,24954.25
68,24949.25
69,24914.5
70,24911.25
71,24934.5
72,24934.5
73,24955.25
74,24946.25
75,24919.0
76,24908.25
77,24884.5
78,24890.0
79,24866.25
80,24866.25
81,24856.75
82,24851.5
83,24876.75
84,24869.25
85,24862.0
86,24856.75
87,24836.25
88,24832.0
89,24851.25
90,24818.5
91,24819.25
92,24832.75
93,24827.5
94,24855.75
95,24841.25
96,24842.0
97,24850.25
98,24786.5
99,24845.0
100,24767.0
101,24717.5
102,24702.5
103,24641.75
104,24649.25
105,24640.25
106,24617.5
107,24627.5
108,24622.0
109,24644.0
110,24692.75
111,24671.25
112,24689.0
113,24684.75
114,24684.25
115,24685.5
116,24744.5
117,24749.0
118,24683.0
119,24788.0
120,24794.25
121,24808.75
122,24833.5
123,24846.5
124,24863.75
125,24846.0
126,24781.25
127,24822.0
128,24863.0
129,24891.5
130,24845.75
131,24826.5
132,24854.75
133,24835.0
134,24837.25
135,24814.0
136,24848.25
137,24860.75
138,24893.5
139,24855.0
140,24868.5
141,24882.0
142,24848.75
143,24831.5
144,24849.75
145,24836.75
146,24813.5
147,24812.0
148,24781.0
149,24773.0
150,24807.0
151,24799.5
152,24785.0
153,24801.25
154,24821.0
155,24885.0
156,24882.75
157,24858.75
158,24837.5
159,24834.25
160,24833.5
161,24846.0
162,24842.0
163,24795.5
164,24802.25
165,24793.5
166,24828.75
167,24839.5
168,24824.0
169,24792.75
170,24821.25
171,24831.75
172,24809.25
173,24799.75
174,24794.25
175,24805.25
176,24813.25
177,24844.75
178,24804.25
179,24739.25
180,24742.25
181,24685.75
182,24647.75
183,24625.5
184,24636.0
185,24684.0
186,24663.0
187,24656.0
188,24672.5
189,24640.75
190,24633.0
191,24655.75
192,24649.25
193,24644.5
194,24632.0
195,24643.5
196,24660.25
197,24665.5
198,24677.25
199,24674.75
