p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width,mean_dist
-111.95,-38.6875,0.75,48.8125,88.65000000000003,LONG,LONG,10.75,0.5,87.5,18.487972349130967
-116.725,-62.875,-9.375,42.125,93.4,SHORT,LONG,2.75,0.52,105.0,17.992367957925154
-120.14999999999998,-46.625,-2.75,43.3125,115.50000000000003,SHORT,SHORT,-13.0,0.52,89.9375,14.41689113104078
-138.8,-58.75,-0.625,74.5,169.475,SHORT,SHORT,-35.0,0.5,133.25,16.81671759995633
-84.6,-29.625,6.75,47.75,103.35000000000002,LONG,SHORT,-63.0,0.52,77.375,16.650987975623103
-90.27499999999999,-38.3125,3.25,27.4375,40.12500000000001,LONG,SHORT,-26.0,0.54,65.75,17.376962057346326
-72.55,-39.25,-6.875,36.375,81.92500000000001,SHORT,SHORT,-34.5,0.54,75.625,13.922455729228732
-71.05,-30.0,14.5,43.5,75.50000000000001,LONG,SHORT,-17.0,0.56,73.5,15.350651365217248
-88.05,-56.4375,-14.625,30.125,57.27500000000002,SHORT,LONG,13.5,0.56,86.5625,14.819552056193546
-86.4,-43.6875,8.375,41.9375,68.05000000000001,LONG,LONG,51.25,0.54,85.625,14.810502918272032
-148.6,-41.875,16.375,53.125,158.975,LONG,LONG,117.0,0.58,95.0,12.974016125748719
-82.8,-47.8125,-24.75,25.25,56.65000000000003,SHORT,LONG,108.0,0.5800000000000001,73.0625,13.261864167096865
-76.875,-39.5625,-2.25,46.5625,83.15000000000006,SHORT,LONG,96.0,0.52,86.125,12.834357146341613
-88.02499999999999,-40.3125,-0.5,48.1875,106.72500000000005,SHORT,LONG,78.5,0.52,88.5,13.205603671237718
-125.3,-51.8125,-6.5,49.6875,126.97500000000001,SHORT,LONG,86.5,0.5,101.5,12.698326578115811
-104.1,-53.5,-9.375,30.9375,102.90000000000005,SHORT,LONG,169.5,0.54,84.4375,14.7716914325323
-175.95,-58.4375,22.375,62.5,97.325,LONG,LONG,136.5,0.6,120.9375,16.554513570740795
-256.425,-69.5,-9.875,63.0,119.4,SHORT,LONG,125.5,0.54,132.5,18.0923272411584
-121.45,-78.9375,7.625,62.25,107.97500000000001,LONG,LONG,209.75,0.5,141.1875,16.897721933513054
-96.975,-56.0625,2.625,46.25,135.60000000000008,LONG,LONG,195.75,0.52,102.3125,17.708870252769042
-110.275,-54.25,2.375,43.125,66.62500000000001,LONG,LONG,201.5,0.54,97.375,17.012402730705546
-106.475,-36.125,11.0,55.0625,127.85000000000001,LONG,LONG,206.0,0.54,91.1875,18.4388816392466
-120.325,-72.75,-12.875,34.3125,79.12500000000001,SHORT,LONG,198.75,0.5800000000000001,107.0625,16.60901419785439
-111.925,-50.875,-1.625,33.0625,101.75000000000004,SHORT,LONG,190.25,0.52,83.9375,18.853712695236794
-102.475,-55.5625,2.375,40.0625,103.2,LONG,LONG,137.25,0.52,95.625,16.558079496778372
-115.02499999999999,-45.0625,4.625,43.25,94.95000000000002,LONG,LONG,115.0,0.52,88.3125,19.2209244335631
-89.02499999999999,-39.5,14.25,55.875,127.70000000000002,LONG,LONG,48.25,0.52,95.375,16.08901898683208
-228.7,-85.625,3.125,97.3125,170.425,LONG,LONG,36.75,0.52,182.9375,23.5478315880122
-202.72499999999997,-67.0625,33.5,95.875,189.42500000000004,LONG,LONG,76.75,0.66,162.9375,22.178142858460372
-183.125,-55.125,21.875,70.875,164.90000000000003,LONG,LONG,100.0,0.58,126.0,22.47594453084849
-94.64999999999999,-35.125,3.75,43.9375,115.025,LONG,LONG,76.5,0.54,79.0625,14.96293249919922
-177.875,-66.0,5.25,33.75,87.07500000000005,LONG,LONG,75.0,0.54,99.75,16.241805408581776
-105.225,-69.8125,-2.125,46.6875,68.575,SHORT,LONG,76.5,0.5,116.5,14.921341525206804
-68.175,-24.1875,23.375,47.0,98.07500000000002,LONG,LONG,68.75,0.62,71.1875,15.618720506554908
-86.25,-47.875,12.75,53.625,92.125,LONG,LONG,46.25,0.56,101.5,13.146540621937724
-147.35,-52.8125,-4.5,48.6875,68.10000000000002,SHORT,LONG,91.25,0.54,101.5,22.34643921507102
-120.85,-70.6875,-3.625,68.5625,146.07500000000002,SHORT,LONG,99.75,0.52,139.25,21.962130227466506
-117.62499999999999,-57.5,-10.375,66.0625,101.00000000000001,SHORT,LONG,100.0,0.52,123.5625,22.756259336373276
-100.37499999999997,-28.8125,5.875,39.9375,95.12500000000001,LONG,LONG,112.25,0.56,68.75,14.135498341700035
-121.69999999999996,-41.8125,14.125,65.625,135.075,LONG,LONG,93.0,0.54,107.4375,15.712896314200231
-104.74999999999999,-27.5625,-5.75,43.875,81.80000000000001,SHORT,LONG,103.5,0.54,71.4375,15.035672798917414
-102.075,-41.875,10.75,51.875,72.02500000000003,LONG,LONG,87.25,0.6,93.75,15.165887179078853
-198.975,-71.5625,-17.0,28.9375,45.95,SHORT,LONG,61.5,0.56,100.5,13.745047983826137
-125.62499999999999,-63.0,-9.25,40.3125,77.57500000000002,SHORT,LONG,91.25,0.52,103.3125,16.291298744067873
-152.39999999999998,-87.125,-31.25,19.1875,46.675000000000026,SHORT,LONG,107.75,0.64,106.3125,15.99326858434865
-76.575,-36.625,7.625,52.25,101.55000000000004,LONG,LONG,119.5,0.58,88.875,16.420428189164376
-86.425,-38.0,4.125,40.3125,65.75000000000001,LONG,LONG,98.25,0.54,78.3125,14.130353751116258
-110.9,-45.5625,-3.5,26.625,55.575,SHORT,LONG,73.75,0.54,72.1875,15.828921744906106
-163.65,-71.6875,-9.625,27.0,49.175000000000004,SHORT,LONG,84.25,0.5800000000000001,98.6875,15.26732334214658
-87.27499999999999,-32.3125,8.375,41.25,82.42500000000001,LONG,LONG,54.5,0.56,73.5625,16.138212080170202
-80.2,-43.5,0.25,32.375,99.72500000000001,LONG,LONG,60.25,0.5,75.875,13.964358848048661
-65.475,-33.1875,4.625,46.375,93.92500000000004,LONG,LONG,1.5,0.52,79.5625,18.471763695322714
-74.15,-35.6875,-3.875,36.25,58.900000000000006,SHORT,SHORT,-5.0,0.56,71.9375,18.479838925365506
-117.3,-50.5,-8.75,40.0,61.00000000000002,SHORT,LONG,6.5,0.56,90.5,20.416071193759656
-174.6,-68.375,-0.375,41.25,105.9,SHORT,SHORT,-16.5,0.5,109.625,16.4526548005043
-84.75,-14.75,8.375,46.375,100.30000000000001,LONG,SHORT,-13.5,0.54,61.125,17.886173889428818
-90.5,-35.625,-13.25,39.625,96.60000000000002,SHORT,SHORT,-21.5,0.56,75.25,16.901054556247104
-70.95,-48.0,-0.75,39.375,66.22500000000004,SHORT,SHORT,-31.0,0.5,87.375,16.851446575340777
-66.625,-18.0625,5.875,33.3125,77.57500000000002,LONG,SHORT,-53.5,0.58,51.375,14.244896531355698
-62.724999999999994,-29.75,13.375,32.1875,47.12500000000001,LONG,SHORT,-76.5,0.56,61.9375,13.499962503029787
-113.92499999999998,-40.9375,-1.5,48.8125,75.40000000000002,SHORT,SHORT,-79.25,0.52,89.75,14.450827613377523
-80.85,-32.1875,21.75,49.0625,91.85000000000002,LONG,SHORT,-71.5,0.6,81.25,15.642242385991805
-64.975,-21.6875,17.375,51.625,118.42500000000001,LONG,SHORT,-57.0,0.62,73.3125,14.97504997462674
-69.6,-31.5,-3.625,28.6875,70.075,SHORT,SHORT,-56.0,0.56,60.1875,58.15295943783806
-66.02499999999998,-36.6875,5.625,33.5625,93.12500000000003,LONG,SHORT,-54.5,0.56,70.25,57.85172233507197
-56.65,-33.4375,7.875,33.875,50.7,LONG,SHORT,-49.5,0.58,67.3125,58.126378048205744
-114.57499999999999,-39.25,18.25,55.1875,149.27500000000003,LONG,SHORT,-8.75,0.58,94.4375,14.98167961299346
-137.225,-68.375,-7.875,44.75,84.05000000000003,SHORT,SHORT,-19.0,0.56,113.125,16.278316377775628
-124.19999999999999,-38.625,-7.5,78.125,129.82500000000002,SHORT,LONG,12.75,0.52,116.75,16.83080644047288
-89.6,-43.0625,23.125,81.3125,137.05000000000004,LONG,LONG,8.75,0.58,124.375,18.042070129065063
-71.925,-33.25,10.0,56.75,119.825,LONG,LONG,17.75,0.62,90.0,16.574944064450378
-127.77499999999999,-56.5,-3.75,32.0,72.325,SHORT,LONG,12.75,0.56,88.5,16.368658818177522
-110.9,-31.625,0.125,58.625,135.975,LONG,LONG,31.75,0.5,90.25,14.202718826267487
-123.1,-28.9375,6.875,47.0,160.525,LONG,LONG,57.75,0.54,75.9375,14.472549114158744
-138.42499999999998,-67.25,-14.875,54.625,168.57500000000002,SHORT,LONG,43.75,0.5800000000000001,121.875,12.799374020228024
-128.29999999999998,-52.3125,-7.375,35.25,68.9,SHORT,LONG,41.25,0.54,87.5625,15.636645241739085
-171.725,-111.0625,-26.0,30.4375,42.050000000000004,SHORT,LONG,28.75,0.62,141.5,15.588433096231197
-173.14999999999998,-48.0,-9.25,26.0625,100.22500000000001,SHORT,LONG,37.25,0.5800000000000001,74.0625,16.308550285150446
-142.02499999999998,-60.0625,-12.75,34.25,184.87500000000006,SHORT,LONG,30.25,0.5800000000000001,94.3125,14.057942740528024
-139.54999999999998,-69.5,-21.375,19.875,114.40000000000008,SHORT,LONG,8.0,0.62,89.375,17.61184191807732
-67.075,-22.1875,11.375,44.4375,134.825,LONG,SHORT,-4.5,0.6,66.625,16.766249174937432
-166.35,-27.4375,-4.75,68.875,104.20000000000003,SHORT,SHORT,-18.5,0.52,96.3125,17.571257945619035
-149.55,-41.9375,23.125,56.25,95.22500000000004,LONG,SHORT,-32.0,0.6,98.1875,13.973376649530802
-125.69999999999999,-28.75,16.125,50.0625,110.22500000000001,LONG,SHORT,-53.0,0.6,78.8125,14.807425040884612
-140.875,-35.9375,17.375,52.3125,106.22500000000001,LONG,SHORT,-44.0,0.62,88.25,13.732145543372091
-95.175,-42.0625,-9.375,17.25,56.95000000000003,SHORT,SHORT,-48.5,0.6,59.3125,14.81327176603908
-185.625,-52.3125,-16.125,42.75,93.42500000000004,SHORT,SHORT,-69.0,0.56,95.0625,15.69985180915155
-122.25,-67.5625,-9.25,41.6875,107.075,SHORT,SHORT,-43.25,0.5800000000000001,109.25,17.36723147050017
-158.725,-75.0,-9.375,33.375,92.45,SHORT,SHORT,-55.5,0.6,108.375,16.920778968928584
-110.27499999999999,-26.625,10.625,53.5,90.95000000000006,LONG,SHORT,-31.0,0.64,80.125,15.430367444013722
-93.6,-52.0,8.125,58.0,155.15,LONG,SHORT,-49.0,0.58,110.0,14.222462168846624
