p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width
-83.45,-14.5,26.5,88.0,125.2,LONG,SHORT,-35.25,0.6444444444444445,102.5
-205.95,-85.75,30.25,77.25,102.30000000000001,LONG,SHORT,-29.25,0.5777777777777777,163.0
-205.95,-86.25,18.0,88.0,125.2,LONG,SHORT,-22.75,0.5111111111111111,174.25
-205.95,-41.75,26.5,77.25,105.95,LONG,SHORT,-44.25,0.5777777777777777,119.0
-139.9,-74.75,-0.25,44.5,80.10000000000001,SHORT,SHORT,-45.25,0.5111111111111111,119.25
-192.25,-86.25,-0.25,50.0,97.25,SHORT,SHORT,-5.25,0.5111111111111111,136.25
-171.6,-59.0,20.0,79.75,109.75,LONG,LONG,3.75,0.5555555555555556,138.75
-189.55,-16.5,30.25,79.75,102.30000000000001,LONG,LONG,17.75,0.6222222222222222,96.25
-137.75,-45.25,41.0,97.25,116.7,LONG,LONG,32.75,0.6,142.5
-148.3,-41.75,21.0,77.25,109.65,LONG,LONG,23.75,0.5555555555555556,119.0
-147.5,-41.75,21.0,86.5,109.75,LONG,LONG,19.25,0.5777777777777777,128.25
-202.45,-45.75,6.25,75.0,99.25,LONG,LONG,18.75,0.5111111111111111,120.75
-213.65,-81.75,21.0,75.0,102.30000000000001,LONG,LONG,34.25,0.5333333333333333,156.75
-189.55,-41.75,30.5,82.0,109.65,LONG,LONG,40.0,0.6444444444444445,123.75
-130.7,-60.75,7.5,65.25,107.4,LONG,LONG,54.5,0.5555555555555556,126.0
-189.55,-41.75,25.5,86.5,114.25,LONG,LONG,40.0,0.6,128.25
-56.25,-25.0,20.0,65.25,112.15,LONG,LONG,54.5,0.6888888888888889,90.25
-121.99999999999997,-33.5,30.25,77.25,105.95,LONG,LONG,27.0,0.6,110.75
-189.55,-45.75,30.25,75.0,98.75,LONG,LONG,3.5,0.6444444444444445,120.75
-72.45,-4.5,33.5,86.5,109.65,LONG,LONG,0.5,0.7333333333333333,91.0
-113.39999999999999,-13.0,37.5,75.0,130.50000000000003,LONG,SHORT,-36.0,0.6888888888888889,88.0
-104.85,-30.5,6.25,41.0,70.90000000000002,LONG,SHORT,-113.25,0.5333333333333333,71.5
