p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width
-107.59999999999998,-26.4375,17.25,36.9375,49.075,LONG,LONG,27.75,0.64,63.375
-72.94999999999999,-23.375,25.75,64.875,129.32500000000002,LONG,LONG,10.75,0.68,88.25
-84.52499999999999,-46.3125,19.25,46.25,104.875,LONG,LONG,2.75,0.58,92.5625
-77.225,-23.375,20.625,43.625,82.22500000000002,LONG,SHORT,-13.0,0.66,67.0
-55.89999999999999,-29.5,20.25,46.25,98.85000000000001,LONG,SHORT,-35.0,0.64,75.75
-64.35,-30.0,-0.75,26.875,55.225000000000016,SHORT,SHORT,-63.0,0.5,56.875
-82.89999999999999,-23.75,14.125,43.1875,67.5,LONG,SHORT,-26.0,0.64,66.9375
-63.64999999999999,-36.25,3.625,37.8125,77.47500000000002,LONG,SHORT,-34.5,0.56,74.0625
-59.575,-21.75,18.0,35.875,79.2,LONG,SHORT,-17.0,0.66,57.625
-59.974999999999994,-33.0,9.75,35.25,52.87500000000004,LONG,LONG,13.5,0.56,68.25
-54.65,-17.25,20.625,33.5625,48.85,LONG,LONG,51.25,0.64,50.8125
-58.375,-29.125,13.25,32.0625,47.275000000000006,LONG,LONG,117.0,0.58,61.1875
-88.475,-45.3125,9.125,35.5625,79.025,LONG,LONG,108.0,0.56,80.875
-79.25,-48.0,3.75,27.0,50.37500000000001,LONG,LONG,96.0,0.5,75.0
-58.375,-35.8125,3.0,31.375,47.275000000000006,LONG,LONG,78.5,0.54,67.1875
-54.575,-41.0,-5.25,26.0625,101.15,SHORT,LONG,86.5,0.52,67.0625
-133.025,-67.5,-22.625,21.6875,62.0,SHORT,LONG,169.5,0.6,89.1875
-81.1,-41.1875,9.875,43.9375,78.77500000000003,LONG,LONG,136.5,0.56,85.125
-65.69999999999999,-40.6875,5.25,30.875,81.025,LONG,LONG,125.5,0.52,71.5625
-112.34999999999998,-25.0625,15.625,45.5625,82.5,LONG,LONG,209.75,0.6,70.625
-87.0,-52.5,1.875,27.3125,49.37500000000002,LONG,LONG,195.75,0.5,79.8125
-87.475,-41.6875,7.125,28.625,76.5,LONG,LONG,201.5,0.54,70.3125
-42.0,-24.0,7.375,30.25,67.95000000000002,LONG,LONG,206.0,0.56,54.25
-160.6,-36.375,13.25,40.75,75.025,LONG,LONG,198.75,0.58,77.125
-128.7,-68.3125,-7.375,27.625,66.42500000000003,SHORT,LONG,190.25,0.52,95.9375
-122.22499999999998,-66.625,21.25,87.0,138.05,LONG,LONG,137.25,0.58,153.625
-155.875,-48.125,16.25,66.0,96.77500000000002,LONG,LONG,115.0,0.6,114.125
-150.1,-67.5625,9.75,85.375,115.80000000000001,LONG,LONG,48.25,0.56,152.9375
-85.64999999999999,-35.875,16.625,53.3125,97.675,LONG,LONG,36.75,0.58,89.1875
-169.35,-51.3125,25.0,55.1875,97.675,LONG,LONG,76.75,0.56,106.5
-211.925,-44.8125,21.125,69.875,101.10000000000001,LONG,LONG,100.0,0.56,114.6875
-167.25,-53.9375,12.625,71.3125,107.0,LONG,LONG,76.5,0.6,125.25
-167.25,-38.5625,22.625,84.375,114.85,LONG,LONG,75.0,0.6,122.9375
-194.325,-38.0625,13.875,48.0,92.95000000000002,LONG,LONG,76.5,0.56,86.0625
-143.54999999999998,-28.4375,37.125,90.4375,109.35000000000001,LONG,LONG,68.75,0.64,118.875
-29.574999999999996,-2.6875,22.0,51.875,80.77500000000002,LONG,LONG,46.25,0.72,54.5625
-80.125,-3.875,18.5,66.0,85.72500000000001,LONG,LONG,91.25,0.68,69.875
-98.75,-17.375,28.875,60.9375,80.9,LONG,LONG,99.75,0.62,78.3125
-98.75,-18.0625,12.375,54.6875,78.6,LONG,LONG,100.0,0.62,72.75
-43.15,-21.0625,5.375,30.375,68.60000000000001,LONG,LONG,112.25,0.54,51.4375
-59.074999999999996,-30.8125,15.375,40.375,68.325,LONG,LONG,93.0,0.62,71.1875
-71.02499999999999,-1.5,19.875,42.5,63.60000000000001,LONG,LONG,103.5,0.72,44.0
-47.099999999999994,-13.6875,20.625,40.375,78.55,LONG,LONG,87.25,0.68,54.0625
-59.699999999999996,-14.9375,10.625,42.6875,86.25000000000001,LONG,LONG,61.5,0.62,57.625
-39.34999999999999,-23.0,24.75,39.4375,73.875,LONG,LONG,91.25,0.6,62.4375
-72.375,-23.8125,2.625,36.1875,64.15000000000002,LONG,LONG,107.75,0.52,60.0
-59.02499999999999,-12.875,13.375,40.1875,61.050000000000004,LONG,LONG,119.5,0.6,53.0625
-34.574999999999996,-10.125,23.0,39.625,63.525000000000006,LONG,LONG,98.25,0.66,49.75
-31.275,-7.625,14.25,33.75,60.375,LONG,LONG,73.75,0.7,41.375
-40.44999999999999,-22.625,3.375,31.5,55.850000000000016,LONG,LONG,84.25,0.54,54.125
-71.89999999999999,-30.9375,-2.0,33.5,58.925000000000004,SHORT,LONG,54.5,0.52,64.4375
-94.3,-23.0,-1.25,34.375,54.95,SHORT,LONG,60.25,0.5,57.375
-93.425,-28.25,-0.875,26.0,40.45000000000002,SHORT,LONG,1.5,0.54,54.25
-125.6,-52.75,-11.25,18.625,47.55,SHORT,SHORT,-5.0,0.56,71.375
-124.25,-32.0,-5.125,33.125,58.52500000000003,SHORT,LONG,6.5,0.5800000000000001,65.125
-76.52499999999999,-23.25,21.625,35.8125,57.85000000000001,LONG,SHORT,-16.5,0.64,59.0625
-42.3,-24.0,1.25,29.0,34.87500000000001,LONG,SHORT,-13.5,0.52,53.0
-32.5,-11.375,20.375,35.0625,41.575,LONG,SHORT,-21.5,0.64,46.4375
-38.824999999999996,-16.75,12.125,31.8125,40.5,LONG,SHORT,-31.0,0.62,48.5625
-33.95,-10.5625,23.25,37.125,56.375000000000014,LONG,SHORT,-53.5,0.68,47.6875
-68.625,-31.4375,-5.25,26.5,47.550000000000026,SHORT,SHORT,-76.5,0.56,57.9375
-29.85,-11.375,16.375,31.4375,43.400000000000006,LONG,SHORT,-79.25,0.64,42.8125
-30.775,-22.875,-0.25,29.875,41.275,SHORT,SHORT,-71.5,0.5,52.75
-87.47499999999998,-27.0625,4.75,30.5625,51.625,LONG,SHORT,-57.0,0.54,57.625
-38.2,-16.4375,19.375,32.25,53.25,LONG,SHORT,-56.0,0.7,48.6875
-147.05,-27.9375,10.0,34.0,42.525000000000006,LONG,SHORT,-54.5,0.54,61.9375
-49.325,-25.9375,18.0,34.0,40.675000000000004,LONG,SHORT,-49.5,0.62,59.9375
-180.92499999999998,-65.9375,-9.25,32.8125,73.75,SHORT,SHORT,-8.75,0.56,98.75
-101.57499999999999,-38.25,7.25,43.9375,88.50000000000001,LONG,SHORT,-19.0,0.56,82.1875
-234.75,-83.0625,-18.0,33.9375,96.97500000000002,SHORT,LONG,12.75,0.5800000000000001,117.0
-147.05,-33.375,-9.5,21.6875,107.45000000000002,SHORT,LONG,8.75,0.64,55.0625
-156.625,-31.3125,-2.875,31.3125,61.95,SHORT,LONG,17.75,0.52,62.625
-156.625,-50.9375,-12.75,17.0625,36.8,SHORT,LONG,12.75,0.62,68.0
-156.625,-41.3125,3.125,27.375,41.57500000000002,LONG,LONG,31.75,0.52,68.6875
-147.05,-38.4375,-8.625,32.1875,42.3,SHORT,LONG,57.75,0.54,70.625
-139.45,-27.5,-0.75,25.375,58.525000000000006,SHORT,LONG,43.75,0.52,52.875
-183.37499999999997,-31.8125,2.125,27.5,45.45000000000002,LONG,LONG,41.25,0.56,59.3125
-209.7,-42.75,0.5,31.9375,49.450000000000095,LONG,LONG,28.75,0.5,74.6875
-209.7,-38.9375,-0.625,36.5625,90.17500000000003,SHORT,LONG,37.25,0.5,75.5
-78.35,-48.0,0.75,34.0,90.27500000000002,LONG,LONG,30.25,0.5,82.0
-71.1,-45.625,-8.875,24.4375,44.0,SHORT,LONG,8.0,0.54,70.0625
-79.19999999999999,-36.1875,-11.75,19.25,40.125,SHORT,SHORT,-4.5,0.62,55.4375
-46.5,-23.25,7.875,35.0625,50.350000000000094,LONG,SHORT,-18.5,0.62,58.3125
-55.025,-25.875,-5.625,33.1875,42.375,SHORT,SHORT,-32.0,0.54,59.0625
-47.074999999999996,-30.8125,-3.0,21.25,38.900000000000006,SHORT,SHORT,-53.0,0.56,52.0625
-96.425,-28.375,-2.75,25.625,38.8,SHORT,SHORT,-44.0,0.52,54.0
-71.225,-34.4375,5.625,28.375,51.775,LONG,SHORT,-48.5,0.52,62.8125
-51.39999999999999,-28.8125,2.625,34.0625,52.825,LONG,SHORT,-69.0,0.52,62.875
-40.275,-12.625,10.5,37.125,53.7,LONG,SHORT,-43.25,0.62,49.75
-32.275,-12.25,14.0,33.375,60.825,LONG,SHORT,-55.5,0.62,45.625
-47.35,-23.1875,10.875,36.6875,60.5,LONG,SHORT,-31.0,0.62,59.875
-61.55,-20.4375,2.75,33.3125,60.825,LONG,SHORT,-49.0,0.52,53.75
-51.699999999999996,-26.625,7.0,28.5,61.050000000000004,LONG,SHORT,-27.25,0.58,55.125
-111.14999999999999,-20.9375,14.375,33.8125,53.025,LONG,SHORT,-34.75,0.62,54.75
-59.349999999999994,-30.0625,2.75,34.375,59.87500000000001,LONG,SHORT,-36.75,0.52,64.4375
-46.75,-19.6875,7.25,37.875,60.925000000000004,LONG,SHORT,-10.0,0.56,57.5625
-67.525,-37.9375,-4.125,52.0,77.12500000000001,SHORT,SHORT,-19.5,0.54,89.9375
-71.6,-44.25,2.5,32.25,60.5,LONG,LONG,28.0,0.52,76.5
-72.6,-45.25,-17.5,21.0625,51.15000000000002,SHORT,LONG,35.0,0.64,66.3125
-161.99999999999997,-38.75,4.75,34.75,107.57500000000002,LONG,SHORT,-4.75,0.5,73.5
-105.925,-47.125,-10.0,19.4375,62.32500000000004,SHORT,LONG,1.25,0.56,66.5625
-60.849999999999994,-32.75,-14.75,20.375,68.45000000000006,SHORT,SHORT,-60.0,0.56,53.125
-60.75,-45.5625,-2.75,35.4375,110.47500000000001,SHORT,SHORT,-49.75,0.52,81.0
-83.5,-49.375,-20.5,7.9375,44.57500000000001,SHORT,SHORT,-65.25,0.6799999999999999,57.3125
-46.8,-32.625,14.625,32.4375,60.525,LONG,SHORT,-32.5,0.58,65.0625
-49.4,-33.375,-4.875,40.75,69.50000000000001,SHORT,SHORT,-76.75,0.52,74.125
-48.25,-24.0,3.75,23.3125,38.57500000000001,LONG,SHORT,-101.75,0.54,47.3125
-83.1,-49.9375,-13.875,43.125,65.95000000000002,SHORT,SHORT,-111.25,0.56,93.0625
-83.6,-42.0,-8.875,17.5,51.900000000000006,SHORT,SHORT,-134.75,0.6599999999999999,59.5
-87.475,-55.0625,-17.375,27.125,64.025,SHORT,SHORT,-114.75,0.6,82.1875
-59.275,-33.9375,7.5,29.625,69.30000000000001,LONG,SHORT,-96.25,0.56,63.5625
-76.6,-35.25,-3.75,34.375,67.85000000000002,SHORT,SHORT,-97.25,0.52,69.625
-88.02499999999998,-41.8125,-6.0,21.125,45.75000000000003,SHORT,SHORT,-121.75,0.54,62.9375
-100.625,-56.8125,-17.75,12.0625,45.550000000000026,SHORT,SHORT,-123.75,0.6799999999999999,68.875
-82.15,-44.4375,3.625,35.125,113.10000000000005,LONG,SHORT,-133.75,0.52,79.5625
-82.5,-32.875,9.375,28.5,57.25000000000001,LONG,SHORT,-103.0,0.56,61.375
-164.0,-58.375,14.0,39.0,64.45,LONG,SHORT,-152.5,0.56,97.375
-189.075,-72.3125,28.375,57.875,98.2,LONG,SHORT,-74.0,0.64,130.1875
-124.55,-70.9375,9.0,46.5625,92.12500000000001,LONG,SHORT,-108.0,0.54,117.5
-173.54999999999998,-55.8125,-8.75,53.5625,100.575,SHORT,SHORT,-105.5,0.54,109.375
-172.65,-136.8125,-4.75,38.3125,92.12500000000001,SHORT,SHORT,-68.25,0.52,175.125
-154.075,-52.8125,23.375,74.5625,124.90000000000003,LONG,LONG,30.25,0.6,127.375
-166.275,-114.9375,-36.5,36.9375,87.125,SHORT,SHORT,-65.75,0.6599999999999999,151.875
-187.29999999999998,-96.0625,7.75,39.0625,87.575,LONG,SHORT,-79.25,0.6,135.125
-169.95,-76.8125,4.75,42.25,86.425,LONG,SHORT,-19.75,0.56,119.0625
-166.275,-64.6875,-15.5,46.625,76.625,SHORT,LONG,11.5,0.56,111.3125
-195.37499999999997,-131.625,-9.875,29.0,67.175,SHORT,SHORT,-69.5,0.54,160.625
-173.5,-72.4375,9.625,41.3125,76.52500000000002,LONG,SHORT,-71.5,0.56,113.75
-147.875,-65.5625,15.0,39.8125,75.72500000000001,LONG,SHORT,-49.5,0.54,105.375
-122.25,-33.1875,6.25,37.875,53.45,LONG,SHORT,-19.5,0.58,71.0625
-154.575,-48.3125,-3.25,44.1875,69.0,SHORT,LONG,53.0,0.52,92.5
-166.0,-97.0,-14.75,54.0625,122.45000000000005,SHORT,LONG,67.25,0.52,151.0625
-166.275,-125.9375,-8.875,38.3125,71.22500000000001,SHORT,LONG,116.75,0.52,164.25
-166.275,-121.375,-9.125,40.375,62.325,SHORT,LONG,104.5,0.5,161.75
-151.325,-111.9375,-18.625,29.9375,73.92500000000003,SHORT,LONG,73.0,0.56,141.875
-147.275,-76.0,-6.375,32.5,45.57500000000001,SHORT,LONG,111.75,0.54,108.5
-142.675,-72.8125,4.0,38.5,61.52500000000002,LONG,LONG,102.75,0.52,111.3125
-83.6,-24.375,11.25,37.75,54.20000000000002,LONG,LONG,96.25,0.56,62.125
-49.099999999999994,-21.0,4.5,40.1875,64.4,LONG,LONG,99.25,0.56,61.1875
-162.89999999999998,-23.0625,14.875,36.75,53.025,LONG,LONG,90.75,0.62,59.8125
-173.375,-41.5,5.75,36.9375,56.800000000000026,LONG,LONG,78.75,0.56,78.4375
-177.42499999999998,-41.9375,10.625,38.3125,55.25,LONG,LONG,65.25,0.6,80.25
-161.325,-33.4375,5.0,41.3125,75.55000000000001,LONG,LONG,28.0,0.54,74.75
-105.475,-20.0625,14.125,39.8125,91.10000000000001,LONG,LONG,47.0,0.58,59.875
-117.94999999999999,-26.75,24.375,51.9375,79.50000000000001,LONG,LONG,65.5,0.56,78.6875
-167.4,-41.4375,10.375,24.0,52.12500000000001,LONG,LONG,59.5,0.56,65.4375
-178.65,-17.4375,10.625,26.6875,49.900000000000006,LONG,LONG,65.0,0.62,44.125
-68.27499999999999,-39.875,9.625,30.4375,50.25000000000001,LONG,LONG,55.5,0.54,70.3125
-73.69999999999996,-39.5,1.875,31.125,45.400000000000006,LONG,LONG,54.5,0.5,70.625
-116.125,-53.125,-9.25,26.875,46.3,SHORT,LONG,23.5,0.5800000000000001,80.0
-102.94999999999999,-39.8125,-10.375,23.3125,59.975000000000016,SHORT,LONG,25.5,0.6,63.125
-79.62499999999997,-38.75,1.75,31.0,63.60000000000001,LONG,LONG,39.5,0.52,69.75
-62.574999999999996,-24.5625,3.5,22.375,43.17500000000001,LONG,LONG,32.0,0.6,46.9375
-37.474999999999994,-11.9375,9.5,27.1875,49.85000000000001,LONG,LONG,38.0,0.58,39.125
-60.425,-37.5,1.75,30.4375,63.575,LONG,SHORT,-4.5,0.5,67.9375
-80.025,-36.5625,-2.0,16.3125,57.35000000000001,SHORT,LONG,11.5,0.52,52.875
-112.39999999999998,-48.0,3.125,23.625,41.55000000000001,LONG,LONG,15.5,0.54,71.625
-48.45,-24.125,4.0,19.75,33.95000000000002,LONG,LONG,15.5,0.58,43.875
