entry_ts,leg_dir,entry_price,extra_z_se,day
1708383801,SHORT,17784.75,2.2924711695287603,2024_02_20
1708383807,SHORT,17784.25,1.9156265937159636,2024_02_20
1708383811,SHORT,17784.25,1.9156265937159636,2024_02_20
1708383829,SHORT,17784.25,1.9156265937159636,2024_02_20
1708383834,SHORT,17784.25,1.9156265937159636,2024_02_20
1708383953,LONG,17780.0,-2.024676036307583,2024_02_20
1708383959,LONG,17780.0,-2.024676036307583,2024_02_20
1708383977,LONG,17778.25,-1.9390824301913832,2024_02_20
1708383979,LONG,17778.0,-2.096914721020781,2024_02_20
1708383982,LONG,17778.0,-2.096914721020781,2024_02_20
1708383984,LONG,17777.75,-2.2547470118501782,2024_02_20
1708384011,LONG,17778.25,-1.9390824301913832,2024_02_20
1708384014,LONG,17777.75,-2.2547470118501782,2024_02_20
1708384200,LONG,17774.75,-2.593757318156688,2024_02_20
1708384330,LONG,17762.25,-1.9934843358581944,2024_02_20
1708384349,LONG,17762.5,-1.9333094990946962,2024_02_20
1708384385,LONG,17756.25,-2.0635659213860342,2024_02_20
1708384427,LONG,17757.0,-1.907295880737348,2024_02_20
1708385167,LONG,17758.75,-1.925440631524823,2024_02_20
1708385239,LONG,17758.25,-2.095995872651886,2024_02_20
1708385247,LONG,17758.25,-2.095995872651886,2024_02_20
1708385295,LONG,17758.25,-2.048702744887282,2024_02_20
1708385312,LONG,17758.0,-2.2672310376752587,2024_02_20
1708385330,LONG,17758.25,-2.048702744887282,2024_02_20
1708385344,SHORT,17762.75,2.382836699690752,2024_02_20
1708385366,LONG,17757.75,-2.1667321779978934,2024_02_20
1708385368,LONG,17758.0,-1.939253734113461,2024_02_20
1708385376,LONG,17757.75,-2.1667321779978934,2024_02_20
1708385471,LONG,17756.0,-2.095466137899027,2024_02_20
1708385475,LONG,17756.0,-2.095466137899027,2024_02_20
1708385481,LONG,17756.25,-1.9059740982997866,2024_02_20
1708385526,SHORT,17761.25,2.101996316787057,2024_02_20
1708385628,LONG,17755.25,-2.5771816983339053,2024_02_20
1708385662,LONG,17753.75,-1.9518191506165545,2024_02_20
1708385704,LONG,17750.25,-2.1346553151050895,2024_02_20
1708385893,SHORT,17754.75,1.8520961582885618,2024_02_20
1708385899,SHORT,17756.0,2.544037437847771,2024_02_20
1708385945,SHORT,17755.25,1.8984389331297273,2024_02_20
1708385977,SHORT,17755.25,1.8984389331297273,2024_02_20
1708385984,SHORT,17755.25,1.8984389331297273,2024_02_20
1708386032,LONG,17747.25,-1.8801381482172497,2024_02_20
1708386675,LONG,17740.75,-2.469911790439177,2024_02_20
1708386718,LONG,17741.75,-1.9824292002208248,2024_02_20
1708387069,SHORT,17746.0,2.012007531313149,2024_02_20
1708387093,SHORT,17747.0,1.9624425080732255,2024_02_20
