day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,gross_usd,net_usd,exit_reason
2024_01_03,1704272460,SHORT,16679.25,1704272480,16679.25,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704273120,SHORT,16670.75,1704273140,16670.75,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704273720,SHORT,16673.25,1704273735,16673.25,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704273960,SHORT,16678.0,1704273975,16678.0,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704276180,SHORT,16645.5,1704276195,16645.5,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704276720,SHORT,16654.0,1704276735,16654.0,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704277620,SHORT,16652.5,1704277635,16652.5,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704278220,LONG,16659.5,1704278235,16659.5,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704278820,LONG,16666.0,1704278835,16666.0,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704281580,SHORT,16643.0,1704281595,16643.0,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704282180,SHORT,16646.75,1704282195,16646.75,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704284220,SHORT,16634.5,1704284285,16629.25,5.25,105.0,90.9,fast_consecutive
2024_01_03,1704285720,SHORT,16611.25,1704285755,16611.25,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704286260,SHORT,16614.0,1704286275,16614.0,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704286980,SHORT,16605.75,1704286995,16605.75,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704287280,SHORT,16610.5,1704287295,16610.5,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704288240,LONG,16627.25,1704288475,16639.0,11.75,235.0,220.9,fast_consecutive
2024_01_03,1704289320,LONG,16639.75,1704289335,16639.75,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704289500,LONG,16636.75,1704289515,16636.75,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704289680,LONG,16630.75,1704289760,16632.75,2.0,40.0,25.9,fast_consecutive
2024_01_03,1704290040,LONG,16631.5,1704290120,16632.75,1.25,25.0,10.9,fast_consecutive
2024_01_03,1704290280,LONG,16626.75,1704290295,16626.75,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704291480,SHORT,16605.75,1704291495,16605.75,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704291660,SHORT,16627.5,1704291675,16627.5,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704292200,SHORT,16609.75,1704292255,16609.75,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704292440,SHORT,16599.75,1704292455,16599.75,0.0,0.0,-14.1,fast_consecutive
2024_01_03,1704292620,SHORT,16617.0,1704292715,16610.25,6.75,135.0,120.9,fast_consecutive
2024_01_03,1704292860,SHORT,16615.5,1704292905,16615.5,0.0,0.0,-14.1,fast_consecutive
